"Data_type","Source","n"
"Core-level","Adame et al 2013",24
"Core-level","Adame et al 2015",24
"Core-level","Adame et al 2020",18
"Core-level","Adame et al 2021",60
"Core-level","Anisfeld et al 1999",204
"Core-level","Beasy and Ellison 2013",14
"Core-level","Bryant and Chabreck 1998",8
"Core-level","Bulmer et al 2020",63
"Core-level","Bunzel et al 2019",328
"Core-level","Burden et al 2018",32
"Core-level","Burke et al 2022",157
"Core-level","Cahoon et al 1996",6
"Core-level","Camacho et al 2014",26
"Core-level","Chmura and Hung 2004",264
"Core-level","Connor et al 2001",199
"Core-level","Conrad et al 2019",33
"Core-level","Cott et al 2013",81
"Core-level","Craft et al 1993",60
"Core-level","Cuellar-Martinez et al 2019",64
"Core-level","Cuellar-Martinez et al 2020",79
"Core-level","de los Santos et al 2022 (a)",39
"Core-level","de los Santos et al 2022 (b)",27
"Core-level","Ewers Lewis et al 2020",368
"Core-level","Ford et al 2016",786
"Core-level","Gallagher et al 2021",22
"Core-level","Gonzalez-Alcaraz et al 2012",6
"Core-level","Gonzalez-Alcaraz et al 2015",53
"Core-level","Gorham et al 2021",252
"Core-level","Graversen et al 2022",170
"Core-level","Grey et al 2021",15
"Core-level","Gu et al 2020",147
"Core-level","Guerra et al 2022",77
"Core-level","Hansen et al 2016",111
"Core-level","Human et al 2022",754
"Core-level","Kauffman et al 2020",90
"Core-level","Kohfeld et al 2022",798
"Core-level","Kumar et al 2020",29
"Core-level","Li et al 2019",39
"Core-level","Markewich et al 1998",45
"Core-level","Martins et al 2022",196
"Core-level","Mazarrasa et al 2023",411
"Core-level","Miller et al 2022",1308
"Core-level","Noguiera et al 2022",47
"Core-level","Orson et al 1998",11
"Core-level","Pagès et al (in preparation)",168
"Core-level","Patrick and DeLaune 1990",53
"Core-level","Pollman et al 2021",41
"Core-level","Raw et al 2020",63
"Core-level","Roman et al 1997",67
"Core-level","Ruranska et al 2020",421
"Core-level","Ruranska et al 2022",198
"Core-level","Russell et al submitted",248
"Core-level","Rybczyk and Cahoon 2002",14
"Core-level","Sammul et al 2012",41
"Core-level","Santos et al 2019",16
"Core-level","Schile et al 2016",95
"Core-level","Serrano et al 2019",343
"Core-level","Serrano unpublished",103
"Core-level","Shamrikova et al 2019",13
"Core-level","Siewert et al 2016",50
"Core-level","Smeaton et al 2021",39
"Core-level","Smeaton et al 2022a",3443
"Core-level","Smeaton et al 2022b",1919
"Core-level","Smeaton unpublished Essex",944
"Core-level","Van de Broek et al 2018",161
"Core-level","Vitti et al 2020",28
"Core-level","Ward 2020",10
"Core-level","Ward et al 2021",192
"Core-level","Wollenberg et al 2018",28
"Core-level","Xia et al 2022",304
"Core-level","Yando et al 2016",27
"Core-level","Yuan et al 2017",16
"Review","Fu et al 2021",8
"Review","Hatje et al 2023",251
"Review","He et al 2020",40
"Review","Hu et al 2020",187
"Review","Wails et al 2021",2
"Review","Xia et al 2022",3
"Site-level","Cusack et al 2018",6
"Site-level","Day et al 2011",10
"Site-level","Ferronato et al 2019",27
"Site-level","Fuchs et al 2018",3
"Site-level","Gailis et al 2021",22
"Site-level","Gispert et al 2020",4
"Site-level","Gispert et al 2021",4
"Site-level","Hatton et al 1983",8
"Site-level","Hayes et al 2014",5
"Site-level","Loomis and Craft 2010",6
"Site-level","Macreadie et al 2017",75
"Site-level","Morris and Jensen 1998",2
"Site-level","Perera et al 2022",16
"Site-level","Rathore et al 2016",6
"Site-level","Sousa et al 2010",4
"Site-level","Sun et al 2019",1
"Site-level","Voltz et al 2021",32
"Site-level","Yang et al 2021",1
"Site-level","Ye et al 2015",14
"Site-level","Yu and Chmura 2010",2
"Site-level","Yuan et al 2019",15
"Site-level","Zubrzycki et al 2013",12
