Article ID,Article Title,User Name,Resolve?,Include,Location of interest,Less interest,Primary data?,Dataset already extracted?,User Note,Title,Journal,Authors
90074217,"Holocene evolution of a barrier island system, Ria Formosa, South Portugal",taniamaxwell7,,FALSE, Europe,,FALSE,,,"Holocene evolution of a barrier island system, Ria Formosa, South Portugal",,"Sousa, Carlos; Boski, Tomasz; Pereira, Laura"
90074220,Shifts of soil microbial community composition along a short-term invasion chronosequence of Spartina alterniflora in a Chinese estuary,taniamaxwell7,,FALSE,, China,FALSE,,,Shifts of soil microbial community composition along a short-term invasion chronosequence of Spartina alterniflora in a Chinese estuary,,"Zhang, Guangliang; Bai, Junhong; Jia, Jia; Wang, Wei; Wang, Xin; Zhao, Qingqing; Lu, Qiongqiong"
90074222,Origin and composition of sediment organic matter in a coastal semi-enclosed ecosystem: An elemental and isotopic study at the ecosystem space scale,taniamaxwell7,,TRUE, Europe (rare),,FALSE,,,Origin and composition of sediment organic matter in a coastal semi-enclosed ecosystem: An elemental and isotopic study at the ecosystem space scale,,"Dubois, S.; Savoye, N.; Gremare, A.; Plus, M.; Charlier, K.; Beltoise, A.; Blanchet, H."
90074225,INFLUENCE OF BIODEPOSITION BY FILTER-FEEDING BIVALVES ON SALT-MARSH MEIOBENTHIC COMMUNITIES,taniamaxwell7,,FALSE, Europe,,FALSE,,,INFLUENCE OF BIODEPOSITION BY FILTER-FEEDING BIVALVES ON SALT-MARSH MEIOBENTHIC COMMUNITIES,,"DINET, A; SORNIN, JM; SABLIERE, A; DELMAS, D; FEUILLETGIRARD, M"
90074228,"Effect of an alien species Spartina alterniflora Loisel on biogeochemical processes of intertidal ecosystem in the Jiangsu coastal region, China",taniamaxwell7,,FALSE,, China,TRUE,,,"Effect of an alien species Spartina alterniflora Loisel on biogeochemical processes of intertidal ecosystem in the Jiangsu coastal region, China",,Zhou Hong-Xia; Liu Jin-E; Zhou Jun; Qin Pei
90074231,Uptake and accumulation of metals in Spartina alterniflora salt marshes from a South American estuary,taniamaxwell7,,TRUE, Central/South America,,FALSE,,,Uptake and accumulation of metals in Spartina alterniflora salt marshes from a South American estuary,,"Negrin, Vanesa L.; Botte, Sandra E.; La Colla, Noelia S.; Marcovecchio, Jorge E."
90074236,Phosphorus fractions and profile distribution in newly formed wetland soils along a salinity gradient in the Yellow River Delta in China,taniamaxwell7,,FALSE,, China,FALSE,,,Phosphorus fractions and profile distribution in newly formed wetland soils along a salinity gradient in the Yellow River Delta in China,,"Xu, Gang; Shao, Hong-Bo; Sun, Jun-Na; Chang, Scott X."
90074240,"A 5000 year record of carbon sequestration from a coastal lagoon and wetland complex, Southern California, USA",taniamaxwell7,,FALSE,,USA,FALSE,,,"A 5000 year record of carbon sequestration from a coastal lagoon and wetland complex, Southern California, USA",,"Brevik, E.C.; Homburg, J.A."
90074244,Variability in soil microbial community and activity between coastal and riparian wetlands in the Yangtze River estuary - Potential impacts on carbon sequestration,taniamaxwell7,,FALSE,, China,FALSE,,,Variability in soil microbial community and activity between coastal and riparian wetlands in the Yangtze River estuary - Potential impacts on carbon sequestration,,"Hu, Yu; Wang, Lei; Tang, Yushu; Li, Yanli; Chen, Jinhai; Xi, Xuefei; Zhang, Yannan; Fu, Xiaohua; Wu, Jihua; Sun, Ying"
90074247,Organic carbon fractions in temperate mangrove and saltmarsh soils,taniamaxwell7,,FALSE,, Australia,TRUE,,,Organic carbon fractions in temperate mangrove and saltmarsh soils,,"Wong, V. N. L.; Reef, R. E.; Chan, C.; Goldsmith, K. S."
90074257,"Soil organic carbon content and stock in wetlands with different hydrologic conditions in the Yellow River Delta, China",taniamaxwell7,,FALSE,, China,TRUE,,,"Soil organic carbon content and stock in wetlands with different hydrologic conditions in the Yellow River Delta, China",,"Zhao, Qingqing; Bai, Junhong; Wang, Xin; Zhang, Wen; Huang, Yujie; Wang, Leilei; Gao, Yongchao"
90074258,Distribution of Juncus roemerianus in North Carolina tidal marshes: The importance of physical and biotic variables,taniamaxwell7,,FALSE,,USA,FALSE,,,Distribution of Juncus roemerianus in North Carolina tidal marshes: The importance of physical and biotic variables,,"Woerner, L.S.; Hackney, C.T."
90074259,Cordgrass canopy elicits weak effects on sediment properties and microphytobenthic abundance in a harsh environment,taniamaxwell7,,TRUE, Central/South America,,FALSE,,,Cordgrass canopy elicits weak effects on sediment properties and microphytobenthic abundance in a harsh environment,,"Firstater, Fausto N.; Narvarte, Maite; Fernanda Alvarez, M.; Eugenia Fanjul, M.; Iribarne, Oscar O."
90074260,DETERMINATION OF TOTAL SULFUR IN TIDAL MARSH SOILS BY X-RAY SPECTROSCOPY,taniamaxwell7,,FALSE,,USA,FALSE,,,DETERMINATION OF TOTAL SULFUR IN TIDAL MARSH SOILS BY X-RAY SPECTROSCOPY,,"DARMODY, RG; FANNING, DS; DRUMMOND, WJ; FOSS, JE"
90074261,"Concentrations of trace elements and iron in the Arctic soils of Belyi Island (the Kara Sea, Russia): patterns of variation across landscapes",taniamaxwell7,,TRUE, Asia,,FALSE,,,"Concentrations of trace elements and iron in the Arctic soils of Belyi Island (the Kara Sea, Russia): patterns of variation across landscapes",,"Moskovchenko, D. V.; Kurchatova, A. N.; Fefilov, N. N.; Yurtaev, A. A."
90074262,Effects of selected groundwater chemical traits on a salt marsh community,taniamaxwell7,,TRUE, Africa/Middle East,,FALSE,,,Effects of selected groundwater chemical traits on a salt marsh community,,"Kilinc, Mahmut; Kutbay, Hamdi Guray; Yalcin, Erkan; Bilgin, Ali; Avci, Kenan; Topaloglu, Solmaz Gencoglu"
90074263,Relationships between metal concentrations and organic matter content in the Tagus estuary salt marsh sediments,taniamaxwell7,,TRUE, Europe,,TRUE,,,Relationships between metal concentrations and organic matter content in the Tagus estuary salt marsh sediments,,"Cacador, I; Vale, C; Catarino, F"
