source_type,article_id,year,location,author_individual,author_position,title,abstract,doi,url,author_year_ID,authors_full
BOOK,90075490,2015,NA," Horton, Benjamin P.",author_03,Stable carbon isotope and C/N geochemistry of coastal wetland sediments as a sea-level indicator,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931025552&doi=10.1002%2f9781118452547.ch20&partnerID=40&md5=7f21ef67fb7b48b290cbe9de5078e68f,Khan_2015_90075490,"Khan, Nicole S.; Vane, Christopher H.; Horton, Benjamin P."
BOOK,90074502,2014,NA," Sun, Wanlong",author_04,Spatial distribution characteristics of organic matter and total Sulfur of different marsh soils in the Yellow River Estuary,"In 2008, we studied contents of soil organic matters(SOM) and total sulfur(TS) in the surface and subsurface soils in nine typical sampling points that covered with different plant communities in the wetland of Yellow River Estuary in order to identify the influences of different plant communities. Results showed the contents of SOM varied in irregular ""M"" mode except for 0-10cm soil layer. The characteristics of vertical distribution were resemble of different sites in the whole, decreasing along with the depth though existing some waves. The diversity was remarkable (C.V. > 10%), showing as medium variability. For TS, contents decreased with plant communities succession. But the characteristics of vertical distribution was not very significant. Correlation analysis showed that SOM contents had significant correlation with TN contents(r=0.955, p<0.01), TP contents were closely linked with SOM and nitrogen contents, but TS contents had no remarkable correlation with any other element.",NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891687006&doi=10.4028%2fwww.scientific.net%2fAMR.864-867.30&partnerID=40&md5=48d1d066f6cf54f3a000b9c6aef44d9a,Li_2014_90074502,"Li, Junde; Sun, Zhijun; Sun, Fang; Sun, Wanlong"
BOOK,90075490,2015,NA," Vane, Christopher H.",author_02,Stable carbon isotope and C/N geochemistry of coastal wetland sediments as a sea-level indicator,NA,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931025552&doi=10.1002%2f9781118452547.ch20&partnerID=40&md5=7f21ef67fb7b48b290cbe9de5078e68f,Khan_2015_90075490,"Khan, Nicole S.; Vane, Christopher H.; Horton, Benjamin P."
CONF,90074978,1993, Europe," Catarino, F.",author_03,"EFFECTS OF PLANTS ON THE ACCUMULATION OF ZN, PB, CU AND CD IN SEDIMENTS OF THE TAGUS ESTUARY SALT MARSHES, PORTUGAL",NA,10.1016/S0166-1116(08)70300-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957069116&doi=10.1016%2fS0166-1116%2808%2970300-5&partnerID=40&md5=ad1c074ae0e28e928df293494cb147db,Caçador_1993_90074978,"Caçador, I.; Vale, C.; Catarino, F."
CONF,90075104,2013, Europe (rare)," Covelli, S.",author_03,Heavy metals in sediments and halophytes of saltmarshes in the Marano and Grado Lagoon (Northern Adriatic Sea),"The content of several heavy metals (As, Cd, Cr, Cu, Hg, Mn, Ni, Pb, Zn) was determined in sediments and in plants (the halophytes Sarcocornia fruticosa and Limonium vulgare) from two selected saltmarshes located in the Marano and Grado Lagoon (Northern Adriatic Sea). This environment has been affected by severe Hg contamination from both industrial and long-term mining activities. In both saltmarshes, Hg content in sediments exceeded the estimated background value (0.13 mu g g(-1)), showing the highest concentrations (13.7 mu g g(-1)) in the eastern sector (Grado Lagoon), the most affected by cinnabar ore extraction. On the other hand, the saltmarsh, located in the Marano Lagoon, showed a higher degree of contamination for As, Cd and Pb, which can be related to industrial sources. The rhizo-sediments of both halophytes reflected the characteristics of the non-vegetated sediment, with higher organic carbon content and similar metal concentrations. Enrichment Factors (EF=[metal](root)/[metal](rhizo-sediment)) for each sediment layer were calculated for both halophytes, showing metal enrichments in the roots and the presence of preferential layers of metal accumulation. Hg showed accumulation (EF>1) in the roots below the 20 cm depth, with higher contents in S. Fruticosa. As and Cd were accumulated by both halophytes, more efficiently by S. Fruticosa, and the same species showed also accumulation of Pb and Zn. Translocation of metals from the roots to the aboveground biomass was investigated by measuring metal contents in shoots and leaves of the two species. With the exception of Cd and Hg, all metals were present in the aboveground biomass, most evidently for Cr in S. Fruticosa and Zn in L. Vulgare, although the presence of the latter in leaves could be due to plant physiology rather than translocation of the contaminant.",10.1051/e3sconf/20130106006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016481201&doi=10.1051%2fe3sconf%2f20130106006&partnerID=40&md5=cb2edc9d5f7de6b45a39da7bfaa4c637,Emili_2013_90075104,"Emili, A.; Petranich, E.; Covelli, S.; Acquavita, A."
CONF,90074978,1993, Europe," Vale, C.",author_02,"EFFECTS OF PLANTS ON THE ACCUMULATION OF ZN, PB, CU AND CD IN SEDIMENTS OF THE TAGUS ESTUARY SALT MARSHES, PORTUGAL",NA,10.1016/S0166-1116(08)70300-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957069116&doi=10.1016%2fS0166-1116%2808%2970300-5&partnerID=40&md5=ad1c074ae0e28e928df293494cb147db,Caçador_1993_90074978,"Caçador, I.; Vale, C.; Catarino, F."
CONF,90074733,2017,NA," Zhang, Chao",author_03,Estimating reclamation-induced carbon loss in coastal wetlands using time series GF-1 WVF data: A case study in the Yangtze Estuary,"Coastal wetland is a net carbon sink with a high carbon density. However, coastal reclamation directly changes the structure of coastal wetland ecosystem and consequent carbon sink function. The aim of this work was to estimate the reclamation-induced carbon loss in coastal wetlands using time series GF-1 WVF data. For this purpose, GF-1 WVF imageries of 2013 (before reclamation) and 2017 (after reclamation) in the Yangtze Estuary were collected and analyzed combined with field monitoring. Results showed that the converted coastal wetland area occupied up to 61.60% between 2013 and 2017. Carbon estimation indicated that the coastal wetland before reclamation had greater potential contribution to the global warming mitigation than the wetland reclamation to other land cover types. Finally the vulnerability of carbon stores and uncertain analysis with remote sensing technology in coastal wetlands environment were discussed. We emphasized that long-term monitoring of coastal wetlands and its carbon dynamic are urgently needed, because so many uncertain factors exist in short-term monitoring.",10.1117/12.2270695,NA,Ai_2017_90074733,"Ai, Jinquan; Gao, Zhiqiang; Zhang, Chao; Gao, Wei; Shi, Runhe; Song, Debin; Xu, Fuxiang; Chen, Maosi"
CONF,90074978,1993, Europe,"Caçador, I.",author_01,"EFFECTS OF PLANTS ON THE ACCUMULATION OF ZN, PB, CU AND CD IN SEDIMENTS OF THE TAGUS ESTUARY SALT MARSHES, PORTUGAL",NA,10.1016/S0166-1116(08)70300-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957069116&doi=10.1016%2fS0166-1116%2808%2970300-5&partnerID=40&md5=ad1c074ae0e28e928df293494cb147db,Caçador_1993_90074978,"Caçador, I.; Vale, C.; Catarino, F."
JOUR,90074479,2012, Europe," Acquavita, Alessandro",author_03,Historical flux of mercury associated with mining and industrial sources in the Marano and Grado Lagoon (northern Adriatic Sea),"The ""MIRACLE"" Project was established in order to assess the feasibility of clam farming and high levels of sediment mercury (Hg) contamination coexisting in the Marano and Grado Lagoon, Italy. This lagoon has been subjected to Hg input from both industrial waste (chlor-alkali plant) and long-term mining activity (Idrija mine, NW Slovenia). One of the subtasks of the ""MIRACLE"" Project was to determine the historical evolution of Hg accumulation in the lagoon's bottom sediments. Thirteen 1-m deep sediment cores were collected from the subtidal and intertidal zones, plus one in a saltmarsh, all of which were then analyzed for total Hg content and several physicochemical parameters. Sedimentation rate assessments were performed by measuring short-lived radionuclides (excess Pb-210 and Cs-137). For most of the analyzed cores, natural background levels of Hg were observed at depths of 50-100 cm. In the eastern area, Hg contamination was found to be at its maximum level at the core top (up to 12 mu g g(-1)) as a consequence of the long-term mining activity. The vertical distribution of Hg was related to the influence of the single-point contamination sources, whereas the grain-size variability or organic matter content seemed not to affect it. In the western area. Hg content at the surface was found not to exceed 7 mu g g(-1) and contamination was recorded only in the first 20-30 cm. Geochronological measurements showed that the depositional flux of Hg was influenced by anthropogenic inputs after 1800, when mining activity was more intense. After 1950, Hg in the surface sediment, most remarkable in the central-western sector, seemed to also be affected by the discharge of the Aussa River, which delivers Hg from the chlor-alkali plant. In 1996, Hg mining at Idrija ceased, however the core profiles did not show any subsequent decreasing trend in terms of Hg flux, which implies the system retaining some ""memory"" of contamination. Thus, in the short term, a decrease in Hg inputs into the nearby Gulf of Trieste and the lagoon seems unlikely. A preliminary rounded-down gross estimate of total Hg ""trapped"" in the lagoon's sediments amounted to 251 t. Such a quantity, along with the complexity of the lagoon ecosystem, suggests that an in toto reclamation of the sediments at the lagoon scale is unfeasible, both economically and environmentally. (C) 2012 Elsevier Ltd. All rights reserved.",10.1016/j.ecss.2011.12.038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867909761&doi=10.1016%2fj.ecss.2011.12.038&partnerID=40&md5=ab9ab3246a56a494ac7fa1d5326e57a7,Covelli_2012_90074479,"Covelli, Stefano; Langone, Leonardo; Acquavita, Alessandro; Piani, Raffaella; Emili, Andrea"
JOUR,90075171,2017, Europe (rare)," Acquavita, Alessandro",author_05,Historical sedimentary trends of mercury and other trace elements from two saltmarshes of the Marano and Grado lagoon (northern Adriatic Sea),"Purpose Previous research conducted in the Marano and Grado lagoon (northern Adriatic Sea) has shown that this environment has been affected by trace metal contamination, especially by mercury (Hg), from both industrial (the chlor-alkali plant) and mining activities (Idrija mine, Slovenia). Sediment cores were collected from two different saltmarshes of this lagoon environment to evaluate the degree of the anthropogenic enrichments and the geochronology of Hg accumulation.Materials and methods Core subsampling was performed by cutting 1-cm thick slices at discrete intervals. Mercury determination was done differently from the other parameters in that the two long cores were subsampled at 1-cm intervals to obtain continuous concentration profiles. Samples were completely decomposed, using a mixture of mineral acids in a closed microwave system before being analysed for trace metal content using ICP-OES. Total Hg content in the solid phase was determined by DMA-80. Cs-137 was measured via gamma spectrometry. Pb-210 activity was measured via alpha-counting of its daughter, Po-210, assuming secular equilibrium between the two isotopes.Results and discussion In saltmarsh sediments, Fe, Co, Li, Sc and V show no enrichment at both sites thus suggesting that they are essentially lithogenic elements. Conversely, enrichments are minimal (EF = < 2) for As, Cd, Cr, Ni, Pb and Zn and moderate (EF = 2-5) for Cu and Mn and also for Pb and Zn but only in some levels of the sedimentary sequences. An exception is Hg, as expected due to the long-term input proceeding from the historical mining activity which has especially affected the eastern sector of the lagoon.Conclusions The core collected from the saltmarsh in the eastern lagoon (Grado) displays a better time resolution during the last century although the Hg background level has not been reached. Conversely, the core collected in the western sector (Marano) has recorded a longer and more complete history of Hg contamination, from the beginning of the peak of Hg extraction activity at the Idrija mine (1850). Both saltmarshes still receive Hg inputs and the sediment accumulation rates in the upper section appear to have increased over the last 10-20 years (from 0.30 to 0.45 cm year(-1) atMarano and from 0.30 to 0.74 cm year(-1) at Grado). Many of these morphological structures suffer erosive processes thus representing a potential source of contaminants associated with sediments, in particular Hg. Conservation and monitoring of saltmarshes should be taken into consideration also from this environmental point of view.",10.1007/s11368-016-1618-8,NA,Covelli_2017_90075171,"Covelli, Stefano; Petranich, Elisa; Langone, Leonardo; Emili, Andrea; Acquavita, Alessandro"
