"source_type","article_id","author","year","title","abstract","doi","sysrev_url","url"
"JOUR",14329213,"Hu, Minjie; Penuelas, Josep; Sardans, Jordi; Huang, Jiafang; Xu, Kang; Tong, Chuan","2021","Denitrification rates in tidal marsh soils: The roles of soil texture, salinity and nitrogen enrichment","The denitrification rates of freshwater and oligohaline tidal marsh soils with different textures (loam and sandy soils) in a subtropical estuary, and their responses to nitrogen (N) loading, were investigated. In both marshes, the denitrification rates varied significantly with the season only in loam soil. The denitrification rates were highest in oligohaline marsh loam soil and lowest in freshwater marsh sandy soil. NH4NO3 addition significantly increased the denitrification rates of all the marsh soils. Our findings suggest that soil texture, soil organic matter (OM) content and low-level increases in salinity all had large effects on denitrification, indicating that the dynamics of denitrification rates in estuarine marshes with low-level salinity were controlled by the interaction of salinity and soil texture but mainly depended on OM content. We propose that denitrification in tidal marshes plays an important role in regulating current and future N loading into estuary and inshore coastal waters, especially for tidal freshwater marshes, which introduces great uncertainty into the N dynamics of estuaries under global changes.HighlightsDenitrification rates were higher in loam than sandy soil, independent of salinity.Denitrification rates were higher in oligohaline marsh loam than freshwater marsh loam.Exogenous N input enhanced denitrification in estuarine marsh soil.Loam with high N enhanced N removal, especially in freshwater environments.","10.1111/ejss.12956","https://sysrev.com/p/117521/article/14329213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083381567&doi=10.1111%2fejss.12956&partnerID=40&md5=1111fdd770769b6d9af5ca6ed5172cd6"
"JOUR",14329214,"Kaviarasan, Thanamegam; Dahms, Hans Uwe; Gokul, Murugaiah Santhosh; Henciya, Santhaseelan; Muthukumar, Krishnan; Shankar, Shiva; James, Rathinam Arthur","2019","Seasonal Species Variation of Sediment Organic Carbon Stocks in Salt Marshes of Tuticorin Area, Southern India","Increasing attention in global blue carbon investigation in these contemporary times, salt marsh has the distinctive importance in coastal ecosystems. We examined sediment organic carbon stock in the four dominant salt marsh species areas viz. Suaeda maritima, Sesuvium portulacastrum, Arthrocnemum indicum, and Salicornia brachiata from Tuticorin, southeast coast of India in two seasons i.e. dry (July 2015) and wet season (January 2016). We examined above ground (AGB) and below ground biomass (BGB), sediment physico-chemical properties like pH, BD, composition, OM%, C-org%, C and N%, sediment organic carbon stocks (SOCS) and multivariate analysis on studied variables. Maximum AGB was recorded in A. indicum in both dry and wet season (10.91 +/- 0.15g/cm(2) and 14.87 +/- 0.68g/cm(2)). The highest BGB was observed in S. maritima in both seasons, as 2.01 +/- 0.35g/cm(2) and 4.49 +/- 0.35g/cm(2), respectively. The OM percentage ranged between 4.13 +/-.083 and 7.23 +/-.088% and the highest was observed in the wet season from S. maritima. Sediment organic stocks (Mgha (-1)) ranged from 8.42 +/-.640 to 54.46 +/- 1.46Mgha (-1) reflects nearly 7 times higher than the dry season. The present study can be useful for the estimation of blue carbon budgets in tropical coastal ecosystem since this type was the first hand information from this area.","10.1007/s13157-018-1094-6","https://sysrev.com/p/117521/article/14329214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055882748&doi=10.1007%2fs13157-018-1094-6&partnerID=40&md5=59843ca56fa3fe7e11d9b39de1c087c6"
"JOUR",14329216,"Ulrich, Werner; Hulisz, Piotr; Mantilla-Contreras, Jasmin; Elvisto, Tiina; Piernik, Agnieszka","2019","Compensatory effects stabilize the functioning of Baltic brackish and salt marsh plant communities","The variation in plant species abundances and in community composition appears to be a basic ecological trigger that determines changes in community functionality and resilience. Particularly, fluctuations in abundance of dominant species might indicate major changes in resource use and ecosystem functioning. Here we use quantitative surveys of Baltic brackish and salt marsh plant communities to infer how variability in species abundances and environmental conditions influence plant assimilation rates and whether compensatory effects in abundance mask variability in functionality. The variability in species richness and assimilation rates was negatively correlated with average soil organic matter content and moisture and positively correlated with soil pH. It was independent of the variability in soil conditions. The abundances of rare species and species of intermediate abundances increased with increasing community wide assimilation rates. Our findings indicate that the strength of compensatory mechanisms that stabilise assimilation rates in salt marsh environments heavily depend on soil conditions. In the present study sites benign soil conditions stabilized assimilation rates while more stressful conditions caused synchronous fluctuations in total abundance and assimilation.","10.1016/j.ecss.2019.106480","https://sysrev.com/p/117521/article/14329216","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074894536&doi=10.1016%2fj.ecss.2019.106480&partnerID=40&md5=57d7ea1db8f3a9da8b7fa0bb55f9c58d"
"JOUR",14329221,"Zhang Guangliang; Bai Junhong; Jia Jia; Wang Xin; Wang Wei; Zhao Qingqing; Zhang Shuai","2018","Soil Organic Carbon Contents and Stocks in Coastal Salt Marshes with Spartina alterniflora Following an Invasion Chronosequence in the Yellow River Delta, China","Plant invasion alters the fundamental structure and function of native ecosystems by affecting the biogeochemical pools and fluxes of materials and energy. Native (Suaeda salsa) and invasive (Spartina alterniflora) salt marshes were selected to study the effects of Spartina alterniflora invasion on soil organic carbon (SOC) contents and stocks in the Yellow River Delta. Results showed that the SOC contents (g/kg) and stocks (kg/m(2)) were significantly increased (P < 0.05) after Spartina alterniflora invasion of seven years, especially for the surface soil layer (0-20 cm). The SOC contents exhibited an even distribution along the soil profiles in native salt marshes, while the SOC contents were gradually decreased with depth after Spartina alterniflora invasion of seven years. The natural ln response ratios (LnRR) were applied to identify the effects of short-term Spartina alterniflora invasion on the SOC stocks. We also found that Spartina alterniflora invasion might cause soil organic carbon losses in a short-term phase (2-4 years in this study) due to the negative LnRR values, especially for 20-60 cm depth. And the SOCD in surface layer (0-20 cm) do not increase linearly with the invasive age. Spearman correlation analysis revealed that silt + clay content was exponentially related with SOC in surface layer (Adjusted R-2 = 0.43, P < 0.001), suggesting that soil texture could play a key role in SOC sequestration of coastal salt marshes.","10.1007/s11769-018-0955-5","https://sysrev.com/p/117521/article/14329221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043370383&doi=10.1007%2fs11769-018-0955-5&partnerID=40&md5=04c8be8778adb8bae6cc6a94646c8782"
"JOUR",14329223,"Irmler, Ulrich; Heller, Kai","2002","Zonation of the staphylinid fauna in a salt marsh of the North Sea coast in Schleswig-Holstein (northern Germany)","The zonation of the rove beetle fauna (Coleoptera: Staphylinidae) was studied in a salt marsh of the Wadden Sea near Friedrichskoog, Schleswig-Holstein (northern Germany), by means of pitfall traps in the years 1997 and 1998. Pit fall traps were installed with 5 replicates in an elevational gradient at 20 cm, 40 cm, 60 cm, 80 cm, 100 cm, and 130 cm above MHT (mean high tide: 157 cm + NN, NN: 500 cm above 0 at Amsterdam gauge). The rove beetle fauna exhibits two assemblages, which exactly correspond with the vegetational communities. The elevation above MHT was the major environmental parameter, which highly correlated with the flood frequency. The other environmental parameters, e.g.. electric conductivity, sand content, content of organic matter, mean yearly water content, and pH of soil, had no significant influence on the occurrence of species. The lower salt marsh (Puccinellietum) is significantly preferred by only four species, while in the upper salt marsh (Juncetum gerardii) 17 species occurred with significant higher abundance. The mean occurrence referring elevation and flood frequency was calculated for 34 species. Even the species preferring the lower salt marsh seem to have their highest abundance not at the lowest level at 20 cm above MHT, but at 40 cm or 60 cm above MHT. Brundinia marina, the most common species in the lower salt marsh, shows a shifting abundance within the elevational gradient, while Bledius tricornis constantly occurs at the preferred elevation of 60 cm above MHT.",NA,"https://sysrev.com/p/117521/article/14329223",NA
"JOUR",14329229,"Wang, Xiaohan; Pu, Lijie; Zhang, Meng; Wang, Qiqi; Yu, Xue","2015","Spatial and temporal variations of soil organic carbon and total nitrogen pools in the coastal reclamation area, eastern China","The spatial and temporal variation of soil organic carbon (SOC) and soil total nitrogen (STN) in a coastal reclamation area in eastern China were studied based on the ordinary kriging method. The 0-20 cm soil organic carbon pool (SOCP) and soil total nitrogen pool (STNP) ranged from 4.38 to 15.92 Mg/ha and from 0.24 to 2.37 Mg/ha, respectively, during the observed period. The results show there was a low level of spatial variation in both SOC and STN, which is to some extent the result of the same farmland management practiced in this region. The seasonal variation of SOC was attributed to plant growth and crop residue returning back to soil, while the spatial variation was mainly resulted from the fertilization practice. The average 0-20 cm SOCP and STNP were 10.38 +/- A 2.50 and 1.27 +/- A 0.38 Mg/ha, respectively, in the study region, both of which were much lower than in other ecosystems. Further analysis indicated that SOC was positively correlated with STN. This work revealed that the reclamation area from the tidal flat should be a potential sink for SOC and STN.","10.1007/s12665-015-4459-7","https://sysrev.com/p/117521/article/14329229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940725536&doi=10.1007%2fs12665-015-4459-7&partnerID=40&md5=988e221e7bf39339976638e927627cb3"
"JOUR",14329232,"George, U.S.; Antoine, A.D.","1982","DENITRIFICATION POTENTIAL OF A SALT-MARSH SOIL - EFFECT OF TEMPERATURE, PH AND SUBSTRATE CONCENTRATION","Denitrification was studied using samples of salt marsh soils collected from the New Jersey [USA] coast. The pH, organic matter content, NO3- and NO2- concentrations were determined on samples from marshes with and without grasses. Denitrification was measured in laboratory studies over a temperature range of 4-60.degree. C and a pH range of 5.0-9.0 by monitoring NO3- reduction, NO2- reduction and N2 evolution. Optimum conditions were controlled by a temperature-pH interaction which caused shifts in the pH optima relative to the change in temperature. NO3- and NO2- were reduced over a broad range of NO3- concentrations; 0.2 mg NO2--N ml-1 completely inhibited denitrification. The presence of NO3- reverses this inhibition. N2O was produced only at low pH values and low NO3- concentrations. The NO2- reducing system was the most easily disrupted of the 3 main processes of denitrification.","10.1016/0038-0717(82)90054-2","https://sysrev.com/p/117521/article/14329232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-22244445991&doi=10.1016%2f0038-0717%2882%2990054-2&partnerID=40&md5=8673c33f3f5bac7ee3517b60ca65a141"
"JOUR",14329239,"Hu, Yu; Wang, Lei; Xi, Xuefei; Hu, Jiajun; Hou, Yahong; Le, Yiquan; Fu, Xiaohua","2016","Effects of salinity on soil bacterial and archaeal community in estuarine wetlands and its implications for carbon sequestration: verification in the Yellow River Delta","Soils from two typical tidal salt marshes with varied salinity in the Yellow River Delta wetland were analysed to determine possible effects of salinity on soil carbon sequestration through changes in soil microbiology. The mean soil respiration (SR) of the salt water-fresh water mixing zone (MZ) was 2.89 times higher than that of the coastal zone (CZ) (4.73 and 1.63molm(-2)s(-1), respectively, p<.05), and soil dehydrogenase activity was the main microbial factor influencing SR. In addition to the higher soil microbial biomass, the MZ had more -Proteobacteria than the CZ, as well as some specific bacteria with strong heterotrophic metabolic activity such as Pseudomonas sp. and Limnobacter sp. that might have led to its higher dehydrogenase activity and respiratory rates. Additionally, the CZ possessed more Halobacteria and Thaumarchaeota with the ability to fix CO2 than the MZ. Significantly lower soil salinity in MZ (4.25gkg(-1)) was suitable for -Proteobacteria, but detrimental for Halobacteria compared with CZ (7.09gkg(-1), p<.01), which might lead to the lower microbial decomposition capacity of soils in CZ. As a result, the CZ has a higher soil organic carbon content than the MZ.","10.1080/02757540.2016.1177519","https://sysrev.com/p/117521/article/14329239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975292518&doi=10.1080%2f02757540.2016.1177519&partnerID=40&md5=4bbc3391fb7d99f66492680da3fa8fef"
"JOUR",14329241,"Kemp, Andrew C.; Vane, Christopher H.; Horton, Benjamin P.; Engelhart, Simon E.; Nikitina, Daria","2012","Application of stable carbon isotopes for reconstructing salt-marsh floral zones and relative sea level, New Jersey, USA","We investigated use of delta C-13 in bulk organic sediment to define the botanical origin of samples preserved in coastal sediment as a means to reconstruct relative sea level in New Jersey, USA. Modern transects at three sites demonstrated that low and high salt-marsh floral zones dominated by C-4 species (Spartina alterniflora and Spartina patens) were associated with sediment delta C-13 values between -18.9 parts per thousand and -15.8 parts per thousand and occurred from mean tide level (MTL) to mean higher high water (MHHW). Brackish transitional settings vegetated by Phragmites australis with Iva fructescens and Typha sp. (C-3 species) and freshwater upland samples (C-3 species) were characterized by bulk sediment delta C-13 values of -27.0 parts per thousand to -22.0 parts per thousand and existed above MHHW. Parallel transects at one site suggested that intra-site variability was not discernible. The utility of delta C-13 values for reconstructing relative sea level in New Jersey is limited by an inability to differentiate between brackish sediments related to sea level and freshwater upland samples. To facilitate this distinction in a 4.4 m core, we used a multi-proxy approach (delta C-13 values with presence or absence of agglutinated foraminifera) to recognize indicative meanings for four sample types. Sediment with delta C-13 values greater than -18.9 parts per thousand was derived from a vegetated salt-marsh and formed between MTL and MHHW. Sediment with delta C-13 values less than -22.0 parts per thousand and containing agglutinated foraminifera formed in a brackish transitional zone between MHHW and highest astronomical tide (HAT). This is the narrowest elevational range of the four sample types and most precise sea-level indicator. Sediment with delta C-13 values less than -22.0 parts per thousand and lacking foraminifera can only constrain the upper bound of former sea level. Samples with intermediate values (-22.0 parts per thousand to -18.9 parts per thousand) formed between MTL and HAT. Using these indicative meanings and radiocarbon dates, we suggest that a transition from brackish to salt-marsh delta C-13 values recorded in the core took approximately 350 years (from 1800 to 1450 cal. a BP). Copyright (C) 2011 John Wiley & Sons, Ltd.","10.1002/jqs.1561","https://sysrev.com/p/117521/article/14329241",NA
"JOUR",14329242,"Liu, Yue; Yang, Jisong; Ning, Kai; Wang, Andong; Wang, Qiuxian; Wang, Xuehong; Wang, Shuwen; Lv, Zhenbo; Zhao, Yajie; Yu, Junbao","2021","Temperature sensitivity of anaerobic CO2 production in soils of Phragmites australis marshes with distinct hydrological characteristics in the Yellow River estuary","Temperature sensitivity (Q(10)) is important to reveal carbon decomposition responding to climate change. It's remains limited to understand how Q(10) of anaerobic soil organic matter (SOM) decomposition is regulated by soil property in various wetlands with distinct hydrological characteristics. In the present study, samples of soil at the depths of 0-10 cm, 10-20 cm and 20-30 cm were collected in three typical Phragmites australis marshes, including a freshwater marsh (FPa), a no-tidal salt marsh (NTPa) and a tidal salt marsh (TPa), in the Yellow River estuary. The soil samples were incubated at 10 degrees C, 20 degrees C and 30 degrees C, respectively, to determine the rates of anaerobic CO2 production, Q(10) values, and their relations to soil properties. Over 70-d incubation, temperature rise significantly increased the mean rates by 70%-136% (from 10 degrees C to 20 degrees C) and 64%-142% (from 20 degrees C to 30 degrees C) among the marshes, with the mean Q(10) values ranging from 1.61 to 2.66. The rates of CO2 production and Q(10) values were significantly affected by wetland type and soil depth. Among marshes, the Q(10) of the FPa and NTPa soils was higher than that of the TPa soil (for 0-10 cm and 10-20 cm but for 20-30 cm); along soil depths, the Q(10) of the top soil was higher than that of the subsoil (for FPa and NTPa but for TPa). Q(10) was affected by total organic carbon (TOC), salinity and pH, and the effects were different with marshes. TOC was a main factor regulating Q(10) for the freshwater and the no-tidal salt marshes, while salinity and pH were main factors for the tidal salt marsh. The findings highlight an interactive mechanism of soil property and tidal underlying the response of SOM decomposition to temperature change in estuarine wetlands.","10.1016/j.ecolind.2021.107409","https://sysrev.com/p/117521/article/14329242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099808868&doi=10.1016%2fj.ecolind.2021.107409&partnerID=40&md5=0a03a96279bcd2a5523a486449690dba"
