"source_type","article_id","year","location","author_individual","name","title","abstract","doi","url","author_year_ID","authors_full"
"JOUR",90075506,"2019"," Africa/Middle East"," Adams, J. B.","author_03","A comparison of soil carbon pools across a mangrove-salt marsh ecotone at the southern African warm-temperate range limit","Mangroves and salt marshes are globally recognized for their ability to efficiently sequester and store carbon in biomass and soil carbon pools. An increase in soil carbon has been found at range limits where mangroves are expanding along ecotones into salt marsh, as mangroves store more carbon per unit area. However, the magnitude of this trend is variable at different mangrove range limits depending on the rates of expansion and the local climatic and geomorphological factors that influence current mangrove distribution. This study presents the first account of soil carbon storage across a mangrove-salt marsh ecotone at the Nahoon Estuary, a warm-temperate range limit for the east coast of the African continent. Soil carbon (to 50 cm depth) was compared between mangrove, salt marsh, and a transitional ecotone habitat. We found that soil carbon was highest at 30-50 cm below the surface across all habitats. The average soil carbon in the upper 50 cm was similar in mangrove (110.14 MgC.ha(-1)), ecotone (114.50 MgC.ha(-1)), and salt marsh habitats (109.62 MgC. ha(-1)). These results show that although mangroves have expanded at the Nahoon Estuary over the past 50 years, the soil carbon content is still similar across the mangrove-salt marsh ecotone. This is in contrast to other studies from southern hemisphere mangrove range limits in Australia. However, these trends have been reported at northern hemisphere range limits in the USA. Further studies in this region are needed to identify environmental factors influencing soil carbon variability. (C) 2019 SAAB. Published by Elsevier B.V. All rights reserved.","10.1016/j.sajb.2019.11.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075140774&doi=10.1016%2fj.sajb.2019.11.005&partnerID=40&md5=ef5c47b61c31125b4599af3640c59b85","Raw_2019_90075506","Raw, J. L.; Julie, C. L.; Adams, J. B."
"JOUR",90074927,"2020"," Central/South America"," Aldana-Gutierrez, Giovanni","author_12","Temporal records of organic carbon stocks and burial rates in Mexican blue carbon coastal ecosystems throughout the Anthropocene","Blue carbon (BC) ecosystems provide important and multiple ecosystem services, including climate change mitigation through carbon storage. However, these ecosystems are under the pressure of numerous anthropogenic stressors, such as population growth and industrialization, which jeopardize the benefits they provide. Although the common methodology is based on the use of a linear depth scale, this work highlights the need of sediment dating to evaluate temporal variation of organic carbon (C-org) stocks and burial rates, since sedimentation patterns can be variable even between sites within a single ecosystem. Temporal records of C-org stocks and burial rates during the past 100 years were determined in mangrove, seagrass and salt marsh ecosystems, from five representative areas of the Mexican marine coastal systems, by using Pb-210-dated sediment cores. Carbon stocks during the past 100 years (C-org stock((100 years))) ranged from 67 to 269 Mg C-org ha(-1) in mangroves, 8-53 Mg C(org )ha(-1) in seagrasses and 32-56 Mg C-org ha(-1) in salt marshes, and burial rates were 8-426 g m(-2) yr(-1), 2-252 g m(-2) yr(-1) and 1-60 g m(-2) yr(-1), respectively. Most of the stored C-org (60-86%) accumulated during the Anthropocene (since 1950), and in mangrove cores recent C-org stocks were up to six times higher than before the Anthropocene onset (1900-1950), most likely as a result of land use changes. Increased C-org burial rates in seagrass ecosystems were mostly driven by mass accumulation rate changes (promoted by catchment erosion and sea level rise), and in mangroves and salt marshes by changes in C-org content, likely promoted by an increase in productivity associated with nutrient enrichment by fertilizer runoff and sewage disposal. Despite the multiple anthropogenic stressors that positively affected C-org stocks and burial rates in BC ecosystems, worldwide destruction of these valuable habitats will cause losses of long-term buried C-org through significant CO2 releases, thus conservation and/or restoration are effective actions for climate change mitigation.","10.1016/j.gloplacha.2020.103215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088050165&doi=10.1016%2fj.gloplacha.2020.103215&partnerID=40&md5=3102ec71c0247e6f636d6c39269a0a0f","Cuellar-Martinez_2020_90074927","Cuellar-Martinez, Tomasa; Carolina Ruiz-Fernandez, Ana; Sanchez-Cabeza, Joan-Albert; Perez-Bernal, Libia; Guadalupe Lopez-Mendoza, Perla; Carnero-Bravo, Vladislav; Maricusa Agraz-Hernandez, Claudia; Ine van Tussenbroek, Brigitta; Sandoval-Gil, Jose; Gilberto Cardoso-Mohedano, Jose; Vazquez-Molina, Yosahandy; Aldana-Gutierrez, Giovanni"
"JOUR",90074871,"2012"," Europe"," Alvarez-Rogel, J.","author_07","Storage of organic carbon, nitrogen and phosphorus in the soil-plant system of Phragmites australis stands from a eutrophicated Mediterranean salt marsh","In this study we quantified the different forms of nitrogen, organic carbon and phosphorus in two eutrophicated watercourses flowing into a coastal salt marsh of the Mar Menor lagoon and analysed the role of the water flow regime in the nutrient loads flowing into the salt marsh. We discuss the degree to which the soil-plant system in stands of Phragmites australis could be affected by the discharges of nutrients and estimate the stocks of nitrogen, phosphorus and organic carbon in different compartments of the system. The base flow sustained an important discharge of surplus water of agricultural origin enriched in dissolved organic carbon (12.7 T y(-1)) and nitrogen (78.3 T y(-1), 85% N-NO3- and 15% organic-N) into the salt marsh, while inputs from wastewater-treatment plants were of much lower magnitude (5.5 T y(-1) of dissolved organic carbon and 4.1 T y(-1) of nitrogen, 57% N-NH4+ and 43% organic-N). The annual loads of phosphorus of agricultural origin and from urban wastewater were 1.87 T y(-1) and 0.97 T y(-1), respectively. The data show that the high amounts of inorganic nitrogen from agricultural activity are absorbed by vegetation or denitrified, while organic nitrogen probably helps to compensate for soil nitrogen lost by mineralisation. The soils of the salt marsh may be considered a sink for phosphorus flowing into it in wastewater. The tissues of P. australis showed differing patterns of accumulation and translocadon of carbon, nitrogen and phosphorus; the concentrations of these three elements changed with the season but apparently were not affected by the eutrophicated water that the plants received. Soil salinity, pH, Fe concentrations and phosphorus content had little influence on litter quality. Dry stems were important reservoirs of organic carbon since they persisted throughout the year, while dry leaves were the main contributors to the litter, which was mineralised partially during spring and summer. Calculations of primary productivity showed a positive balance of carbon in the below-ground biomass (595 g m(-2) y(-1)), above-ground (2610 g m(-2) y(-1)) and litter (260 g m(-2) y(-1)). The average soil organic carbon concentration decreased in one of the plots studied, probably because mineralisation was favoured since the soil was dry most of the time. Hence, our data suggest that although the high biomass production of Phragmites favours carbon sequestration in plant biomass, soil organic carbon losses in stands of this species may be very important throughout the year. (C) 2012 Published by Elsevier B.V.","10.1016/j.geoderma.2012.03.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860554082&doi=10.1016%2fj.geoderma.2012.03.019&partnerID=40&md5=2b2730ed03b662de18c898ff12a4d914","Gonzalez-Alcaraz_2012_90074871","Gonzalez-Alcaraz, M. N.; Egea, C.; Jimenez-Carceles, F. J.; Parraga, I.; Maria-Cervantes, A.; Delgado, M. J.; Alvarez-Rogel, J."
"JOUR",90074450,"2018"," Central/South America"," Amaya-Monterrosa, O. A.","author_05","Carbon burial and storage in tropical salt marshes under the influence of sea level rise","Coastal vegetated habitats can be important sinks of organic carbon (C-org) and mitigate global warming by sequestering significant quantities of atmospheric CO2 and storing sedimentary Corg for long periods, although their Corg burial and storage capacity may be affected by on-going sea level rise and human intervention. Geochemical data from published Pb-210-dated sediment cores, collected from low-energy microtidal coastal wetlands in El Salvador (Jiquilisco Bay) and in Mexico (Salada Lagoon; Estero de Urias Lagoon; Sian Ka'an Biosphere Reserve) were revisited to assess temporal changes (within the last 100 years) of Corg concentrations, storage and burial rates in tropical salt marshes under the influence of sea level rise and contrasting anthropization degree. Grain size distribution was used to identify hydrodynamic changes, and delta C-13 to distinguish terrigenous sediments from those accumulated under the influence of marine transgression. Although the accretion rate ranges in all sediment records were comparable, Corg concentrations (0.2-30%), stocks (30465 Mg ha(-1), by extrapolation to 1 m depth), and burial rates (3-378 g m(-2) year(-1)) varied widely within and among the study areas. However, in most sites sea level rise decreased C-org concentrations and stocks in sediments, but increased C-org burial rates. Lower C-org concentrations were attributed to the input of reworked marine particles, which contribute with a lower amount of C-org than terrigenous sediments; whereas higher C-org burial rates were driven by higher mass accumulation rates, influenced by increased flooding and human interventions in the surroundings. C-org accumulation and long-term preservation in tropical salt marshes can be as high as in mangrove or temperate salt marsh areas and, besides the reduction of C-org stocks by ongoing sea level rise, the disturbance of the long-term buried C-org inventories might cause high CO2 releases, for which they must be protected as a part of climate change mitigation efforts. (C) 2018 Elsevier B.V. All rights reserved.","10.1016/j.scitotenv.2018.02.246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056809820&doi=10.1016%2fj.scitotenv.2018.02.246&partnerID=40&md5=84e7abe63414214f4feab6fad0a7fde9","Ruiz-Fernandez_2018_90074450","Ruiz-Fernandez, A. C.; Carnero-Bravo, V.; Sanchez-Cabeza, J. A.; Perez-Bernal, L. H.; Amaya-Monterrosa, O. A.; Bojorquez-Sanchez, S.; Lopez-Mendoza, P. G.; Cardoso-Mohedano, J. G.; Dunbar, R. B.; Mucciarone, D. A.; Marmolejo-Rodriguez, A. J."
"JOUR",90074310,"2007"," Asia"," An, Soonmo","author_02","Biogeochemical Organic Carbon Cycles in the Intertidal SandySediment of Nakdong Estuary 낙동강 하구 갯벌 사질 퇴적물에서 생지화학적 유기탄소순환","In order to understand biogeochemical cycles of organic carbon in the permeable intertidal sandy sediments of the Nakdong estuary, we estimated the organic carbon production and consumption rates both in situ and in the laboratory. The Chl-a content of the sediment and the nutrient concentrations in below surface pore water in the sandy sediment were lower than in the muddy sediment. The sediment oxygen consumption rates were relatively high, especially when compared with rates reported from other coastal muddy sediments with higher organic carbon contents. This implied that both the organic carbon degradation and material transport in the sandy sediment were enhanced by advection-related process. The simple mass balance estimation of organic carbon fluxes showed that the major sources of carbon in the sediment would originate from benthic microalgae and detrital organic carbon derived from salt marsh. The daily natural biocatalzed filtration, extrapolated from filtration rates and the total area of the Nakdong estuary, was one order higher than the maximum capability of sewage plants in Busan metropolitan city. This implies that the sandy sediment contributes greatly to biogeochemical purification in the area, and is important for the re-distribution of materials in the coastal environment.",NA,NA,"Lee_2007_90074310","Lee, Jae Seong; An, Soonmo; Kim, SeonggGil; Kim, Seong-Soo; Jung, Raehong; PARK, Jongsoo; 박미옥; 진현국"
"JOUR",90075415,"2019"," Europe (rare)"," Antisari, Livia Vittori","author_06","Effect of waterlogging on soil biochemical properties and organic matter quality in different salt marsh systems","This study investigated the effects of hydroperiod on soil organic matter quality in three different salt marshes in the Baiona lagoon (N Italy) representing terrestrial, intertidal and subaqueous ecosystems in the area. The study specifically aimed to gain some insight into how soil waterlogging (hydroperiod) affects the chemical and biological properties of soils as well as the quality and structure of the soil organic matter (SOM). Total contents of selected nutrients, total organic carbon and carbon stable isotope (delta C-13) were measured in all soil profiles. The results of these analyses enabled us to define the different origin of the SOM by discriminating between terrestrial and aquatic SOM sources. The findings also show that accumulation of nutrients and SOM is significantly magnified in intertidal systems, in which pedoturbation effects induced by water movements are particularly strong. In addition, DRIFT spectra of humic acids revealed the changes in the main functional groups in relation to increased waterlogging, highlighting the lower aromaticity and complexity in subaqueous soils (SASs), which is possibly due to the effect of the soil water saturation on the chemical and biological SOM transformation processes. Microbial biomass carbon (MBC), microbial quotient (Qmic) and the activities of some soil enzymes were measured to estimate soil metabolic activity in the systems and to evaluate how the microbial pool contributes to transforming the SOM. In all systems, the enzymatic activities were generally higher in subsurface horizons than in the surface horizon. This unexpected behaviour can be explained by the combined effect of water movement, erosion processes and preservation of SOM under anaerobic conditions. This study represents an attempt to investigate and understand the ongoing degradation processes in salt marsh ecosystems. The findings emphasize the strong influence of water flow and erosional processes associated with soil waterlogging on chemical and biological reactions in intertidal and subaqueous systems.","10.1016/j.geoderma.2018.12.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058501543&doi=10.1016%2fj.geoderma.2018.12.019&partnerID=40&md5=c33986307b7062a49ba31f07079917f9","Ferronato_2019_90075415","Ferronato, Chiara; Marinari, Sara; Francioso, Ornella; Bello, Diana; Trasar-Cepeda, Carmen; Antisari, Livia Vittori"
"JOUR",90074668,"2018"," Africa/Middle East"," Arias-Ortiz, A.","author_03","Organic carbon sequestration and storage in vegetated coastal habitats along the western coast of the Arabian Gulf","Certain coastal ecosystems such as mangrove, saltmarsh and seagrass habitats have been identified as significant natural carbon sinks, through the sequestration and storage of carbon in their biomass and sediments, collectively known as 'blue carbon' ecosystems. These ecosystems can often thrive in extreme environments where terrestrial systems otherwise survive at the limit of their existence, such as in arid and desert regions of the globe. To further our understanding of the capability of blue carbon ecosystems to sequester and store carbon in such extreme climates, we measured carbon sediment stocks in 25 sites along the Western Arabian Gulf coast. While seagrass meadows and saltmarsh habitats were widely distributed along the coast, mangrove stands were much reduced as a result of anthropogenic pressures, with 90% of stands having been lost over the last century. Carbon stocks in 1 m deep surface sediments were similar across all three blue carbon habitats, with comparable stocks for saltmarsh (81 +/- 22 Mg C-org ha(-1)), seagrass (76 +/- 20 Mg C-org ha(-1)) and mangroves (76 +/- 23 Mg C-org ha(-1)). We recorded a 38% decrease in carbon stocks between mature established mangrove stands (91 Mg C-org ha(-1)) and recently planted mangroves (56 Mg C-org ha(-1)). Mangroves also had the lowest carbon stock per total area owing to their very limited spatial coverage along the coast. The largest stock per total area belonged to seagrass beds as a result of their large spatial coverage within the Gulf. We employed Pb-210 dating to determine the sediment accretion rates in each ecosystem and found mangrove habitats to be the most efficient carbon sequesters over the past century, with the highest carbon burial rate of the three ecosystems (19 g C-org m(-2) yr(-1)), followed by seagrass (9 g G(org) m(-2) yr(-1)) and saltmarshes (8 g C-org m(-2) yr(-1)). In this work, we describe a comprehensive comparison of sediment stocks in different blue carbon ecosystems within a single marine environment and across a large geographical area, and discuss our results in a global context for other blue carbon ecosystems in the dry tropics.","10.1088/1748-9326/aac899","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056519139&doi=10.1088%2f1748-9326%2faac899&partnerID=40&md5=e284de9bf6bc747f71aaa108886cd933","Cusack_2018_90074668","Cusack, M.; Saderne, V.; Arias-Ortiz, A.; Masque, P.; Krishnakumar, P. K.; Rabaoui, L.; Qurban, M. A.; Qasem, A. M.; Prihartato, P.; Loughland, R. A.; Elyas, A. A.; Duarte, C. M."
"JOUR",90074747,"2021"," Europe (rare)"," Artigas, L.F.","author_05","A multiproxy study of intertidal surface sediments from two macrotidal estuarine systems (Canche, Authie) in northern France: Insights into environmental processes","Estuaries are considered one of the most dynamic ecosystems in the world, ensuring high production and transfer of large quantities of organic matter (OM) from continents to the ocean. Despite the large influence of estuaries in the functioning of coastal ecosystems, our understanding of OM dynamics in these buffering coastal environments remains fragmented. In this frame, our study was carried out to describe and understand the main drivers of OM distribution in two estuaries (Canche, Authie) of the eastern English Channel, based on descriptive and quantitative approaches. For this purpose, in February and March 2018, surface sediments were sampled at low tide along cross-shore transects in the intertidal zone of each estuary. Analysis of sediment grain size, porosity, proportion of aggregated particles, total carbonate content and organic geochemical characteristics (total OM content, atomic TOC/TN ratio, delta 13C value) of surface sediments allowed identifying four biosedimentary facies: sand flat, mud flat, low and high salt marshes. In parallel, the elemental and isotopic characterization of the suspended particulate OM inputs by the rivers, the surface biofilms and the halophytic vegetation was performed to trace the three major sources contributing to sedimentary OM in both estuaries. Spatial distribution of OM in surface sediments (ranging between 0.6 and 26.9% dry weight) evidenced higher contents along marsh platforms than in sand and mud flats. and the OM pool was mainly constituted of a mixing of C3 terrestrial vascular plants, marine and riverine phytoplankton. The comparison between both estuaries highlighted that the geomorphology impacted by natural and anthropic factors plays a preponderant role in the distribution and the sources of sedimentary OM by influencing vegetation communities and hydrodynamic processes. In the context of sea level rise, an improved understanding of the OM dynamics within each biosedimentary facies is crucial to better constrain and assess the role of macrotidal estuaries in carbon cycle.","10.1016/j.csr.2021.104554","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117885070&doi=10.1016%2fj.csr.2021.104554&partnerID=40&md5=ba31b7a126b12dc6018d0adb937dd33d","Voltz_2021_90074747","Voltz, B.; Denis, L.; Duong, G.; Santoni, A.-L.; Artigas, L.F.; Cornille, V.; Henry, F.; Mathieu, O.; Tallobre, C.; Gontharet, S."
"JOUR",90074269,"2013"," Europe"," Babka, Beata","author_02","Changes in soil organic matter quality during sea-influenced marsh soil development at the North Sea coast","Salt marsh soils sequester large amounts of organic matter (OM). The question we address in this study is how OM quality changes during initial soil development in salt marshes. To answer this question, we studied soils at six sites at the German North Sea coast. At each site, three zones - low, mid, and high marsh - that differ in inundation frequency were analyzed. We found that organic carbon (OC) and nitrogen (N) contents increased significantly with decreasing inundation frequency at all sites, while inorganic carbon contents decreased. delta C-13 signatures of the OC strongly decreased at all sites from low to high marsh (from -153 to -21.5 parts per thousand), indicating a decrease in the proportion of marine-derived OC. The decrease in sea-derived OC was associated with an increase in C/N ratio, which can be attributed to the difference in the C/N ratios between sea- and land-derived OM inputs. Increases in OC and N contents in the bulk soils during soil development resulted from increases of the OC content in the coarse size fraction (>200 mu m), and were associated with increases in the content of hot water extractable C and N (C-hwe and N-hwe). The proportion of OM found in the fraction <2 mu m decreased with soil development. The delta C-13 signature of the OC sequestered in this fraction decreased from -20.6 to -24.0 parts per thousand. The smaller decrease in the delta C-13 signatures of the OC in the fraction <2 mu m compared to the delta C-13 signatures of the OC in the bulk soils indicates that the OC is relatively rigidly bound to the minerals in this fraction. The low delta C-13 signatures of OC stored in the fraction <2 mu m indicates that OM in this fraction is mainly of terrestrial origin. In conclusion, this study shows that OM contents and the proportion of relatively labile OM increases during initial marsh soil development due to inputs of terrestrial OC. (C) 2013 Elsevier B.V. All rights reserved.","10.1016/j.catena.2013.02.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876434944&doi=10.1016%2fj.catena.2013.02.006&partnerID=40&md5=7ad30fb96186bf1ac2b5f2b8defb2295","Spohn_2013_90074269","Spohn, Marie; Babka, Beata; Giani, Luise"
"JOUR",90074605,"2019"," Europe"," Baert, L.","author_02","Soil organic carbon stocks in a tidal marsh landscape are dominated by human marsh embankment and subsequent marsh progradation","Tidal marshes are coastal and estuarine ecosystems that store large amounts of sedimentary organic carbon (OC). Despite the valuable ecosystem services they deliver, tidal marshes have been converted to other land-use types over the past centuries. Although previous studies have reported large decreases in soil organic carbon (SOC) stocks after tidal marsh embankment, knowledge on the magnitude and rate of OC losses is still limited. Here, we studied the effect of stepwise embankments of brackish and salt marshes and subsequent marsh progradation on SOC stocks in the Scheldt estuary (the Netherlands). We collected samples from soil profiles along tidal marsh-reclaimed tidal marsh chronosequences and determined total OC stocks and the stable carbon signature of the OC. Our results showed that large losses of previously sequestered SOC occur on a decadal timescale with the embankment of brackish (-8.7 +/- 0.7 kg OC m(-2)) and salt marshes (-6.7 +/- 0.8 kg OC m(-2)). The (incomplete) replacement of tidal marsh OC by agricultural OC is substantially faster in topsoils (ca. a century) compared with subsoils (multiple centuries). Simulations with a coupled land use-SOC model showed that large rates of marsh progradation following embankment construction resulted in a substantial increase in landscape-scale SOC storage, whereas large SOC losses occurred in landscapes dominated by embanked tidal marshes. The findings of our study might help to assess how these management practices affect regional SOC stocks.","10.1111/ejss.12739","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057766567&doi=10.1111%2fejss.12739&partnerID=40&md5=4df28dfc6b1509fbc8f6f40a93ef5c62","Van de Broek_2019_90074605","Van de Broek, M.; Baert, L.; Temmerman, S.; Govers, G."
