 Sampling ID,Latitude_N,Longitude_E,Habitat,layer_cm,OC_perc,d13C_permille,TN_perc,C/N,FM,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,0-1,1.38,-19.19,0.219,7.33,0.23,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,1-2,1.23,-19.30,0.217,6.62,0.16,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,2-3,1.00,-19.48,0.133,8.84,0.37,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,3-4,0.82,-19.67,0.104,9.14,0.40,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,4-5,0.76,-19.78,0.109,8.12,0.30,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,5-6,0.70,-19.89,0.095,8.63,0.35,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,6-7,0.60,-19.91,0.074,9.47,0.43,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,7-8,0.52,-21.69,0.056,10.99,0.55,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,8-9,0.49,-20.56,0.062,9.15,0.39,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,9-10,0.48,-21.15,0.060,9.26,0.39,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,10-11,0.62,-22.19,0.057,12.73,0.72,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,11-12,0.46,-21.57,0.076,7.02,0.17,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,12-14,0.42,-20.37,0.057,8.51,0.33,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,14-16,0.40,-20.95,0.062,7.41,0.21,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,16-18,0.44,-21.95,0.057,9.10,0.36,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,18-20,0.49,-21.09,0.059,9.80,0.44,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,20-22,0.44,-20.58,0.062,8.33,0.31,,,,,,,,,,,,,,,,,,,,
1,44°51 36,12°26 054,Saltmarsh,22-24,0.38,-21.07,0.048,9.14,0.38,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,0-1,1.17,-17.74,0.179,7.63,0.28,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,1-2,1.16,-19.23,0.176,7.72,0.27,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,2-3,1.15,-20.14,0.162,8.29,0.31,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,3-4,1.05,-19.62,0.124,9.90,0.47,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,4-5,1.13,-19.89,0.163,8.14,0.30,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,5-6,1.31,-19.54,0.164,9.35,0.42,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,6-7,1.21,-20.25,0.154,9.19,0.40,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,7-8,1.11,-19.37,0.126,10.34,0.52,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,8-9,1.12,-19.58,0.129,10.14,0.50,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,9-10,0.84,-19.71,0.091,10.72,0.55,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,10-11,0.56,-18.41,0.083,7.88,0.29,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,11-12,0.28,-20.06,0.051,6.32,0.12,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,12-13,0.24,-18.47,0.039,7.01,0.21,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,13-14,0.22,-19.42,0.038,6.75,0.17,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,14-15,0.23,-18.56,0.035,7.48,0.25,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,15-16,0.45,-18.58,0.033,15.80,1.07,,,,,,,,,,,,,,,,,,,,
2,44°51 195,12°26 281,Saltmarsh,16-17,0.29,-19.27,0.022,15.24,1.00,,,,,,,,,,,,,,,,,,,,
