Latitude,Longitude,Aboveground biomass organic carbon stocks (g C m-2),State,Climate region,Source
-34.278415,115.170012,635,WA,Temperate,"Congdon, R. A., & McComb, A. J. The vegetation of the Blackwood River Estuary, south-west Australia. The Journal of Ecology, 1-16 (1981)."
-34.278415,115.170012,990,WA,Temperate,"Congdon, R. A., & McComb, A. J. The vegetation of the Blackwood River Estuary, south-west Australia. The Journal of Ecology, 1-16 (1981)."
-34.289719,115.168145,1260,WA,Temperate,"Congdon, R. A., & McComb, A. J. The vegetation of the Blackwood River Estuary, south-west Australia. The Journal of Ecology, 1-16 (1981)."
-34.315354,115.182718,360,WA,Temperate,"Congdon, R. A., & McComb, A. J. The vegetation of the Blackwood River Estuary, south-west Australia. The Journal of Ecology, 1-16 (1981)."
-34.315354,115.182718,180,WA,Temperate,"Congdon, R. A., & McComb, A. J. The vegetation of the Blackwood River Estuary, south-west Australia. The Journal of Ecology, 1-16 (1981)."
-34.269089,115.170497,495,WA,Temperate,"Congdon, R. A., & McComb, A. J. The vegetation of the Blackwood River Estuary, south-west Australia. The Journal of Ecology, 1-16 (1981)."
-35.022351,150.663716,43,NSW,Temperate,"Clarke, P. J., & Jacoby, C. A. Biomass and above-ground productivity of salt-marsh plants in south-eastern Australia. Marine and Freshwater Research, 45(8), 1521-1528 (1994)."
-35.022351,150.663716,1980,NSW,Temperate,"Clarke, P. J., & Jacoby, C. A. Biomass and above-ground productivity of salt-marsh plants in south-eastern Australia. Marine and Freshwater Research, 45(8), 1521-1528 (1994)."
-35.021928,150.770701,88,NSW,Temperate,"Clarke, P. J., & Jacoby, C. A. Biomass and above-ground productivity of salt-marsh plants in south-eastern Australia. Marine and Freshwater Research, 45(8), 1521-1528 (1994)."
-35.708202,150.158138,1024,NSW,Temperate,"Clarke, P. J., & Jacoby, C. A. Biomass and above-ground productivity of salt-marsh plants in south-eastern Australia. Marine and Freshwater Research, 45(8), 1521-1528 (1994)."
