Latitude,Longitude,Soil organic carbon stock (Mg C ha-1 in 1 m-thick soil),State,Climate region,Source
-34.935331,150.714458,519.65,NSW,Temperate,This study
-34.935399,150.714331,316.35,NSW,Temperate,This study
-34.935411,150.714235,188.46,NSW,Temperate,This study
-34.935664,150.713910,243.88,NSW,Temperate,This study
-34.935531,150.714226,214.66,NSW,Temperate,This study
-34.935483,150.714255,191.25,NSW,Temperate,This study
-34.935330,150.714575,202.68,NSW,Temperate,This study
-34.908828,150.740143,220.48,NSW,Temperate,This study
-34.909763,150.740181,99.26,NSW,Temperate,This study
-34.909410,150.740889,191.33,NSW,Temperate,This study
-34.908775,150.741283,196.07,NSW,Temperate,This study
-34.908631,150.740193,177.97,NSW,Temperate,This study
-34.908700,150.740194,157.31,NSW,Temperate,This study
-34.909133,150.741559,282.49,NSW,Temperate,This study
-34.908926,150.741647,273.14,NSW,Temperate,This study
-36.079019,150.123379,72.97,NSW,Temperate,This study
-36.078811,150.123397,57.26,NSW,Temperate,This study
-36.078495,150.123437,57.86,NSW,Temperate,This study
-36.076976,150.123042,42.11,NSW,Temperate,This study
-36.076022,150.122937,43.18,NSW,Temperate,This study
-36.075918,150.122695,96.55,NSW,Temperate,This study
-36.076081,150.122306,85.63,NSW,Temperate,This study
-36.076713,150.121990,99.04,NSW,Temperate,This study
-36.052456,150.065503,276.97,NSW,Temperate,This study
-36.053587,150.064199,338.09,NSW,Temperate,This study
-36.054078,150.062818,435.69,NSW,Temperate,This study
-36.057233,150.063029,305.56,NSW,Temperate,This study
-36.057407,150.063667,231.32,NSW,Temperate,This study
-36.056969,150.063049,260.16,NSW,Temperate,This study
-36.055660,150.062765,269.84,NSW,Temperate,This study
-36.055223,150.062850,267.35,NSW,Temperate,This study
-35.709908,150.171966,103.75,NSW,Temperate,This study
-35.709894,150.172273,71.60,NSW,Temperate,This study
-35.711174,150.173118,82.58,NSW,Temperate,This study
-35.711768,150.173057,113.00,NSW,Temperate,This study
-35.709435,150.172179,210.28,NSW,Temperate,This study
-35.710239,150.173071,153.30,NSW,Temperate,This study
-35.710531,150.173151,59.39,NSW,Temperate,This study
-35.693089,150.099483,391.40,NSW,Temperate,This study
-35.693055,150.099694,450.00,NSW,Temperate,This study
-35.692817,150.099560,371.62,NSW,Temperate,This study
-35.692758,150.099886,387.16,NSW,Temperate,This study
-35.692262,150.098597,411.10,NSW,Temperate,This study
-35.691820,150.099358,581.43,NSW,Temperate,This study
-35.691928,150.099703,394.35,NSW,Temperate,This study
-35.692015,150.100176,374.40,NSW,Temperate,This study
-32.200462,152.510398,66.09,NSW,Subtropical,This study
-32.200746,152.510629,78.31,NSW,Subtropical,This study
-32.200709,152.510441,55.21,NSW,Subtropical,This study
-32.201717,152.508678,150.23,NSW,Subtropical,This study
-32.200759,152.509541,115.16,NSW,Subtropical,This study
-32.200788,152.508975,139.97,NSW,Subtropical,This study
-32.200692,152.508678,113.14,NSW,Subtropical,This study
-32.201415,152.509036,98.52,NSW,Subtropical,This study
-32.667571,152.147500,152.44,NSW,Subtropical,This study
-32.668039,152.147029,123.03,NSW,Subtropical,This study
-32.669169,152.143360,161.63,NSW,Subtropical,This study
-32.668718,152.143499,178.01,NSW,Subtropical,This study
-32.669149,152.147590,236.45,NSW,Subtropical,This study
