"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"1","Bulmer et al 2020","RHB 10","pauanui",10,"saltmarsh",-37.030115,175.850659,"direct from dataset","1","New Zealand",2016,0,0.02,"EA",14.3936,0.45,0.6,"https://doi.org/10.3389/fmars.2020.00380"
"2","Bulmer et al 2020","RHB 11","pauanui",11,"saltmarsh",-37.030126,175.850538,"direct from dataset","1","New Zealand",2016,0,0.02,"EA",2.05524,0.23,0.74,"https://doi.org/10.3389/fmars.2020.00380"
"3","Bulmer et al 2020","RHB 12","pauanui",12,"saltmarsh",-37.030039,175.850463,"direct from dataset","1","New Zealand",2016,0,0.02,"EA",5.61904,0.63,0.32,"https://doi.org/10.3389/fmars.2020.00380"
"4","Bulmer et al 2020","RHB 10","pauanui",10,"saltmarsh",-37.030115,175.850659,"direct from dataset","1","New Zealand",2016,0.02,0.1,"EA",1.960098,0.19,0.79,"https://doi.org/10.3389/fmars.2020.00380"
"5","Bulmer et al 2020","RHB 11","pauanui",11,"saltmarsh",-37.030126,175.850538,"direct from dataset","1","New Zealand",2016,0.02,0.1,"EA",1.289918,0.11,0.88,"https://doi.org/10.3389/fmars.2020.00380"
"6","Bulmer et al 2020","RHB 12","pauanui",12,"saltmarsh",-37.030039,175.850463,"direct from dataset","1","New Zealand",2016,0.02,0.1,"EA",4.430104,0.29,0.48,"https://doi.org/10.3389/fmars.2020.00380"
"7","Bulmer et al 2020","RHB 10","pauanui",10,"saltmarsh",-37.030115,175.850659,"direct from dataset","1","New Zealand",2016,0.1,0.2,"EA",0.79001,0.06,1.21,"https://doi.org/10.3389/fmars.2020.00380"
"8","Bulmer et al 2020","RHB 11","pauanui",11,"saltmarsh",-37.030126,175.850538,"direct from dataset","1","New Zealand",2016,0.1,0.2,"EA",0.553806,0.03,1.36,"https://doi.org/10.3389/fmars.2020.00380"
"9","Bulmer et al 2020","RHB 12","pauanui",12,"saltmarsh",-37.030039,175.850463,"direct from dataset","1","New Zealand",2016,0.1,0.2,"EA",1.099221,0.06,1.05,"https://doi.org/10.3389/fmars.2020.00380"
"10","Bulmer et al 2020","RHB 10","pauanui",10,"saltmarsh",-37.030115,175.850659,"direct from dataset","1","New Zealand",2016,0.2,0.3,"EA",0.581277,0.05,1.31,"https://doi.org/10.3389/fmars.2020.00380"
