"","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3"
"1","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0,0.01,"EA",1.79,NA
"2","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.01,0.02,"EA",1.96,NA
"3","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.02,0.03,"EA",1.74,NA
"4","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.03,0.04,"EA",0.71,NA
"5","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.04,0.05,"EA",0.95,NA
"6","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.05,0.06,"EA",1.2,NA
"7","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.06,0.07,"EA",1.27,NA
"8","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.07,0.08,"EA",0.51,NA
"9","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.08,0.09,"EA",1.45,NA
"10","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.09,0.1,"EA",1.11,NA
"11","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.1,0.11,"EA",0.41,NA
"12","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.11,0.12,"EA",0.71,NA
"13","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.12,0.13,"EA",0.83,NA
"14","Bunzel et al 2019","DB Bay of Tumlau","Bay of Tumlau","Salt marsh",54.3642,8.6764,"direct from dataset","1","Germany","2013",0.13,0.14,"EA",0.59,NA
