"","Source","Site_name","Original_source","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","Conv_factor","SOM_perc","SOM_perc_mean","SOM_perc_sd","OC_perc","OC_perc_mean","OC_perc_sd","BD_reported_g_cm3"
"1","Copertino et al under review","MC 4","Braga et al 2011","Algodoal",4,"Salt marsh",-0.6786,-47.8463,"direct from dataset","1","Brazil","2007",0,0.1,"LOI","0.47*x+0.0008",NA,0.17,0.07,NA,0.08,0.0337,NA
"2","Copertino et al under review","MC 87","Negrin et al 2019","Bahia Blanca Spartina",87,"Salt marsh",-38.7403,-62.3539,"direct from dataset","1","Argentina","2011/2012",0,0.15,"LOI","0.47*x+0.0008",NA,8.9,1.75,NA,4.18,0.8233,NA
"3","Copertino et al under review","MC 88","Negrin et al 2019","Bahia Blanca Spartina",88,"Salt marsh",-38.7403,-62.3539,"direct from dataset","1","Argentina","2011/2012",0,0.15,"LOI","0.47*x+0.0008",NA,2.36,0.75,NA,1.11,0.3533,NA
"4","Copertino et al under review","MC 89","Negrin et al 2019","Bahia Blanca Spartina",89,"Salt marsh",-38.7403,-62.3539,"direct from dataset","1","Argentina","2011/2012",0,0.15,"LOI","0.47*x+0.0008",NA,8.56,0.45,NA,4.02,0.2123,NA
"5","Copertino et al under review","MC 8","Braga et al 2011","Bragança",8,"Salt marsh",-0.7889,-46.7217,"direct from dataset","1","Brazil","2007",0,0.1,"LOI","0.47*x+0.0008",NA,0.39,0.27,NA,0.18,0.1277,NA
"6","Copertino et al under review","MC 18","Adaime 1978","Cananéia / Pta. Arrozal",18,"Salt marsh",-25.0367,-47.93,"direct from dataset","1","Brazil","1974",0,0.05,"LOI","0.47*x+0.0008",10.2,NA,NA,3.4,NA,NA,NA
"7","Copertino et al under review","MC 18","Adaime 1978","Cananéia / Pta. Arrozal",18,"Salt marsh",-25.0367,-47.93,"direct from dataset","1","Brazil","1974",0.05,0.1,"LOI","0.47*x+0.0008",16.08,NA,NA,4.4,NA,NA,NA
"8","Copertino et al under review","MC 18","Adaime 1978","Cananéia / Pta. Arrozal",18,"Salt marsh",-25.0367,-47.93,"direct from dataset","1","Brazil","1974",0.1,0.2,"LOI","0.47*x+0.0008",15.07,NA,NA,5.4,NA,NA,NA
"9","Copertino et al under review","MC 21","Flynn et al 1998","Cananéia / Pta. Arrozal",21,"Salt marsh",-25.0366,-47.9282,"direct from dataset","1","Brazil","1988",0,0.1,"LOI","0.47*x+0.0008",NA,0.03,NA,0.01,NA,NA,NA
"10","Copertino et al under review","MC 24","Flynn et al 1998","Cananéia / Pta. Arrozal",24,"Salt marsh",-25.0366,-47.9282,"direct from dataset","1","Brazil","1988",0,0.1,"LOI","0.47*x+0.0008",NA,1.27,NA,0.6,NA,NA,NA
