"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","N_perc"
"1","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0,0.01,"EA",9.099574364,26.65602554,1.08
"2","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.01,0.02,"EA",15.7777492,40.80574392,1.73
"3","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.02,0.03,"EA",NA,NA,NA
"4","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.03,0.04,"EA",14.67862521,39.09258257,1.655
"5","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.04,0.05,"EA",NA,NA,NA
"6","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.05,0.06,"EA",13.57950122,37.37942122,1.58
"7","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.06,0.07,"EA",NA,NA,NA
"8","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.07,0.08,"EA",13.30160613,36.62470863,1.56
"9","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.08,0.09,"EA",NA,NA,NA
"10","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.09,0.1,"EA",13.02371103,35.86999604,1.54
"11","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.1,0.11,"EA",NA,NA,NA
"12","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.11,0.12,"EA",13.5143955,36.23202772,1.585
"13","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.12,0.13,"EA",NA,NA,NA
"14","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.13,0.14,"EA",14.00507996,36.59405941,1.63
"15","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.14,0.15,"EA",NA,NA,NA
"16","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.15,0.16,"EA",12.6303964,34.76622402,1.63
"17","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.16,0.17,"EA",NA,NA,NA
"18","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.17,0.18,"EA",11.25571285,32.93838863,1.63
"19","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.18,0.19,"EA",NA,NA,NA
"20","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.19,0.2,"EA",10.94678886,31.17159873,1.285
"21","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.2,0.21,"EA",NA,NA,NA
"22","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.21,0.22,"EA",10.63786486,29.40480883,0.94
"23","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.22,0.23,"EA",NA,NA,NA
"24","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.23,0.24,"EA",9.426891717,26.12584939,0.94
"25","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.24,0.25,"EA",NA,NA,NA
"26","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.25,0.26,"EA",8.21591857,22.84688995,0.94
"27","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.26,0.27,"EA",NA,NA,NA
"28","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.27,0.28,"EA",7.88735769,22.13063608,0.925
"29","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.28,0.29,"EA",NA,NA,NA
"30","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.29,0.3,"EA",7.558796811,21.4143822,0.91
"31","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.3,0.31,"EA",NA,NA,NA
"32","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.31,0.32,"EA",7.229691646,20.35175979,0.85
"33","Cuellar-Martinez et al 2019","TCM SQM1","Ensenada","SQM1","Salt marsh",30.45444444,-116.0241667,"direct from dataset","1","Mexico","2018",0.32,0.33,"EA",NA,NA,NA
