"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc_mean","OC_perc_se"
"1","Ferronato et al 2019","CF ITS A","Baiona lagoon","ITS A","Intertidal tidal marsh",44.513875,12.263167,"direct from dataset","1","Italy","2015",0,0.06,"CF-IRMS",11.919,1.238
"2","Ferronato et al 2019","CF ITS A","Baiona lagoon","ITS A","Intertidal tidal marsh",44.513875,12.263167,"direct from dataset","1","Italy","2015",0.06,0.24,"CF-IRMS",0.231,NA
"3","Ferronato et al 2019","CF ITS A","Baiona lagoon","ITS A","Intertidal tidal marsh",44.513875,12.263167,"direct from dataset","1","Italy","2015",0.24,1,"CF-IRMS",0.302,NA
"4","Ferronato et al 2019","CF ITS B","Baiona lagoon","ITS B","Intertidal tidal marsh",44.492601,12.248894,"direct from dataset","1","Italy","2015",0,0.06,"CF-IRMS",10.94,2.584
"5","Ferronato et al 2019","CF ITS B","Baiona lagoon","ITS B","Intertidal tidal marsh",44.492601,12.248894,"direct from dataset","1","Italy","2015",0.06,0.24,"CF-IRMS",0.605,NA
"6","Ferronato et al 2019","CF ITS B","Baiona lagoon","ITS B","Intertidal tidal marsh",44.492601,12.248894,"direct from dataset","1","Italy","2015",0.24,1,"CF-IRMS",0.596,NA
"7","Ferronato et al 2019","CF ITS C","Baiona lagoon","ITS C","Intertidal tidal marsh",44.498855,12.263027,"direct from dataset","1","Italy","2015",0,0.06,"CF-IRMS",10.795,3.543
"8","Ferronato et al 2019","CF ITS C","Baiona lagoon","ITS C","Intertidal tidal marsh",44.498855,12.263027,"direct from dataset","1","Italy","2015",0.06,0.24,"CF-IRMS",0.81,0.014
"9","Ferronato et al 2019","CF ITS C","Baiona lagoon","ITS C","Intertidal tidal marsh",44.498855,12.263027,"direct from dataset","1","Italy","2015",0.24,1,"CF-IRMS",0.5,0.172
"10","Ferronato et al 2019","CF SAS A","Baiona lagoon","SAS A","Subaqueous tidal marsh",44.51386,12.263281,"direct from dataset","1","Italy","2015",0,0.05,"CF-IRMS",1.985,NA
"11","Ferronato et al 2019","CF SAS A","Baiona lagoon","SAS A","Subaqueous tidal marsh",44.51386,12.263281,"direct from dataset","1","Italy","2015",0.05,0.8,"CF-IRMS",0.356,0.1
"12","Ferronato et al 2019","CF SAS A","Baiona lagoon","SAS A","Subaqueous tidal marsh",44.51386,12.263281,"direct from dataset","1","Italy","2015",0.8,1.18,"CF-IRMS",0.099,0.003
"13","Ferronato et al 2019","CF SAS B","Baiona lagoon","SAS B","Subaqueous tidal marsh",44.492528,12.248847,"direct from dataset","1","Italy","2015",0,0.05,"CF-IRMS",2.13,NA
"14","Ferronato et al 2019","CF SAS B","Baiona lagoon","SAS B","Subaqueous tidal marsh",44.492528,12.248847,"direct from dataset","1","Italy","2015",0.05,0.8,"CF-IRMS",0.362,NA
"15","Ferronato et al 2019","CF SAS B","Baiona lagoon","SAS B","Subaqueous tidal marsh",44.492528,12.248847,"direct from dataset","1","Italy","2015",0.8,1.18,"CF-IRMS",0.368,0.054
"16","Ferronato et al 2019","CF SAS C","Baiona lagoon","SAS C","Subaqueous tidal marsh",44.498739,12.263045,"direct from dataset","1","Italy","2015",0,0.05,"CF-IRMS",7.37,NA
"17","Ferronato et al 2019","CF SAS C","Baiona lagoon","SAS C","Subaqueous tidal marsh",44.498739,12.263045,"direct from dataset","1","Italy","2015",0.05,0.8,"CF-IRMS",0.746,0.061
"18","Ferronato et al 2019","CF SAS C","Baiona lagoon","SAS C","Subaqueous tidal marsh",44.498739,12.263045,"direct from dataset","1","Italy","2015",0.8,1.18,"CF-IRMS",0.247,0.036
"19","Ferronato et al 2019","CF TES A","Baiona lagoon","TES A","Terrestrial tidal marsh",44.51389,12.26304,"direct from dataset","1","Italy","2015",0,0.11,"CF-IRMS",1.22,0.054
"20","Ferronato et al 2019","CF TES A","Baiona lagoon","TES A","Terrestrial tidal marsh",44.51389,12.26304,"direct from dataset","1","Italy","2015",0.11,0.28,"CF-IRMS",0.343,0.022
"21","Ferronato et al 2019","CF TES A","Baiona lagoon","TES A","Terrestrial tidal marsh",44.51389,12.26304,"direct from dataset","1","Italy","2015",0.28,1,"CF-IRMS",0.132,0.169
"22","Ferronato et al 2019","CF TES B","Baiona lagoon","TES B","Terrestrial tidal marsh",44.492892,12.249031,"direct from dataset","1","Italy","2015",0,0.11,"CF-IRMS",8.394,2.304
"23","Ferronato et al 2019","CF TES B","Baiona lagoon","TES B","Terrestrial tidal marsh",44.492892,12.249031,"direct from dataset","1","Italy","2015",0.11,0.28,"CF-IRMS",0.756,0.104
"24","Ferronato et al 2019","CF TES B","Baiona lagoon","TES B","Terrestrial tidal marsh",44.492892,12.249031,"direct from dataset","1","Italy","2015",0.28,1,"CF-IRMS",0.533,0.031
"25","Ferronato et al 2019","CF TES C","Baiona lagoon","TES C","Terrestrial tidal marsh",44.49891,12.263037,"direct from dataset","1","Italy","2015",0,0.11,"CF-IRMS",4.611,2.405
"26","Ferronato et al 2019","CF TES C","Baiona lagoon","TES C","Terrestrial tidal marsh",44.49891,12.263037,"direct from dataset","1","Italy","2015",0.11,0.28,"CF-IRMS",0.593,NA
"27","Ferronato et al 2019","CF TES C","Baiona lagoon","TES C","Terrestrial tidal marsh",44.49891,12.263037,"direct from dataset","1","Italy","2015",0.28,1,"CF-IRMS",0.59,NA
