"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Season","U_depth_m","L_depth_m","Method","SOM_perc","BD_reported_g_cm3","DOI"
"1","Ford et al 2016","HF AH 1","AH",1,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",8.47,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"2","Ford et al 2016","HF AH 1","AH",1,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",8.98,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"3","Ford et al 2016","HF AH 1","AH",1,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",6.95,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"4","Ford et al 2016","HF AH 2","AH",2,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",9.16,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"5","Ford et al 2016","HF AH 2","AH",2,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",6.99,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"6","Ford et al 2016","HF AH 2","AH",2,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",6.09,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"7","Ford et al 2016","HF AH 3","AH",3,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",6.89,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"8","Ford et al 2016","HF AH 3","AH",3,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",7.77,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"9","Ford et al 2016","HF AH 3","AH",3,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",6.15,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"10","Ford et al 2016","HF AH 4","AH",4,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",13.59,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"11","Ford et al 2016","HF AH 4","AH",4,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",6.89,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"12","Ford et al 2016","HF AH 4","AH",4,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",3.91,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"13","Ford et al 2016","HF AH 5","AH",5,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",7.05,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"14","Ford et al 2016","HF AH 5","AH",5,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",7.22,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"15","Ford et al 2016","HF AH 5","AH",5,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",7.43,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"16","Ford et al 2016","HF AH 6","AH",6,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",6.19,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"17","Ford et al 2016","HF AH 6","AH",6,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",4.6,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"18","Ford et al 2016","HF AH 6","AH",6,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",3.76,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"19","Ford et al 2016","HF AH 7","AH",7,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",7.42,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"20","Ford et al 2016","HF AH 7","AH",7,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",6.93,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"21","Ford et al 2016","HF AH 7","AH",7,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",5.57,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"22","Ford et al 2016","HF AH 8","AH",8,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",5.39,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"23","Ford et al 2016","HF AH 8","AH",8,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",5.06,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"24","Ford et al 2016","HF AH 8","AH",8,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",4.9,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"25","Ford et al 2016","HF AH 9","AH",9,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",8.32,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"26","Ford et al 2016","HF AH 9","AH",9,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",6.98,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"27","Ford et al 2016","HF AH 9","AH",9,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",8.85,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"28","Ford et al 2016","HF AH 10","AH",10,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",10.93,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"29","Ford et al 2016","HF AH 10","AH",10,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",10.03,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"30","Ford et al 2016","HF AH 10","AH",10,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",4.94,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"31","Ford et al 2016","HF AH 11","AH",11,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",6.32,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"32","Ford et al 2016","HF AH 11","AH",11,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",3.89,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"33","Ford et al 2016","HF AH 11","AH",11,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",7.53,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"34","Ford et al 2016","HF AH 12","AH",12,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",9.55,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"35","Ford et al 2016","HF AH 12","AH",12,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",15.36,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"36","Ford et al 2016","HF AH 12","AH",12,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",7.57,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"37","Ford et al 2016","HF AH 13","AH",13,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",5.97,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"38","Ford et al 2016","HF AH 13","AH",13,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",4.59,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"39","Ford et al 2016","HF AH 13","AH",13,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",6.68,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"40","Ford et al 2016","HF AH 14","AH",14,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",10.19,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"41","Ford et al 2016","HF AH 14","AH",14,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",29.42,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"42","Ford et al 2016","HF AH 14","AH",14,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",7.34,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"43","Ford et al 2016","HF AH 15","AH",15,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",10.66,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"44","Ford et al 2016","HF AH 15","AH",15,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",13.29,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"45","Ford et al 2016","HF AH 15","AH",15,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",12.09,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"46","Ford et al 2016","HF AH 16","AH",16,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",18.03,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"47","Ford et al 2016","HF AH 16","AH",16,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",13.62,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"48","Ford et al 2016","HF AH 16","AH",16,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",17.29,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"49","Ford et al 2016","HF AH 17","AH",17,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",11.75,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"50","Ford et al 2016","HF AH 17","AH",17,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",10.25,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"51","Ford et al 2016","HF AH 17","AH",17,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",9.51,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"52","Ford et al 2016","HF AH 18","AH",18,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",5.83,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"53","Ford et al 2016","HF AH 18","AH",18,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",5.14,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"54","Ford et al 2016","HF AH 18","AH",18,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",4.45,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"55","Ford et al 2016","HF AH 19","AH",19,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",6.65,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"56","Ford et al 2016","HF AH 19","AH",19,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",5.98,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"57","Ford et al 2016","HF AH 19","AH",19,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",5.72,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"58","Ford et al 2016","HF AH 20","AH",20,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",8.73,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"59","Ford et al 2016","HF AH 20","AH",20,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.1,0.2,"LOI",6.26,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"60","Ford et al 2016","HF AH 20","AH",20,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0.2,0.3,"LOI",6.26,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
"61","Ford et al 2016","HF AH 21","AH",21,"Saltmarsh",51.7833333333333,0.866666666666667,"direct from dataset","2","UK","2013","Winter",0,0.1,"LOI",11.14,"measured but not in dataset","https://doi.org/10.5285/90457ba1-f291-4158-82dc-425d7cbb1ac5"
