"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3"
"1","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 1","Agua Amarga"," Suaeda vera","Salt marsh",38.29806413,-0.52094415,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.254,1.82
"2","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 2","Agua Amarga"," Suaeda vera","Salt marsh",38.28931323,-0.52242501,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.323,1.58
"3","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 3","Agua Amarga"," Suaeda vera","Salt marsh",38.28796898,-0.522618691,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.479,1.41
"4","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 4","Agua Amarga"," Suaeda vera","Salt marsh",38.29098641,-0.521264451,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.77,1.56
"5","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 5","Agua Amarga"," Suaeda vera","Salt marsh",38.29857196,-0.521228905,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.824,2.09
"6","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 6","Agua Amarga","Lygeum spartum","Salt marsh",38.28893161,-0.522974649,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.211,1.81
"7","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 7","Agua Amarga","Lygeum spartum","Salt marsh",38.28852149,-0.52195497,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.21,1.54
"8","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 8","Agua Amarga","Lygeum spartum","Salt marsh",38.28743641,-0.522154084,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.106,1.35
"9","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 9","Agua Amarga","Lygeum spartum","Salt marsh",38.28227604,-0.523775784,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.491,1.44
"10","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 10","Agua Amarga","Lygeum spartum","Salt marsh",38.28147387,-0.524394218,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.493,1.88
"11","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 11","Agua Amarga","Limonium sp","Salt marsh",38.29692406,-0.520850528,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.261,1.9
"12","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 13","Agua Amarga","Limonium sp","Salt marsh",38.28701582,-0.522508545,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.416,1.5
"13","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 14","Agua Amarga","Limonium sp","Salt marsh",38.28438059,-0.523037959,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.344,1.51
"14","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 15","Agua Amarga","Limonium sp","Salt marsh",38.28241399,-0.524110782,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.87,1.9
"15","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 16","Agua Amarga","Limonium sp","Salt marsh",38.2806567,-0.527942759,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.421,1.85
"16","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 17","Agua Amarga","Sarcocornia fruticosa","Salt marsh",38.29635959,-0.526224876,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.775,1.46
"17","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 18","Agua Amarga","Sarcocornia fruticosa","Salt marsh",38.2887713,-0.533499341,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.276,1.5
"18","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 19","Agua Amarga","Sarcocornia fruticosa","Salt marsh",38.28712986,-0.528706599,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.875,1.51
"19","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 20","Agua Amarga","Sarcocornia fruticosa","Salt marsh",38.28374301,-0.52445064,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",0.491,1.49
"20","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 21","Agua Amarga","Sarcocornia fruticosa","Salt marsh",38.29353138,-0.531101476,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.684,1.42
"21","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 24","Agua Amarga","Sarcocornia fruticosa","Salt marsh",38.28190619,-0.529512171,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",2.566,1.55
"22","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 51","Agua Amarga","Sarcocornia fruticosa","Salt marsh",38.28330365,-0.529979198,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.368,1.66
"23","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 25","Agua Amarga","Arthrocnemum macrostachyum (patches)","Salt marsh",38.29311487,-0.525221868,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.193,1.67
"24","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 26","Agua Amarga","Arthrocnemum macrostachyum (patches)","Salt marsh",38.29049461,-0.523173008,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",NA,1.72
"25","Gonzalez-Alcaraz et al 2015","MNGA Agua Amarga 27","Agua Amarga","Arthrocnemum macrostachyum (patches)","Salt marsh",38.28924036,-0.533489242,"direct from dataset","1","Spain","2012",0,0.2,"oxidation with potassium dichromate",1.076,1.56
