"","Source","Site_name","Site","Core","Treatment","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","SOM_perc"
"1","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0,0.01,"EA",17.081,0.17,33.55
"2","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.01,0.02,"EA",15.6616666666667,0.2,41.0966666666667
"3","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.02,0.03,"EA",17.077,0.21,39.95
"4","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.03,0.04,"EA",15.1,0.21,39.79
"5","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.04,0.05,"EA",12.039,0.28,33.72
"6","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.05,0.06,"EA",17.463,0.27,40.78
"7","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.06,0.07,"EA",13.653,0.23,35.15
"8","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.07,0.08,"EA",15.283,0.27,43.515
"9","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.08,0.09,"EA",9.766,0.27,31.92
"10","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.09,0.1,"EA",9.717,0.26,40.4
"11","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.1,0.12,"EA",14.051,0.22,31.56
"12","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.12,0.14,"EA",14.045,0.31,37.2
"13","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.14,0.16,"EA",10.393,0.496666666666667,26.3733333333333
"14","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.16,0.18,"EA",10.007,0.58,27.29
"15","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.18,0.2,"EA",NA,NA,NA
"16","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.2,0.22,"EA",3.8,0.98,12.06
"17","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.22,0.24,"EA",0.485,1.03,7.71
"18","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.24,0.26,"EA",1.373,1.03333333333333,9.82333333333333
"19","Graversen et al 2022","EG Horsens Grazed","Horsens","Horsens Grazed","Grazed","Saltmarsh",55.87585,10.01921,"direct from dataset","1","Denmark",2018,0.26,0.28,"EA",0.867,1.27,3.72
