"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","SOM_perc","BD_reported_g_cm3"
"1","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0,0.01,"EA",3.21,17.08,NA
"2","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.01,0.02,"EA",2.81,17.32,NA
"3","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.02,0.03,"EA",3.2,17.93,NA
"4","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.03,0.04,"EA",3.45,18.36,NA
"5","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.04,0.05,"EA",3.34,17.88,NA
"6","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.05,0.06,"EA",3.22,17.9,NA
"7","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.06,0.07,"EA",3.23,17.48,NA
"8","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.07,0.08,"EA",2.97,17.61,NA
"9","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.08,0.09,"EA",2.75,18.37,NA
"10","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.09,0.1,"EA",2.82,17.71,NA
"11","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.1,0.11,"EA",2.6,16.95,NA
"12","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.11,0.12,"EA",2.64,17.29,NA
"13","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.12,0.13,"EA",2.76,17.49,NA
"14","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.13,0.14,"EA",3.09,12.17,NA
"15","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.14,0.15,"EA",2.94,17.12,NA
"16","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.15,0.16,"EA",3.13,17.3,NA
"17","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.16,0.17,"EA",2.06,16.9,NA
"18","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.17,0.18,"EA",2.99,17.77,NA
"19","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.18,0.19,"EA",3.32,18.43,NA
"20","Guerra et al 2022","RG 3","Northwestern Adriatic Sea",3,"Impact",44.47651,12.24943,"direct from dataset","1","Italy","2008",0.19,0.2,"EA",3.74,18.94,NA
"21","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0,0.01,"EA",2.95,19.23,NA
"22","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.01,0.02,"EA",2.65,16.98,NA
"23","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.02,0.03,"EA",2.99,17.38,NA
"24","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.03,0.04,"EA",2.91,17.93,NA
"25","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.04,0.05,"EA",3,18.49,NA
"26","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.05,0.06,"EA",3.12,19.03,NA
"27","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.06,0.07,"EA",2.99,18.67,NA
"28","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.07,0.08,"EA",2.83,18.58,NA
"29","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.08,0.09,"EA",2.75,18.91,NA
"30","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.09,0.1,"EA",2.53,19.7,NA
"31","Guerra et al 2022","RG 4","Northwestern Adriatic Sea",4,"Impact",44.47689,12.24576,"direct from dataset","1","Italy","2008",0.1,0.11,"EA",2.74,18.48,NA
