"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc"
"1","Hansen et al 2016","KH 1a","Elbe Estuary","1a","Salt marsh",53.6499515909381,9.55198209165036,"estimated from GEE","2","Germany","2010,2012",0,0.03,"EA",5.4
"2","Hansen et al 2016","KH 1a","Elbe Estuary","1a","Salt marsh",53.6499515909381,9.55198209165036,"estimated from GEE","2","Germany","2010,2012",0.03,0.4,"EA",3.75
"3","Hansen et al 2016","KH 1a","Elbe Estuary","1a","Salt marsh",53.6499515909381,9.55198209165036,"estimated from GEE","2","Germany","2010,2012",0.4,0.7,"EA",3
"4","Hansen et al 2016","KH 1a","Elbe Estuary","1a","Salt marsh",53.6499515909381,9.55198209165036,"estimated from GEE","2","Germany","2010,2012",0.7,1,"EA",3.26
"5","Hansen et al 2016","KH 1b","Elbe Estuary","1b","Salt marsh",53.6501581978589,9.55268539639718,"estimated from GEE","2","Germany","2010,2012",0,0.1,"EA",4.09
"6","Hansen et al 2016","KH 1b","Elbe Estuary","1b","Salt marsh",53.6501581978589,9.55268539639718,"estimated from GEE","2","Germany","2010,2012",0.1,0.45,"EA",4.21
"7","Hansen et al 2016","KH 1b","Elbe Estuary","1b","Salt marsh",53.6501581978589,9.55268539639718,"estimated from GEE","2","Germany","2010,2012",0.45,0.7,"EA",4.58
"8","Hansen et al 2016","KH 1b","Elbe Estuary","1b","Salt marsh",53.6501581978589,9.55268539639718,"estimated from GEE","2","Germany","2010,2012",0.7,1,"EA",5.38
"9","Hansen et al 2016","KH 1c","Elbe Estuary","1c","Salt marsh",53.6498849054369,9.55410839315753,"estimated from GEE","2","Germany","2010,2012",0,0.03,"EA",7.73
"10","Hansen et al 2016","KH 1c","Elbe Estuary","1c","Salt marsh",53.6498849054369,9.55410839315753,"estimated from GEE","2","Germany","2010,2012",0.03,0.4,"EA",7.32
"11","Hansen et al 2016","KH 1c","Elbe Estuary","1c","Salt marsh",53.6498849054369,9.55410839315753,"estimated from GEE","2","Germany","2010,2012",0.4,0.7,"EA",5.67
"12","Hansen et al 2016","KH 1c","Elbe Estuary","1c","Salt marsh",53.6498849054369,9.55410839315753,"estimated from GEE","2","Germany","2010,2012",0.7,1,"EA",7.13
"13","Hansen et al 2016","KH 2a","Elbe Estuary","2a","Salt marsh",53.7050750373789,9.45095533059769,"estimated from GEE","2","Germany","2010,2012",0,0.18,"EA",2.78
"14","Hansen et al 2016","KH 2a","Elbe Estuary","2a","Salt marsh",53.7050750373789,9.45095533059769,"estimated from GEE","2","Germany","2010,2012",0.18,0.3,"EA",3.53
"15","Hansen et al 2016","KH 2a","Elbe Estuary","2a","Salt marsh",53.7050750373789,9.45095533059769,"estimated from GEE","2","Germany","2010,2012",0.3,0.6,"EA",2.51
"16","Hansen et al 2016","KH 2a","Elbe Estuary","2a","Salt marsh",53.7050750373789,9.45095533059769,"estimated from GEE","2","Germany","2010,2012",0.6,1,"EA",3
"17","Hansen et al 2016","KH 2b","Elbe Estuary","2b","Salt marsh",53.7044158542504,9.45037880087231,"estimated from GEE","2","Germany","2010,2012",0,0.05,"EA",5.57
"18","Hansen et al 2016","KH 2b","Elbe Estuary","2b","Salt marsh",53.7044158542504,9.45037880087231,"estimated from GEE","2","Germany","2010,2012",0.05,0.23,"EA",3.2
"19","Hansen et al 2016","KH 2b","Elbe Estuary","2b","Salt marsh",53.7044158542504,9.45037880087231,"estimated from GEE","2","Germany","2010,2012",0.23,0.5,"EA",1.08
"20","Hansen et al 2016","KH 2b","Elbe Estuary","2b","Salt marsh",53.7044158542504,9.45037880087231,"estimated from GEE","2","Germany","2010,2012",0.5,0.85,"EA",1.14
"21","Hansen et al 2016","KH 2b","Elbe Estuary","2b","Salt marsh",53.7044158542504,9.45037880087231,"estimated from GEE","2","Germany","2010,2012",0.85,1,"EA",0.51
"22","Hansen et al 2016","KH 2c","Elbe Estuary","2c","Salt marsh",53.7028510021249,9.4487377482885,"estimated from GEE","2","Germany","2010,2012",0,0.05,"EA",6.53
"23","Hansen et al 2016","KH 2c","Elbe Estuary","2c","Salt marsh",53.7028510021249,9.4487377482885,"estimated from GEE","2","Germany","2010,2012",0.05,0.3,"EA",2.51
"24","Hansen et al 2016","KH 2c","Elbe Estuary","2c","Salt marsh",53.7028510021249,9.4487377482885,"estimated from GEE","2","Germany","2010,2012",0.3,0.62,"EA",1.52
"25","Hansen et al 2016","KH 2c","Elbe Estuary","2c","Salt marsh",53.7028510021249,9.4487377482885,"estimated from GEE","2","Germany","2010,2012",0.62,1,"EA",0.87
"26","Hansen et al 2016","KH 2d","Elbe Estuary","2d","Salt marsh",53.7021825166506,9.44799986820989,"estimated from GEE","2","Germany","2010,2012",0,0.05,"EA",6.95
"27","Hansen et al 2016","KH 2d","Elbe Estuary","2d","Salt marsh",53.7021825166506,9.44799986820989,"estimated from GEE","2","Germany","2010,2012",0.05,0.2,"EA",4.66
"28","Hansen et al 2016","KH 2d","Elbe Estuary","2d","Salt marsh",53.7021825166506,9.44799986820989,"estimated from GEE","2","Germany","2010,2012",0.2,0.55,"EA",1.82
"29","Hansen et al 2016","KH 2d","Elbe Estuary","2d","Salt marsh",53.7021825166506,9.44799986820989,"estimated from GEE","2","Germany","2010,2012",0.55,1,"EA",0.78
"30","Hansen et al 2016","KH 3a","Elbe Estuary","3a","Salt marsh",53.8642530883606,9.20970184215181,"estimated from GEE","2","Germany","2010,2012",0,0.04,"EA",3.95
"31","Hansen et al 2016","KH 3a","Elbe Estuary","3a","Salt marsh",53.8642530883606,9.20970184215181,"estimated from GEE","2","Germany","2010,2012",0.04,0.2,"EA",0.76
"32","Hansen et al 2016","KH 3a","Elbe Estuary","3a","Salt marsh",53.8642530883606,9.20970184215181,"estimated from GEE","2","Germany","2010,2012",0.2,0.36,"EA",0.18
"33","Hansen et al 2016","KH 3a","Elbe Estuary","3a","Salt marsh",53.8642530883606,9.20970184215181,"estimated from GEE","2","Germany","2010,2012",0.36,0.6,"EA",1.36
"34","Hansen et al 2016","KH 3a","Elbe Estuary","3a","Salt marsh",53.8642530883606,9.20970184215181,"estimated from GEE","2","Germany","2010,2012",0.6,0.8,"EA",1.69
"35","Hansen et al 2016","KH 3a","Elbe Estuary","3a","Salt marsh",53.8642530883606,9.20970184215181,"estimated from GEE","2","Germany","2010,2012",0.8,1,"EA",1.07
"36","Hansen et al 2016","KH 3b","Elbe Estuary","3b","Salt marsh",53.8640975049816,9.20956642309561,"estimated from GEE","2","Germany","2010,2012",0,0.05,"EA",3.8
"37","Hansen et al 2016","KH 3b","Elbe Estuary","3b","Salt marsh",53.8640975049816,9.20956642309561,"estimated from GEE","2","Germany","2010,2012",0.05,0.2,"EA",1.82
"38","Hansen et al 2016","KH 3b","Elbe Estuary","3b","Salt marsh",53.8640975049816,9.20956642309561,"estimated from GEE","2","Germany","2010,2012",0.2,0.5,"EA",1.18
