"","Source","Original_source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc_mean"
"1","Hu et al 2020","Shao et al 2017","MH China 33","Hangzhou Bay","China 33","Coastal wetland",30.34,121.19,"direct from dataset","2","China","2014",0,0.2,NA,0.467
"2","Hu et al 2020","Shao et al 2017a","MH China 44","Hangzhou Bay","China 44","Coastal wetland",30.34,121.19,"direct from dataset","2","China","2014",0,0.2,NA,0.504
"3","Hu et al 2020","Wang et al 2014","MH China 104","Hangzhou Bay","China 104","Coastal wetland",30.31,121.07,"direct from dataset","2","China","2013",0,0.2,NA,0.597
"4","Hu et al 2020","Wang et al 2014","MH China 105","Hangzhou Bay","China 105","Coastal wetland",30.3,121.08,"direct from dataset","2","China","2013",0,0.2,NA,0.589
"5","Hu et al 2020","Wang et al 2014","MH China 106","Hangzhou Bay","China 106","Coastal wetland",30.31,121.08,"direct from dataset","2","China","2013",0,0.2,NA,0.795
"6","Hu et al 2020","Wang et al 2014","MH China 107","Hangzhou Bay","China 107","Coastal wetland",30.32,121.07,"direct from dataset","2","China","2013",0,0.2,NA,0.652
"7","Hu et al 2020","Du et al 2014","MH China 120","Jiaozhou Bay","China 120","Coastal wetland",36.24,120.12,"direct from dataset","2","China","2009-2010",0,0.2,NA,1.018
"8","Hu et al 2020","Du et al 2015","MH China 121","Jiaozhou Bay","China 121","Coastal wetland",36.24,120.11,"direct from dataset","2","China","2009-2010",0,0.2,NA,0.872
"9","Hu et al 2020","Xie et al 2011","MH China 122","Jiaozhou Bay","China 122","Coastal wetland",36.17,120.17,"direct from dataset","2","China","2009-2012",0,0.2,NA,0.954
"10","Hu et al 2020","Chen et al 2017","MH China 6","Jiulong River Estuary","China 6","Coastal wetland",24.39,117.91,"direct from dataset","2","China","2013",0,0.2,NA,1.53
"11","Hu et al 2020","Chen et al 2018","MH China 7","Jiulong River Estuary","China 7","Coastal wetland",24.39,117.91,"direct from dataset","2","China","2013",0,0.2,NA,1.878
"12","Hu et al 2020","Wang et al 2016","MH China 90","Jiulong River Estuary","China 90","Coastal wetland",24.46,117.91,"direct from dataset","2","China","2011-2013",0,0.2,NA,1.125
"13","Hu et al 2020","Chang and Yan 2003","MH China 41","Kuan-du wetlaNA","China 41","Coastal wetland",25.12,120.45,"direct from dataset","2","China","1995-1999",0,0.2,NA,2.07
"14","Hu et al 2020","Olsson et al 2015","MH China 23","Liaohe Delta","China 23","Coastal wetland",40.87,121.61,"direct from dataset","2","China","2012",0,0.2,NA,0.53
"15","Hu et al 2020","Olsson et al 2015","MH China 24","Liaohe Delta","China 24","Coastal wetland",40.96,121.81,"direct from dataset","2","China","2012",0,0.2,NA,0.69
"16","Hu et al 2020","Olsson et al 2015","MH China 25","Liaohe Delta","China 25","Coastal wetland",40.87,121.6,"direct from dataset","2","China","2012",0,0.2,NA,1.67
"17","Hu et al 2020","Olsson et al 2015","MH China 26","Liaohe Delta","China 26","Coastal wetland",40.16,121.8,"direct from dataset","2","China","2012",0,0.2,NA,1.181
"18","Hu et al 2020","Huang et al 2005","MH China 37","Liaohe Delta","China 37","Coastal wetland",40.8,121.87,"direct from dataset","2","China","2003",0,0.2,NA,1.867
"19","Hu et al 2020","Huang et al 2001","MH China 114","Liaohe Delta","China 114","Coastal wetland",40.87,121.58,"direct from dataset","2","China","2013",0,0.2,NA,1.058
"20","Hu et al 2020","Ye et al 2016","MH China 186","Liaohe Delta","China 186","Coastal wetland",40.87,121.6,"direct from dataset","2","China","2012-2014",0,0.2,NA,1.125
"21","Hu et al 2020","Ye et al 2016","MH China 187","Liaohe Delta","China 187","Coastal wetland",40.87,121.61,"direct from dataset","2","China","2012-2014",0,0.2,NA,1.042
"22","Hu et al 2020","Wang et al 2012","MH China 119","Liaohe Estuary","China 119","Coastal wetland",40.82,121.83,"direct from dataset","2","China","2008",0,0.2,NA,0.843
"23","Hu et al 2020","Liu et al 2017","MH China 123","Liaohe Estuary","China 123","Coastal wetland",41.23,121.84,"direct from dataset","2","China","2016",0,0.2,NA,1.456
"24","Hu et al 2020","Liu et al 2017","MH China 124","Liaohe Estuary","China 124","Coastal wetland",40.93,121.83,"direct from dataset","2","China","2016",0,0.2,NA,0.754
"25","Hu et al 2020","Liu et al 2017","MH China 125","Liaohe Estuary","China 125","Coastal wetland",40.95,121.71,"direct from dataset","2","China","2016",0,0.2,NA,0.944
"26","Hu et al 2020","Liu et al 2017","MH China 126","Liaohe Estuary","China 126","Coastal wetland",40.93,121.83,"direct from dataset","2","China","2016",0,0.2,NA,0.754
"27","Hu et al 2020","Liu et al 2017","MH China 127","Liaohe Estuary","China 127","Coastal wetland",40.95,121.71,"direct from dataset","2","China","2016",0,0.2,NA,0.944
"28","Hu et al 2020","Tong et al.,2014","MH China 9","Min River Estuary","China 9","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,1.93
"29","Hu et al 2020","Tong et al.,2015","MH China 10","Min River Estuary","China 10","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,2.21
"30","Hu et al 2020","Tong et al.,2016","MH China 11","Min River Estuary","China 11","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2009",0,0.2,NA,1.97
"31","Hu et al 2020","Hu et al 2017","MH China 17","Min River Estuary","China 17","Coastal wetland",26.06,119.58,"direct from dataset","2","China","2014-2015",0,0.2,NA,2.043
"32","Hu et al 2020","Tong et al 2012","MH China 34","Min River Estuary","China 34","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007-2009",0,0.2,NA,1.897
"33","Hu et al 2020","Tong et al 2012","MH China 35","Min River Estuary","China 35","Coastal wetland",26.03,119.63,"direct from dataset","2","China","2007-2009",0,0.2,NA,2.141
