"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","N_perc"
"1","Kauffman et al 2020","JBK Marisma High 1","Marisma High",1,"Marshes",-1.16222222222222,-46.8444444444444,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",3.3,0.92,0.249
"2","Kauffman et al 2020","JBK Marisma High 1","Marisma High",1,"Marshes",-1.16222222222222,-46.8444444444444,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.82,1.32,0.078
"3","Kauffman et al 2020","JBK Marisma High 1","Marisma High",1,"Marshes",-1.16222222222222,-46.8444444444444,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.84,1.43,0.09
"4","Kauffman et al 2020","JBK Marisma High 1","Marisma High",1,"Marshes",-1.16222222222222,-46.8444444444444,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.49,1.36,0.062
"5","Kauffman et al 2020","JBK Marisma High 1","Marisma High",1,"Marshes",-1.16222222222222,-46.8444444444444,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.82,0.94,0.062
"6","Kauffman et al 2020","JBK Marisma High 2","Marisma High",2,"Marshes",-1.16111111111111,-46.8425,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",3.77,0.96,0.296
"7","Kauffman et al 2020","JBK Marisma High 2","Marisma High",2,"Marshes",-1.16111111111111,-46.8425,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",1.77,1.29,0.192
"8","Kauffman et al 2020","JBK Marisma High 2","Marisma High",2,"Marshes",-1.16111111111111,-46.8425,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.65,1.49,0.074
"9","Kauffman et al 2020","JBK Marisma High 2","Marisma High",2,"Marshes",-1.16111111111111,-46.8425,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.34,1.52,0.042
"10","Kauffman et al 2020","JBK Marisma High 2","Marisma High",2,"Marshes",-1.16111111111111,-46.8425,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.36,1.34,0.043
"11","Kauffman et al 2020","JBK Marisma High 3","Marisma High",3,"Marshes",-1.16,-46.8391666666667,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",3.59,0.98,0.28
"12","Kauffman et al 2020","JBK Marisma High 3","Marisma High",3,"Marshes",-1.16,-46.8391666666667,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",1.63,1.42,0.185
"13","Kauffman et al 2020","JBK Marisma High 3","Marisma High",3,"Marshes",-1.16,-46.8391666666667,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.56,1.51,0.065
"14","Kauffman et al 2020","JBK Marisma High 3","Marisma High",3,"Marshes",-1.16,-46.8391666666667,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.24,1.45,0.035
"15","Kauffman et al 2020","JBK Marisma High 3","Marisma High",3,"Marshes",-1.16,-46.8391666666667,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.52,1.26,0.024
"16","Kauffman et al 2020","JBK Marisma High 4","Marisma High",4,"Marshes",-1.15888888888889,-46.8386111111111,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",3.59,1.01,0.346
"17","Kauffman et al 2020","JBK Marisma High 4","Marisma High",4,"Marshes",-1.15888888888889,-46.8386111111111,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.35,1.36,0.025
"18","Kauffman et al 2020","JBK Marisma High 4","Marisma High",4,"Marshes",-1.15888888888889,-46.8386111111111,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.45,1.6,0.054
"19","Kauffman et al 2020","JBK Marisma High 4","Marisma High",4,"Marshes",-1.15888888888889,-46.8386111111111,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.29,1.61,0.038
"20","Kauffman et al 2020","JBK Marisma High 4","Marisma High",4,"Marshes",-1.15888888888889,-46.8386111111111,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.19,1.66,0.027
"21","Kauffman et al 2020","JBK Marisma High 5","Marisma High",5,"Marshes",-1.15777777777778,-46.8775,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",4.16,0.86,0.436
"22","Kauffman et al 2020","JBK Marisma High 5","Marisma High",5,"Marshes",-1.15777777777778,-46.8775,"direct from dataset","1","Brazil","2017",0.02,0.3,"EA",0.44,1.49,0.047
"23","Kauffman et al 2020","JBK Marisma High 5","Marisma High",5,"Marshes",-1.15777777777778,-46.8775,"direct from dataset","1","Brazil","2017",0.03,0.5,"EA",0.31,1.74,0.042
"24","Kauffman et al 2020","JBK Marisma High 5","Marisma High",5,"Marshes",-1.15777777777778,-46.8775,"direct from dataset","1","Brazil","2017",0.05,1,"EA",0.49,1.66,0.057
"25","Kauffman et al 2020","JBK Marisma High 5","Marisma High",5,"Marshes",-1.15777777777778,-46.8775,"direct from dataset","1","Brazil","2017",0.04,3,"EA",0.15,1.84,0.027
"26","Kauffman et al 2020","JBK Marisma High 6","Marisma High",6,"Marshes",-1.15694444444444,-46.8752777777778,"direct from dataset","1","Brazil","2017",0.01,0.15,"EA",6.47,0.9,0.638
