"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","DOI"
"1","Kumar et al 2020","MK BT T1","Guadiana Estuary","BT T1","Saltmarsh",37.2403333333333,-7.42502777777778,"direct from dataset","1","Portugal","2015",0,0.1,"EA",2.21,"https://doi.org/10.1016/j.csr.2020.104076"
"2","Kumar et al 2020","MK BT T1","Guadiana Estuary","BT T1","Saltmarsh",37.2403333333333,-7.42502777777778,"direct from dataset","1","Portugal","2015",0.3,0.4,"EA",2.09,"https://doi.org/10.1016/j.csr.2020.104076"
"3","Kumar et al 2020","MK BT T1","Guadiana Estuary","BT T1","Saltmarsh",37.2403333333333,-7.42502777777778,"direct from dataset","1","Portugal","2015",0.6,0.7,"EA",2.1,"https://doi.org/10.1016/j.csr.2020.104076"
"4","Kumar et al 2020","MK BT T1","Guadiana Estuary","BT T1","Saltmarsh",37.2403333333333,-7.42502777777778,"direct from dataset","1","Portugal","2015",0.9,1,"EA",2.23,"https://doi.org/10.1016/j.csr.2020.104076"
"5","Kumar et al 2020","MK BT T2","Guadiana Estuary","BT T2","Saltmarsh",37.2405555555556,-7.4255,"direct from dataset","1","Portugal","2015",0,0.1,"EA",1.34,"https://doi.org/10.1016/j.csr.2020.104076"
"6","Kumar et al 2020","MK BT T2","Guadiana Estuary","BT T2","Saltmarsh",37.2405555555556,-7.4255,"direct from dataset","1","Portugal","2015",0.3,0.4,"EA",1.69,"https://doi.org/10.1016/j.csr.2020.104076"
"7","Kumar et al 2020","MK BT T2","Guadiana Estuary","BT T2","Saltmarsh",37.2405555555556,-7.4255,"direct from dataset","1","Portugal","2015",0.6,0.7,"EA",1.68,"https://doi.org/10.1016/j.csr.2020.104076"
"8","Kumar et al 2020","MK BT T2","Guadiana Estuary","BT T2","Saltmarsh",37.2405555555556,-7.4255,"direct from dataset","1","Portugal","2015",0.9,1,"EA",1.62,"https://doi.org/10.1016/j.csr.2020.104076"
"9","Kumar et al 2020","MK CMT T1","Guadiana Estuary","CMT T1","Saltmarsh",37.1978888888889,-7.42652777777778,"direct from dataset","1","Portugal","2015",0,0.1,"EA",0.76,"https://doi.org/10.1016/j.csr.2020.104076"
"10","Kumar et al 2020","MK CMT T1","Guadiana Estuary","CMT T1","Saltmarsh",37.1978888888889,-7.42652777777778,"direct from dataset","1","Portugal","2015",0,0.1,"EA",1.34,"https://doi.org/10.1016/j.csr.2020.104076"
"11","Kumar et al 2020","MK CMT T1","Guadiana Estuary","CMT T1","Saltmarsh",37.1978888888889,-7.42652777777778,"direct from dataset","1","Portugal","2015",0.3,0.4,"EA",1.77,"https://doi.org/10.1016/j.csr.2020.104076"
"12","Kumar et al 2020","MK CMT T1","Guadiana Estuary","CMT T1","Saltmarsh",37.1978888888889,-7.42652777777778,"direct from dataset","1","Portugal","2015",0.6,0.7,"EA",0.82,"https://doi.org/10.1016/j.csr.2020.104076"
"13","Kumar et al 2020","MK CMT T1","Guadiana Estuary","CMT T1","Saltmarsh",37.1978888888889,-7.42652777777778,"direct from dataset","1","Portugal","2015",0.9,1,"EA",1.05,"https://doi.org/10.1016/j.csr.2020.104076"
"14","Kumar et al 2020","MK CMT T2","Guadiana Estuary","CMT T2","Saltmarsh",37.1981944444444,-7.42558333333333,"direct from dataset","1","Portugal","2015",0,0.1,"EA",2.23,"https://doi.org/10.1016/j.csr.2020.104076"
"15","Kumar et al 2020","MK CMT T2","Guadiana Estuary","CMT T2","Saltmarsh",37.1981944444444,-7.42558333333333,"direct from dataset","1","Portugal","2015",0.3,0.4,"EA",1.27,"https://doi.org/10.1016/j.csr.2020.104076"
"16","Kumar et al 2020","MK CMT T2","Guadiana Estuary","CMT T2","Saltmarsh",37.1981944444444,-7.42558333333333,"direct from dataset","1","Portugal","2015",0.6,0.7,"EA",0.67,"https://doi.org/10.1016/j.csr.2020.104076"
"17","Kumar et al 2020","MK CMT T2","Guadiana Estuary","CMT T2","Saltmarsh",37.1981944444444,-7.42558333333333,"direct from dataset","1","Portugal","2015",0.9,1,"EA",0.78,"https://doi.org/10.1016/j.csr.2020.104076"
"18","Kumar et al 2020","MK PMT T1","Guadiana Estuary","PMT T1","Saltmarsh",37.1964444444444,-7.34055555555556,"direct from dataset","1","Portugal","2015",0,0.1,"EA",1.01,"https://doi.org/10.1016/j.csr.2020.104076"
"19","Kumar et al 2020","MK PMT T1","Guadiana Estuary","PMT T1","Saltmarsh",37.1964444444444,-7.34055555555556,"direct from dataset","1","Portugal","2015",0.3,0.4,"EA",0.68,"https://doi.org/10.1016/j.csr.2020.104076"
"20","Kumar et al 2020","MK PMT T1","Guadiana Estuary","PMT T1","Saltmarsh",37.1964444444444,-7.34055555555556,"direct from dataset","1","Portugal","2015",0.6,0.7,"EA",1.28,"https://doi.org/10.1016/j.csr.2020.104076"
"21","Kumar et al 2020","MK PMT T1","Guadiana Estuary","PMT T1","Saltmarsh",37.1964444444444,-7.34055555555556,"direct from dataset","1","Portugal","2015",0.9,1,"EA",0.63,"https://doi.org/10.1016/j.csr.2020.104076"
"22","Kumar et al 2020","MK PMT T1","Guadiana Estuary","PMT T1","Saltmarsh",37.1964444444444,-7.34055555555556,"direct from dataset","1","Portugal","2015",0.9,1,"EA",0.69,"https://doi.org/10.1016/j.csr.2020.104076"
