"","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc"
"1","Li et al 2019","YL Hongguang1","Hongguang1","Salt marsh","37.525353","118.90849","direct from dataset","1","China","2018",0,0.15,"EA",6.1
"2","Li et al 2019","YL Hongguang1","Hongguang1","Salt marsh","37.52537","118.9089","direct from dataset","1","China","2018",0,0.15,"EA",7.09
"3","Li et al 2019","YL Hongguang1","Hongguang1","Salt marsh","37.525387","118.90929","direct from dataset","1","China","2018",0,0.15,"EA",6.75
"4","Li et al 2019","YL Hongguang2","Hongguang2","Salt marsh","37.525668","118.90802","direct from dataset","1","China","2018",0,0.15,"EA",6.34
"5","Li et al 2019","YL Hongguang2","Hongguang2","Salt marsh","37.525702","118.90836","direct from dataset","1","China","2018",0,0.15,"EA",6.56
"6","Li et al 2019","YL Hongguang2","Hongguang2","Salt marsh","37.525736","118.90878","direct from dataset","1","China","2018",0,0.15,"EA",5.94
"7","Li et al 2019","YL Hongguang3","Hongguang3","Salt marsh","37.525893","118.9081","direct from dataset","1","China","2018",0,0.15,"EA",7.3
"8","Li et al 2019","YL Hongguang3","Hongguang3","Salt marsh","37.525931","118.90847","direct from dataset","1","China","2018",0,0.15,"EA",6.01
"9","Li et al 2019","YL Hongguang3","Hongguang3","Salt marsh","37.525961","118.90886","direct from dataset","1","China","2018",0,0.15,"EA",6.02
"10","Li et al 2019","YL Hongguang4","Hongguang4","Salt marsh","37.526323","118.90763","direct from dataset","1","China","2018",0,0.15,"EA",8.54
"11","Li et al 2019","YL Hongguang4","Hongguang4","Salt marsh","37.526348","118.90797","direct from dataset","1","China","2018",0,0.15,"EA",8.24
"12","Li et al 2019","YL Hongguang4","Hongguang4","Salt marsh","37.526416","118.90828","direct from dataset","1","China","2018",0,0.15,"EA",7.89
"13","Li et al 2019","YL Hongguang5","Hongguang5","Salt marsh","37.52650","118.9080","direct from dataset","1","China","2018",0,0.15,"EA",6.1
"14","Li et al 2019","YL Hongguang5","Hongguang5","Salt marsh","37.526565","118.9080","direct from dataset","1","China","2018",0,0.15,"EA",6.09
"15","Li et al 2019","YL Hongguang5","Hongguang5","Salt marsh","37.526595","118.90832","direct from dataset","1","China","2018",0,0.15,"EA",7.32
"16","Li et al 2019","YL Hongguang6","Hongguang6","Salt marsh","37.525144","118.90918","direct from dataset","1","China","2018",0,0.15,"EA",6.03
"17","Li et al 2019","YL Hongguang6","Hongguang6","Salt marsh","37.525165","118.90953","direct from dataset","1","China","2018",0,0.15,"EA",5.94
"18","Li et al 2019","YL Hongguang6","Hongguang6","Salt marsh","37.525183","118.90992","direct from dataset","1","China","2018",0,0.15,"EA",6.09
"19","Li et al 2019","YL Huifuqu1","Huifuqu1","Salt marsh","37.58280","118.9510","direct from dataset","1","China","2018",0,0.15,"EA",6.07
"20","Li et al 2019","YL Huifuqu1","Huifuqu1","Salt marsh","37.582607","118.95094","direct from dataset","1","China","2018",0,0.15,"EA",6.54
"21","Li et al 2019","YL Huifuqu1","Huifuqu1","Salt marsh","37.58242","118.95084","direct from dataset","1","China","2018",0,0.15,"EA",7.43
"22","Li et al 2019","YL Huifuqu2","Huifuqu2","Salt marsh","37.582756","118.95122","direct from dataset","1","China","2018",0,0.15,"EA",7.33
"23","Li et al 2019","YL Huifuqu2","Huifuqu2","Salt marsh","37.58256","118.95113","direct from dataset","1","China","2018",0,0.15,"EA",7.99
"24","Li et al 2019","YL Huifuqu2","Huifuqu2","Salt marsh","37.582288","118.95101","direct from dataset","1","China","2018",0,0.15,"EA",5.06
"25","Li et al 2019","YL Laohekou1","Laohekou1","Salt marsh","38.076017","118.81435","direct from dataset","1","China","2018",0,0.15,"EA",9.57
"26","Li et al 2019","YL Laohekou1","Laohekou1","Salt marsh","38.075839","118.81434","direct from dataset","1","China","2018",0,0.15,"EA",10.9
"27","Li et al 2019","YL Laohekou1","Laohekou1","Salt marsh","38.075535","118.81431","direct from dataset","1","China","2018",0,0.15,"EA",10.13
"28","Li et al 2019","YL Laohekou2","Laohekou2","Salt marsh","38.076059","118.8141","direct from dataset","1","China","2018",0,0.15,"EA",8.63
"29","Li et al 2019","YL Laohekou2","Laohekou2","Salt marsh","38.075751","118.81408","direct from dataset","1","China","2018",0,0.15,"EA",7.71
"30","Li et al 2019","YL Laohekou2","Laohekou2","Salt marsh","38.075434","118.81406","direct from dataset","1","China","2018",0,0.15,"EA",7.12
"31","Li et al 2019","YL Laohekou3","Laohekou3","Salt marsh","38.076093","118.8139","direct from dataset","1","China","2018",0,0.15,"EA",12.41
"32","Li et al 2019","YL Laohekou3","Laohekou3","Salt marsh","38.075734","118.81389","direct from dataset","1","China","2018",0,0.15,"EA",13.16
"33","Li et al 2019","YL Laohekou3","Laohekou3","Salt marsh","38.075404","118.81391","direct from dataset","1","China","2018",0,0.15,"EA",10.86
"34","Li et al 2019","YL Ruhaikou1","Ruhaikou1","Salt marsh","37.731367","118.98476","direct from dataset","1","China","2018",0,0.15,"EA",14.77
"35","Li et al 2019","YL Ruhaikou1","Ruhaikou1","Salt marsh","37.731427","118.9843","direct from dataset","1","China","2018",0,0.15,"EA",19.65
"36","Li et al 2019","YL Ruhaikou1","Ruhaikou1","Salt marsh","37.731588","118.98385","direct from dataset","1","China","2018",0,0.15,"EA",15.66
"37","Li et al 2019","YL Ruhaikou2","Ruhaikou2","Salt marsh","37.7311","118.98473","direct from dataset","1","China","2018",0,0.15,"EA",20.93
"38","Li et al 2019","YL Ruhaikou2","Ruhaikou2","Salt marsh","37.731308","118.98435","direct from dataset","1","China","2018",0,0.15,"EA",27.74
"39","Li et al 2019","YL Ruhaikou2","Ruhaikou2","Salt marsh","37.731376","118.98399","direct from dataset","1","China","2018",0,0.15,"EA",23.87
