"","Core","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3"
"1","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0,0.02,"EA",5.1,0.65
"2","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.02,0.04,"EA",NA,0.69
"3","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.04,0.06,"EA",NA,0.81
"4","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.06,0.08,"EA",NA,1.5
"5","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.08,0.1,"EA",2.3,1.89
"6","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.1,0.12,"EA",NA,1.74
"7","BS3A2","Mazarrasa et al in prep","IM BS3A2","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.12,0.14,"EA",1.7,2.58
"8","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0,0.02,"EA",7,0.79
"9","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.02,0.04,"EA",NA,0.68
"10","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.04,0.06,"EA",NA,0.66
"11","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.06,0.08,"EA",NA,1.39
"12","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.08,0.1,"EA",1.7,1.22
"13","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.1,0.12,"EA",NA,1.51
"14","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.12,0.14,"EA",NA,1.19
"15","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.14,0.16,"EA",NA,0.83
"16","BS3A3","Mazarrasa et al in prep","IM BS3A3","Bahía de Santander","Saltmarsh","43.409547","-3.808979","direct from dataset",1,"Spain",2019,0.16,0.18,"EA",2,1.26
"17","BS1B3","Mazarrasa et al in prep","IM BS1B3","Bahía de Santander","Saltmarsh","43.43318","-3.758215","direct from dataset",1,"Spain",2019,0,0.022,"EA",5.3,0.36
