"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"1","Miller et al 2022","LCM Fleet C1","Cambusmore Lodge (Loch Fleet)","Fleet C1","Salt marsh",57.9502173,-4.08237605,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",22.287,2.053,0.499247365,"https://doi.org/10.7489/12422-1"
"2","Miller et al 2022","LCM Fleet C1","Cambusmore Lodge (Loch Fleet)","Fleet C1","Salt marsh",57.9502173,-4.08237605,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",7.6,NA,1.237388413,"https://doi.org/10.7489/12422-1"
"3","Miller et al 2022","LCM Fleet C1","Cambusmore Lodge (Loch Fleet)","Fleet C1","Salt marsh",57.9502173,-4.08237605,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.832,NA,2.524514395,"https://doi.org/10.7489/12422-1"
"4","Miller et al 2022","LCM Fleet C10","Cambusmore Lodge (Loch Fleet)","Fleet C10","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",24.724,2.2,0.361233642,"https://doi.org/10.7489/12422-1"
"5","Miller et al 2022","LCM Fleet C10","Cambusmore Lodge (Loch Fleet)","Fleet C10","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.4,0.45,"EA",2.853,NA,1.804927495,"https://doi.org/10.7489/12422-1"
"6","Miller et al 2022","LCM Fleet C10","Cambusmore Lodge (Loch Fleet)","Fleet C10","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",2.73,NA,2.076088279,"https://doi.org/10.7489/12422-1"
"7","Miller et al 2022","LCM Fleet C10","Cambusmore Lodge (Loch Fleet)","Fleet C10","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.3,0.35,"EA",0.646,NA,2.316952677,"https://doi.org/10.7489/12422-1"
"8","Miller et al 2022","LCM Fleet C10","Cambusmore Lodge (Loch Fleet)","Fleet C10","Salt marsh",57.94673653,-4.08130251,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.431,NA,2.669368324,"https://doi.org/10.7489/12422-1"
"9","Miller et al 2022","LCM Fleet C11","Cambusmore Lodge (Loch Fleet)","Fleet C11","Salt marsh",57.94631,-4.08114,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",0.55,1.558,0.558920563,"https://doi.org/10.7489/12422-1"
"10","Miller et al 2022","LCM Fleet C11","Cambusmore Lodge (Loch Fleet)","Fleet C11","Salt marsh",57.94631,-4.08114,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",0.884,NA,2.225511778,"https://doi.org/10.7489/12422-1"
"11","Miller et al 2022","LCM Fleet C11","Cambusmore Lodge (Loch Fleet)","Fleet C11","Salt marsh",57.94631,-4.08114,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.552,NA,2.607099102,"https://doi.org/10.7489/12422-1"
"12","Miller et al 2022","LCM Fleet C12","Cambusmore Lodge (Loch Fleet)","Fleet C12","Salt marsh",57.945934,-4.080732,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",14.958,2.059,0.380707364,"https://doi.org/10.7489/12422-1"
"13","Miller et al 2022","LCM Fleet C12","Cambusmore Lodge (Loch Fleet)","Fleet C12","Salt marsh",57.945934,-4.080732,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",1.974,NA,2.273690316,"https://doi.org/10.7489/12422-1"
"14","Miller et al 2022","LCM Fleet C2","Cambusmore Lodge (Loch Fleet)","Fleet C2","Salt marsh",57.94985787,-4.08245143,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",25.192,1.948,0.419470892,"https://doi.org/10.7489/12422-1"
"15","Miller et al 2022","LCM Fleet C2","Cambusmore Lodge (Loch Fleet)","Fleet C2","Salt marsh",57.94985787,-4.08245143,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.874,NA,1.411088633,"https://doi.org/10.7489/12422-1"
"16","Miller et al 2022","LCM Fleet C2","Cambusmore Lodge (Loch Fleet)","Fleet C2","Salt marsh",57.94985787,-4.08245143,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",3.445,NA,1.730279409,"https://doi.org/10.7489/12422-1"
"17","Miller et al 2022","LCM Fleet C3","Cambusmore Lodge (Loch Fleet)","Fleet C3","Salt marsh",57.94945356,-4.08246358,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",20.012,1.671,0.468731697,"https://doi.org/10.7489/12422-1"
"18","Miller et al 2022","LCM Fleet C3","Cambusmore Lodge (Loch Fleet)","Fleet C3","Salt marsh",57.94945356,-4.08246358,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",4.587,NA,1.526947726,"https://doi.org/10.7489/12422-1"
"19","Miller et al 2022","LCM Fleet C3","Cambusmore Lodge (Loch Fleet)","Fleet C3","Salt marsh",57.94945356,-4.08246358,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.606,NA,2.354138785,"https://doi.org/10.7489/12422-1"
"20","Miller et al 2022","LCM Fleet C4","Cambusmore Lodge (Loch Fleet)","Fleet C4","Salt marsh",57.9490505,-4.08242105,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",25.873,2.09,0.413175355,"https://doi.org/10.7489/12422-1"
"21","Miller et al 2022","LCM Fleet C4","Cambusmore Lodge (Loch Fleet)","Fleet C4","Salt marsh",57.9490505,-4.08242105,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",1.494,NA,2.343733465,"https://doi.org/10.7489/12422-1"
"22","Miller et al 2022","LCM Fleet C4","Cambusmore Lodge (Loch Fleet)","Fleet C4","Salt marsh",57.9490505,-4.08242105,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.762,NA,2.413111693,"https://doi.org/10.7489/12422-1"
"23","Miller et al 2022","LCM Fleet C5","Cambusmore Lodge (Loch Fleet)","Fleet C5","Salt marsh",57.9486629,-4.08234419,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",7.867,0.397,0.988368112,"https://doi.org/10.7489/12422-1"
"24","Miller et al 2022","LCM Fleet C5","Cambusmore Lodge (Loch Fleet)","Fleet C5","Salt marsh",57.9486629,-4.08234419,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",5.378,NA,1.416973898,"https://doi.org/10.7489/12422-1"
"25","Miller et al 2022","LCM Fleet C5","Cambusmore Lodge (Loch Fleet)","Fleet C5","Salt marsh",57.9486629,-4.08234419,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",4.807,NA,1.465668812,"https://doi.org/10.7489/12422-1"
"26","Miller et al 2022","LCM Fleet C5","Cambusmore Lodge (Loch Fleet)","Fleet C5","Salt marsh",57.9486629,-4.08234419,"direct from dataset","1","UK","Highland",2020,0.4,0.45,"EA",0.36,NA,2.453961944,"https://doi.org/10.7489/12422-1"
"27","Miller et al 2022","LCM Fleet C5","Cambusmore Lodge (Loch Fleet)","Fleet C5","Salt marsh",57.9486629,-4.08234419,"direct from dataset","1","UK","Highland",2020,0.3,0.35,"EA",0.351,NA,2.654832001,"https://doi.org/10.7489/12422-1"
"28","Miller et al 2022","LCM Fleet C6","Cambusmore Lodge (Loch Fleet)","Fleet C6","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",17.89,1.871,0.468477046,"https://doi.org/10.7489/12422-1"
"29","Miller et al 2022","LCM Fleet C6","Cambusmore Lodge (Loch Fleet)","Fleet C6","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",4.703,NA,1.532783476,"https://doi.org/10.7489/12422-1"
"30","Miller et al 2022","LCM Fleet C6","Cambusmore Lodge (Loch Fleet)","Fleet C6","Salt marsh",57.94829416,-4.08216892,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.617,NA,1.86653887,"https://doi.org/10.7489/12422-1"
"31","Miller et al 2022","LCM Fleet C7","Cambusmore Lodge (Loch Fleet)","Fleet C7","Salt marsh",57.94784114,-4.08195521,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",23.261,2.151,0.358772017,"https://doi.org/10.7489/12422-1"
"32","Miller et al 2022","LCM Fleet C7","Cambusmore Lodge (Loch Fleet)","Fleet C7","Salt marsh",57.94784114,-4.08195521,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",3.922,NA,1.613925161,"https://doi.org/10.7489/12422-1"
"33","Miller et al 2022","LCM Fleet C7","Cambusmore Lodge (Loch Fleet)","Fleet C7","Salt marsh",57.94784114,-4.08195521,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",2.72,NA,2.077573743,"https://doi.org/10.7489/12422-1"
"34","Miller et al 2022","LCM Fleet C7","Cambusmore Lodge (Loch Fleet)","Fleet C7","Salt marsh",57.94784114,-4.08195521,"direct from dataset","1","UK","Highland",2020,0.3,0.35,"EA",0.817,NA,2.595745915,"https://doi.org/10.7489/12422-1"
"35","Miller et al 2022","LCM Fleet C8","Cambusmore Lodge (Loch Fleet)","Fleet C8","Salt marsh",57.94747381,-4.08166883,"direct from dataset","1","UK","Highland",2020,0,0.05,"EA",24.163,1.934,0.343846644,"https://doi.org/10.7489/12422-1"
"36","Miller et al 2022","LCM Fleet C8","Cambusmore Lodge (Loch Fleet)","Fleet C8","Salt marsh",57.94747381,-4.08166883,"direct from dataset","1","UK","Highland",2020,0.1,0.15,"EA",0.25,NA,2.452469407,"https://doi.org/10.7489/12422-1"
"37","Miller et al 2022","LCM Fleet C8","Cambusmore Lodge (Loch Fleet)","Fleet C8","Salt marsh",57.94747381,-4.08166883,"direct from dataset","1","UK","Highland",2020,0.2,0.25,"EA",0.403,NA,2.5870029,"https://doi.org/10.7489/12422-1"
