"","Core","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3"
"1","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0,0.02,"EA",1.14,"measured but not in dataset"
"2","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.02,0.04,"EA",0.71,"measured but not in dataset"
"3","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.04,0.06,"EA",0.97,"measured but not in dataset"
"4","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.06,0.08,"EA",1.02,"measured but not in dataset"
"5","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.08,0.1,"EA",0.97,"measured but not in dataset"
"6","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.1,0.12,"EA",1.09,"measured but not in dataset"
"7","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.12,0.14,"EA",1.12,"measured but not in dataset"
"8","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.14,0.16,"EA",1.08,"measured but not in dataset"
"9","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.16,0.18,"EA",1.11,"measured but not in dataset"
"10","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.18,0.2,"EA",1.14,"measured but not in dataset"
"11","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.2,0.22,"EA",1.2,"measured but not in dataset"
"12","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.22,0.24,"EA",1.15,"measured but not in dataset"
"13","Lacustrine_lagoon_THI","Noguiera et al 2022","JN Lacustrine_lagoon_THI","Lacustrine lagoon","Lagoon near marsh",27.98565,-12.28515,"direct from dataset","1","Morocco","2016",0.24,0.26,"EA",1.18,"measured but not in dataset"
