"","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3"
"1","Pollman et al 2021","TP D2_single","Spiekerook Ostplate","Salt marsh",53.775699,7.757301,"direct from dataset","1","Germany","2016",0,0.05,"EA",14.78,NA
"2","Pollman et al 2021","TP D4_top","Spiekerook Ostplate","Salt marsh",53.774925,7.758052,"direct from dataset","1","Germany","2016",0,0.05,"EA",21.68,NA
"3","Pollman et al 2021","TP D4_bottom","Spiekerook Ostplate","Salt marsh",53.774925,7.758052,"direct from dataset","1","Germany","2016",0.05,0.1,"EA",4.38,NA
"4","Pollman et al 2021","TP D7_top","Spiekerook Ostplate","Salt marsh",53.772546,7.759153,"direct from dataset","1","Germany","2016",0,0.05,"EA",7.93,NA
"5","Pollman et al 2021","TP D7_bottom","Spiekerook Ostplate","Salt marsh",53.772546,7.759153,"direct from dataset","1","Germany","2016",0.13,0.18,"EA",3.9,NA
"6","Pollman et al 2021","TP D8_top","Spiekerook Ostplate","Salt marsh",53.772272,7.759541,"direct from dataset","1","Germany","2016",0,0.05,"EA",7.61,NA
"7","Pollman et al 2021","TP D8_bottom","Spiekerook Ostplate","Salt marsh",53.772272,7.759541,"direct from dataset","1","Germany","2016",0.17,0.22,"EA",2.13,NA
"8","Pollman et al 2021","TP D10_top","Spiekerook Ostplate","Salt marsh",53.770942,7.760414,"direct from dataset","1","Germany","2016",0,0.05,"EA",6.52,NA
"9","Pollman et al 2021","TP D10_bottom","Spiekerook Ostplate","Salt marsh",53.770942,7.760414,"direct from dataset","1","Germany","2016",0.06,0.11,"EA",2.53,NA
"10","Pollman et al 2021","TP D13_single","Spiekerook Ostplate","Salt marsh",53.766289,7.761431,"direct from dataset","1","Germany","2016",0,0.05,"EA",2.95,NA
"11","Pollman et al 2021","TP F3_top","Spiekerook Ostplate","Salt marsh",53.776385,7.775969,"direct from dataset","1","Germany","2016",0,0.05,"EA",10.94,NA
"12","Pollman et al 2021","TP F3_bottom","Spiekerook Ostplate","Salt marsh",53.776385,7.775969,"direct from dataset","1","Germany","2016",0.05,0.1,"EA",5.83,NA
"13","Pollman et al 2021","TP F5_single","Spiekerook Ostplate","Salt marsh",53.775167,7.776354,"direct from dataset","1","Germany","2016",0,0.09,"EA",18.1,NA
"14","Pollman et al 2021","TP F7_top","Spiekerook Ostplate","Salt marsh",53.773995,7.776873,"direct from dataset","1","Germany","2016",0,0.05,"EA",13.62,NA
"15","Pollman et al 2021","TP F7_bottom","Spiekerook Ostplate","Salt marsh",53.773995,7.776873,"direct from dataset","1","Germany","2016",0.08,0.13,"EA",5,NA
"16","Pollman et al 2021","TP F9_top","Spiekerook Ostplate","Salt marsh",53.772806,7.777408,"direct from dataset","1","Germany","2016",0,0.05,"EA",14.98,NA
"17","Pollman et al 2021","TP F9_bottom","Spiekerook Ostplate","Salt marsh",53.772806,7.777408,"direct from dataset","1","Germany","2016",0.11,0.16,"EA",5.78,NA
"18","Pollman et al 2021","TP F12_top","Spiekerook Ostplate","Salt marsh",53.771474,7.778099,"direct from dataset","1","Germany","2016",0,0.05,"EA",10.81,NA
"19","Pollman et al 2021","TP F12_bottom","Spiekerook Ostplate","Salt marsh",53.771474,7.778099,"direct from dataset","1","Germany","2016",0.08,0.13,"EA",3.49,NA
"20","Pollman et al 2021","TP F13_top","Spiekerook Ostplate","Salt marsh",53.770962,7.778114,"direct from dataset","1","Germany","2016",0,0.05,"EA",9.71,NA
"21","Pollman et al 2021","TP F13_bottom","Spiekerook Ostplate","Salt marsh",53.770962,7.778114,"direct from dataset","1","Germany","2016",0.19,0.24,"EA",2.49,NA
"22","Pollman et al 2021","TP F15_top","Spiekerook Ostplate","Salt marsh",53.769465,7.778491,"direct from dataset","1","Germany","2016",0,0.05,"EA",4.03,NA
"23","Pollman et al 2021","TP F15_bottom","Spiekerook Ostplate","Salt marsh",53.769465,7.778491,"direct from dataset","1","Germany","2016",0.14,0.19,"EA",4.34,NA
"24","Pollman et al 2021","TP F17_top","Spiekerook Ostplate","Salt marsh",53.768391,7.778917,"direct from dataset","1","Germany","2016",0,0.05,"EA",4.63,NA
"25","Pollman et al 2021","TP F17_bottom","Spiekerook Ostplate","Salt marsh",53.768391,7.778917,"direct from dataset","1","Germany","2016",0.15,0.2,"EA",1.88,NA
"26","Pollman et al 2021","TP F19_top","Spiekerook Ostplate","Salt marsh",53.7673,7.779418,"direct from dataset","1","Germany","2016",0,0.05,"EA",4.33,NA
"27","Pollman et al 2021","TP F19_bottom","Spiekerook Ostplate","Salt marsh",53.7673,7.779418,"direct from dataset","1","Germany","2016",0.23,0.28,"EA",2.3,NA
"28","Pollman et al 2021","TP F20_top","Spiekerook Ostplate","Salt marsh",53.767031,7.779472,"direct from dataset","1","Germany","2016",0,0.05,"EA",2.86,NA
"29","Pollman et al 2021","TP F20_bottom","Spiekerook Ostplate","Salt marsh",53.767031,7.779472,"direct from dataset","1","Germany","2016",0.25,0.3,"EA",3.06,NA
"30","Pollman et al 2021","TP F22_top","Spiekerook Ostplate","Salt marsh",53.766664,7.779589,"direct from dataset","1","Germany","2016",0,0.05,"EA",13.32,NA
"31","Pollman et al 2021","TP F22_bottom","Spiekerook Ostplate","Salt marsh",53.766664,7.779589,"direct from dataset","1","Germany","2016",0.29,0.34,"EA",3.61,NA
"32","Pollman et al 2021","TP F23_top","Spiekerook Ostplate","Salt marsh",53.766548,7.779607,"direct from dataset","1","Germany","2016",0,0.05,"EA",2.25,NA
"33","Pollman et al 2021","TP F23_bottom","Spiekerook Ostplate","Salt marsh",53.766548,7.779607,"direct from dataset","1","Germany","2016",0.15,0.2,"EA",2.51,NA
"34","Pollman et al 2021","TP G4_top","Spiekerook Ostplate","Salt marsh",53.77545,7.797142,"direct from dataset","1","Germany","2016",0,0.05,"EA",18.04,NA
"35","Pollman et al 2021","TP G4_bottom","Spiekerook Ostplate","Salt marsh",53.77545,7.797142,"direct from dataset","1","Germany","2016",0.06,0.11,"EA",12.62,NA
"36","Pollman et al 2021","TP G5_single","Spiekerook Ostplate","Salt marsh",53.775415,7.797249,"direct from dataset","1","Germany","2016",0,0.03,"EA",17.46,NA
"37","Pollman et al 2021","TP G9_single","Spiekerook Ostplate","Salt marsh",53.774744,7.795797,"direct from dataset","1","Germany","2016",0,0.04,"EA",13.11,NA
"38","Pollman et al 2021","TP G10_top","Spiekerook Ostplate","Salt marsh",53.773471,7.796122,"direct from dataset","1","Germany","2016",0,0.05,"EA",4,NA
"39","Pollman et al 2021","TP G10_bottom","Spiekerook Ostplate","Salt marsh",53.773471,7.796122,"direct from dataset","1","Germany","2016",0.05,0.1,"EA",3.73,NA
"40","Pollman et al 2021","TP G15_top","Spiekerook Ostplate","Salt marsh",53.771033,7.795752,"direct from dataset","1","Germany","2016",0,0.05,"EA",3.33,NA
