"","Source","Site_name","Site","Subsite","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","Conv_factor","DOI"
"1","Raw et al 2020","JLR Knysna 1 1","Knysna Estuary",1,1,"Saltmarsh","-34.045289"," 23.065186","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",3.334254398,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"2","Raw et al 2020","JLR Knysna 1 2","Knysna Estuary",1,2,"Saltmarsh","-34.045289"," 23.065186","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",2.791032094,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"3","Raw et al 2020","JLR Knysna 1 3","Knysna Estuary",1,3,"Saltmarsh","-34.045289"," 23.065186","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",2.945685502,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"4","Raw et al 2020","JLR Knysna 1 1","Knysna Estuary",1,1,"Saltmarsh","-34.045289"," 23.065186","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",1.914830696,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"5","Raw et al 2020","JLR Knysna 1 2","Knysna Estuary",1,2,"Saltmarsh","-34.045289"," 23.065186","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",3.422721369,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"6","Raw et al 2020","JLR Knysna 1 3","Knysna Estuary",1,3,"Saltmarsh","-34.045289"," 23.065186","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",2.283653846,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"7","Raw et al 2020","JLR Knysna 1 1","Knysna Estuary",1,1,"Saltmarsh","-34.045289"," 23.065186","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",8.518049398,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"8","Raw et al 2020","JLR Knysna 1 2","Knysna Estuary",1,2,"Saltmarsh","-34.045289"," 23.065186","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",1.67023259,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"9","Raw et al 2020","JLR Knysna 1 3","Knysna Estuary",1,3,"Saltmarsh","-34.045289"," 23.065186","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",1.966041108,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"10","Raw et al 2020","JLR Knysna 2 1","Knysna Estuary",2,1,"Saltmarsh","-34.051631"," 23.046969","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",2.224105062,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"11","Raw et al 2020","JLR Knysna 2 2","Knysna Estuary",2,2,"Saltmarsh","-34.051631"," 23.046969","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",1.893312217,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"12","Raw et al 2020","JLR Knysna 2 3","Knysna Estuary",2,3,"Saltmarsh","-34.051631"," 23.046969","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",2.069447431,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"13","Raw et al 2020","JLR Knysna 2 1","Knysna Estuary",2,1,"Saltmarsh","-34.051631"," 23.046969","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",2.525454983,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"14","Raw et al 2020","JLR Knysna 2 2","Knysna Estuary",2,2,"Saltmarsh","-34.051631"," 23.046969","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",1.531495539,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"15","Raw et al 2020","JLR Knysna 2 3","Knysna Estuary",2,3,"Saltmarsh","-34.051631"," 23.046969","direct from dataset",1,"SouthAfrica",2018,0.15,0.3,"LOI",2.152050074,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"16","Raw et al 2020","JLR Knysna 2 1","Knysna Estuary",2,1,"Saltmarsh","-34.051631"," 23.046969","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",2.361659395,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"17","Raw et al 2020","JLR Knysna 2 2","Knysna Estuary",2,2,"Saltmarsh","-34.051631"," 23.046969","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",0.906753282,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"18","Raw et al 2020","JLR Knysna 2 3","Knysna Estuary",2,3,"Saltmarsh","-34.051631"," 23.046969","direct from dataset",1,"SouthAfrica",2018,0.3,0.5,"LOI",2.371843917,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
"19","Raw et al 2020","JLR Knysna 3 1","Knysna Estuary",3,1,"Saltmarsh","-34.042853"," 23.015361","direct from dataset",1,"SouthAfrica",2018,0,0.15,"LOI",2.035330261,NA,NA,"https://doi.org/10.2989/16085914.2019.1662763"
