"","Core","Source","Site_name","Site","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3"
"1","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0,0.05,"EA",18.8,0.152822222
"2","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0.05,0.1,"EA",19.4,0.130190931
"3","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0.1,0.2,"EA",18.2,0.134683401
"4","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0.2,0.3,"EA",5.97,0.343905709
"5","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0.3,0.4,"EA",1.37,0.802547114
"6","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0.4,0.5,"EA",0.85,0.840720669
"7","AC_2_A","Russell et al submitted","SKR AC_2_A","Acraman Creek","Intertidal saltmarsh",-32.450223,134.046973,"direct from dataset",1,"Australia",2021,0.5,0.62,"EA",0.69,2.291678863
"8","AC_2_B","Russell et al submitted","SKR AC_2_B","Acraman Creek","Intertidal saltmarsh",-32.450237,134.04693,"direct from dataset",1,"Australia",2021,0,0.05,"EA",20.8,0.202716298
"9","AC_2_B","Russell et al submitted","SKR AC_2_B","Acraman Creek","Intertidal saltmarsh",-32.450237,134.04693,"direct from dataset",1,"Australia",2021,0.05,0.1,"EA",19.4,0.174336931
"10","AC_2_B","Russell et al submitted","SKR AC_2_B","Acraman Creek","Intertidal saltmarsh",-32.450237,134.04693,"direct from dataset",1,"Australia",2021,0.1,0.2,"EA",16.7,0.176984681
"11","AC_2_B","Russell et al submitted","SKR AC_2_B","Acraman Creek","Intertidal saltmarsh",-32.450237,134.04693,"direct from dataset",1,"Australia",2021,0.2,0.3,"EA",1.67,0.741670527
"12","AC_2_B","Russell et al submitted","SKR AC_2_B","Acraman Creek","Intertidal saltmarsh",-32.450237,134.04693,"direct from dataset",1,"Australia",2021,0.3,0.4,"EA",0.71,0.911364536
"13","AC_2_B","Russell et al submitted","SKR AC_2_B","Acraman Creek","Intertidal saltmarsh",-32.450237,134.04693,"direct from dataset",1,"Australia",2021,0.4,0.5,"EA",0,1.138910166
"14","AC_2_C","Russell et al submitted","SKR AC_2_C","Acraman Creek","Intertidal saltmarsh",-32.450265,134.046918,"direct from dataset",1,"Australia",2021,0,0.05,"EA",19.1,0.240302703
"15","AC_2_C","Russell et al submitted","SKR AC_2_C","Acraman Creek","Intertidal saltmarsh",-32.450265,134.046918,"direct from dataset",1,"Australia",2021,0.05,0.1,"EA",13.1,0.209800469
"16","AC_2_C","Russell et al submitted","SKR AC_2_C","Acraman Creek","Intertidal saltmarsh",-32.450265,134.046918,"direct from dataset",1,"Australia",2021,0.1,0.2,"EA",8.32,0.269749167
"17","AC_2_C","Russell et al submitted","SKR AC_2_C","Acraman Creek","Intertidal saltmarsh",-32.450265,134.046918,"direct from dataset",1,"Australia",2021,0.2,0.3,"EA",3.4,0.599482047
"18","AC_2_C","Russell et al submitted","SKR AC_2_C","Acraman Creek","Intertidal saltmarsh",-32.450265,134.046918,"direct from dataset",1,"Australia",2021,0.3,0.4,"EA",0.73,0.9391233
"19","AC_2_C","Russell et al submitted","SKR AC_2_C","Acraman Creek","Intertidal saltmarsh",-32.450265,134.046918,"direct from dataset",1,"Australia",2021,0.4,0.5,"EA",0,1.074693274
"20","AC_3_A","Russell et al submitted","SKR AC_3_A","Acraman Creek","Intertidal saltmarsh",-32.45096,134.045897,"direct from dataset",1,"Australia",2021,0,0.05,"EA",0.74,1.272304459
"21","AC_3_A","Russell et al submitted","SKR AC_3_A","Acraman Creek","Intertidal saltmarsh",-32.45096,134.045897,"direct from dataset",1,"Australia",2021,0.05,0.1,"EA",0.36,1.186942111
"22","AC_3_A","Russell et al submitted","SKR AC_3_A","Acraman Creek","Intertidal saltmarsh",-32.45096,134.045897,"direct from dataset",1,"Australia",2021,0.1,0.2,"EA",0,1.330143638
"23","AC_3_A","Russell et al submitted","SKR AC_3_A","Acraman Creek","Intertidal saltmarsh",-32.45096,134.045897,"direct from dataset",1,"Australia",2021,0.2,0.3,"EA",0,1.437802082
"24","AC_3_A","Russell et al submitted","SKR AC_3_A","Acraman Creek","Intertidal saltmarsh",-32.45096,134.045897,"direct from dataset",1,"Australia",2021,0.3,0.4,"EA",0,1.290372873
"25","AC_3_A","Russell et al submitted","SKR AC_3_A","Acraman Creek","Intertidal saltmarsh",-32.45096,134.045897,"direct from dataset",1,"Australia",2021,0.4,0.5,"EA",0.31,1.328875471
"26","AC_3_B","Russell et al submitted","SKR AC_3_B","Acraman Creek","Intertidal saltmarsh",-32.450985,134.045866,"direct from dataset",1,"Australia",2021,0,0.05,"EA",0.61,1.188893596
"27","AC_3_B","Russell et al submitted","SKR AC_3_B","Acraman Creek","Intertidal saltmarsh",-32.450985,134.045866,"direct from dataset",1,"Australia",2021,0.05,0.1,"EA",0.35,1.424055821
"28","AC_3_B","Russell et al submitted","SKR AC_3_B","Acraman Creek","Intertidal saltmarsh",-32.450985,134.045866,"direct from dataset",1,"Australia",2021,0.1,0.2,"EA",0,1.349793332
"29","AC_3_B","Russell et al submitted","SKR AC_3_B","Acraman Creek","Intertidal saltmarsh",-32.450985,134.045866,"direct from dataset",1,"Australia",2021,0.2,0.3,"EA",0,1.256634007
"30","AC_3_B","Russell et al submitted","SKR AC_3_B","Acraman Creek","Intertidal saltmarsh",-32.450985,134.045866,"direct from dataset",1,"Australia",2021,0.3,0.4,"EA",0,1.406187808
"31","AC_3_B","Russell et al submitted","SKR AC_3_B","Acraman Creek","Intertidal saltmarsh",-32.450985,134.045866,"direct from dataset",1,"Australia",2021,0.4,0.5,"EA",0,1.296661078
"32","AC_3_C","Russell et al submitted","SKR AC_3_C","Acraman Creek","Intertidal saltmarsh",-32.450932,134.045653,"direct from dataset",1,"Australia",2021,0,0.05,"EA",0.52,1.080565334
"33","AC_3_C","Russell et al submitted","SKR AC_3_C","Acraman Creek","Intertidal saltmarsh",-32.450932,134.045653,"direct from dataset",1,"Australia",2021,0.05,0.1,"EA",0.26,1.234493476
"34","AC_3_C","Russell et al submitted","SKR AC_3_C","Acraman Creek","Intertidal saltmarsh",-32.450932,134.045653,"direct from dataset",1,"Australia",2021,0.1,0.2,"EA",0,1.155283826
"35","AC_3_C","Russell et al submitted","SKR AC_3_C","Acraman Creek","Intertidal saltmarsh",-32.450932,134.045653,"direct from dataset",1,"Australia",2021,0.2,0.3,"EA",0,1.216359831
"36","AC_3_C","Russell et al submitted","SKR AC_3_C","Acraman Creek","Intertidal saltmarsh",-32.450932,134.045653,"direct from dataset",1,"Australia",2021,0.3,0.4,"EA",1.24,1.377508898
"37","AC_3_C","Russell et al submitted","SKR AC_3_C","Acraman Creek","Intertidal saltmarsh",-32.450932,134.045653,"direct from dataset",1,"Australia",2021,0.4,0.5,"EA",0,1.307786717
"38","AC_1_A","Russell et al submitted","SKR AC_1_A","Acraman Creek","Supratidal saltmarsh",-32.453274,134.042862,"direct from dataset",1,"Australia",2021,0,0.05,"EA",0.53,0.6378359
"39","AC_1_A","Russell et al submitted","SKR AC_1_A","Acraman Creek","Supratidal saltmarsh",-32.453274,134.042862,"direct from dataset",1,"Australia",2021,0.05,0.1,"EA",0.68,0.842244449
"40","AC_1_A","Russell et al submitted","SKR AC_1_A","Acraman Creek","Supratidal saltmarsh",-32.453274,134.042862,"direct from dataset",1,"Australia",2021,0.1,0.2,"EA",0,1.29950082
"41","AC_1_A","Russell et al submitted","SKR AC_1_A","Acraman Creek","Supratidal saltmarsh",-32.453274,134.042862,"direct from dataset",1,"Australia",2021,0.2,0.3,"EA",0,1.200715866
"42","AC_1_A","Russell et al submitted","SKR AC_1_A","Acraman Creek","Supratidal saltmarsh",-32.453274,134.042862,"direct from dataset",1,"Australia",2021,0.3,0.4,"EA",0,1.323976081
"43","AC_1_A","Russell et al submitted","SKR AC_1_A","Acraman Creek","Supratidal saltmarsh",-32.453274,134.042862,"direct from dataset",1,"Australia",2021,0.4,0.5,"EA",0,1.197350261
"44","AC_1_B","Russell et al submitted","SKR AC_1_B","Acraman Creek","Supratidal saltmarsh",-32.453275,134.042788,"direct from dataset",1,"Australia",2021,0,0.05,"EA",0.3,0.873946162
"45","AC_1_B","Russell et al submitted","SKR AC_1_B","Acraman Creek","Supratidal saltmarsh",-32.453275,134.042788,"direct from dataset",1,"Australia",2021,0.05,0.1,"EA",0.44,0.64694976
"46","AC_1_B","Russell et al submitted","SKR AC_1_B","Acraman Creek","Supratidal saltmarsh",-32.453275,134.042788,"direct from dataset",1,"Australia",2021,0.1,0.2,"EA",0,1.390701367
"47","AC_1_B","Russell et al submitted","SKR AC_1_B","Acraman Creek","Supratidal saltmarsh",-32.453275,134.042788,"direct from dataset",1,"Australia",2021,0.2,0.3,"EA",0,1.622700936
"48","AC_1_B","Russell et al submitted","SKR AC_1_B","Acraman Creek","Supratidal saltmarsh",-32.453275,134.042788,"direct from dataset",1,"Australia",2021,0.3,0.4,"EA",0,1.504819349
"49","AC_1_B","Russell et al submitted","SKR AC_1_B","Acraman Creek","Supratidal saltmarsh",-32.453275,134.042788,"direct from dataset",1,"Australia",2021,0.4,0.5,"EA",0,1.503220867
"50","AC_1_C","Russell et al submitted","SKR AC_1_C","Acraman Creek","Supratidal saltmarsh",-32.453199,134.042782,"direct from dataset",1,"Australia",2021,0,0.05,"EA",1.02,0.958249497
"51","AC_1_C","Russell et al submitted","SKR AC_1_C","Acraman Creek","Supratidal saltmarsh",-32.453199,134.042782,"direct from dataset",1,"Australia",2021,0.05,0.1,"EA",0.43,0.737981009
