"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","Conv_factor","BD_reported_g_cm3"
"1","Sammul et al 2012","MS Häädemeeste managed","Häädemeeste","Häädemeeste managed","Salt marsh",58.09083333,24.48555556,"direct from dataset","1","Estonia",2005,0,0.15,"Tyurin spectrophotometry",11.9,NA,0.22
"2","Sammul et al 2012","MS Häädemeeste managed","Häädemeeste","Häädemeeste managed","Salt marsh",58.09083333,24.48555556,"direct from dataset","1","Estonia",2005,0.15,0.26,"Tyurin spectrophotometry",3.3,NA,1.2
"3","Sammul et al 2012","MS Häädemeeste managed","Häädemeeste","Häädemeeste managed","Salt marsh",58.09083333,24.48555556,"direct from dataset","1","Estonia",2005,0.26,0.6,"Tyurin spectrophotometry",0.1,NA,1.2
"4","Sammul et al 2012","MS Haeska managed","Haeska","Haeska managed","Salt marsh",58.78111111,23.65666667,"direct from dataset","1","Estonia",2005,0,0.1,"Tyurin spectrophotometry",4.1,NA,0.62
"5","Sammul et al 2012","MS Haeska managed","Haeska","Haeska managed","Salt marsh",58.78111111,23.65666667,"direct from dataset","1","Estonia",2005,0.1,0.3,"Tyurin spectrophotometry",0.3,NA,1.2
"6","Sammul et al 2012","MS Haeska managed","Haeska","Haeska managed","Salt marsh",58.78111111,23.65666667,"direct from dataset","1","Estonia",2005,0.3,0.5,"Tyurin spectrophotometry",0.1,NA,1.2
"7","Sammul et al 2012","MS Haeska restored","Haeska","Haeska restored","Salt marsh",58.78277778,23.69555556,"direct from dataset","1","Estonia",2005,0,0.07,"Tyurin spectrophotometry",22.1,NA,0.21
"8","Sammul et al 2012","MS Haeska restored","Haeska","Haeska restored","Salt marsh",58.78277778,23.69555556,"direct from dataset","1","Estonia",2005,0.07,0.24,"Tyurin spectrophotometry",2.7,NA,1.4
"9","Sammul et al 2012","MS Haeska restored","Haeska","Haeska restored","Salt marsh",58.78277778,23.69555556,"direct from dataset","1","Estonia",2005,0.24,0.5,"Tyurin spectrophotometry",2.3,NA,1.4
"10","Sammul et al 2012","MS Haeska abandoned","Haeska","Haeska abandoned","Salt marsh",58.78472222,23.70416667,"direct from dataset","1","Estonia",2005,0,0.07,"Tyurin spectrophotometry",26.1,NA,0.1
"11","Sammul et al 2012","MS Haeska abandoned","Haeska","Haeska abandoned","Salt marsh",58.78472222,23.70416667,"direct from dataset","1","Estonia",2005,0.07,0.3,"Tyurin spectrophotometry",1.9,NA,1.4
"12","Sammul et al 2012","MS Kastna  abandoned","Kastna ","Kastna  abandoned","Salt marsh",58.32583333,23.90833333,"direct from dataset","1","Estonia",2005,0,0.1,"Tyurin spectrophotometry",18.8,NA,0.25
"13","Sammul et al 2012","MS Kastna  abandoned","Kastna ","Kastna  abandoned","Salt marsh",58.32583333,23.90833333,"direct from dataset","1","Estonia",2005,0.1,0.2,"Tyurin spectrophotometry",38.6,NA,0.25
"14","Sammul et al 2012","MS Kastna  abandoned","Kastna ","Kastna  abandoned","Salt marsh",58.32583333,23.90833333,"direct from dataset","1","Estonia",2005,0.2,0.4,"Tyurin spectrophotometry",15,NA,0.25
