"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Emirate","Country","Year_collected","U_depth_m","L_depth_m","Method","IC_perc","OC_perc","SOM_perc","BD_reported_g_cm3","N_perc"
"1","Schile et al 2016","LS al_aryam high sabkha 1","al_aryam",1,"high sabkha",24.267838,54.226179,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.15,"EA","3.47","1.77","10.895",1.483,"0.000"
"2","Schile et al 2016","LS al_aryam high sabkha 1","al_aryam",1,"high sabkha",24.267838,54.226179,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.3,"EA","7.75","1.36","7.047",1.532,"0.037"
"3","Schile et al 2016","LS al_aryam high sabkha 1","al_aryam",1,"high sabkha",24.267838,54.226179,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.3,0.5,"EA","8.55","1.16","5.408",1.726,"0.000"
"4","Schile et al 2016","LS al_aryam high sabkha 2","al_aryam",2,"high sabkha",24.268013,54.22627,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.05,"EA","2.69","1.24","7.151",0.781,"0.000"
"5","Schile et al 2016","LS al_aryam high sabkha 2","al_aryam",2,"high sabkha",24.268013,54.22627,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.05,0.15,"EA","3.34","1.76","9.938",1.356,"0.000"
"6","Schile et al 2016","LS al_aryam high sabkha 2","al_aryam",2,"high sabkha",24.268013,54.22627,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.27,"EA","7.30","2.11","7.106",1.506,"0.043"
"7","Schile et al 2016","LS al_aryam high sabkha 3","al_aryam",3,"high sabkha",24.268171,54.226308,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.05,"EA","2.49","1.42","7.980",0.898,"0.000"
"8","Schile et al 2016","LS al_aryam high sabkha 3","al_aryam",3,"high sabkha",24.268171,54.226308,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.05,0.15,"EA","6.56","2.39","10.230",1.362,"0.039"
"9","Schile et al 2016","LS al_aryam high sabkha 3","al_aryam",3,"high sabkha",24.268171,54.226308,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.38,"EA","7.81","1.63","6.096",1.629,"0.044"
"10","Schile et al 2016","LS al_aryam high sabkha 4","al_aryam",4,"high sabkha",24.268516,54.226443,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.06,"EA","3.61","0.93","6.857",0.99,"0.000"
"11","Schile et al 2016","LS al_aryam high sabkha 4","al_aryam",4,"high sabkha",24.268516,54.226443,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.06,0.15,"EA","6.02","1.47","8.834",1.621,"0.000"
"12","Schile et al 2016","LS al_aryam high sabkha 4","al_aryam",4,"high sabkha",24.268516,54.226443,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.4,"EA","6.83","1.45","7.773",1.539,"0.033"
"13","Schile et al 2016","LS al_aryam low sabkha 1","al_aryam",1,"low sabkha",24.259597,54.236117,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.15,"EA","4.33","0.96","6.586",1.139,"0.000"
"14","Schile et al 2016","LS al_aryam low sabkha 1","al_aryam",1,"low sabkha",24.259597,54.236117,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.4,"EA","4.58","1.36","7.760",1.348,"0.000"
"15","Schile et al 2016","LS al_aryam low sabkha 2","al_aryam",2,"low sabkha",24.25977,54.236139,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.15,"EA","3.19","1.15","9.392",1.078,"0.000"
"16","Schile et al 2016","LS al_aryam low sabkha 2","al_aryam",2,"low sabkha",24.25977,54.236139,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.35,"EA","5.56","0.99","8.050",1.447,"0.000"
"17","Schile et al 2016","LS al_aryam low sabkha 3","al_aryam",3,"low sabkha",24.259938,54.23619,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.15,"EA","3.18","0.92","8.946",1.223,"0.000"
"18","Schile et al 2016","LS al_aryam low sabkha 3","al_aryam",3,"low sabkha",24.259938,54.23619,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.38,"EA","4.80","1.18","7.709",1.45,"0.000"
"19","Schile et al 2016","LS al_aryam low sabkha 4","al_aryam",4,"low sabkha",24.260108,54.236263,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.15,"EA","2.99","0.75","8.917",1.112,"0.000"
"20","Schile et al 2016","LS al_aryam low sabkha 4","al_aryam",4,"low sabkha",24.260108,54.236263,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.38,"EA","9.14","1.05","3.368",1.396,"0.000"
"21","Schile et al 2016","LS al_aryam low sabkha 5","al_aryam",5,"low sabkha",24.260288,54.236323,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.15,"EA","2.18","0.85","9.965",1.206,"0.000"
"22","Schile et al 2016","LS al_aryam low sabkha 5","al_aryam",5,"low sabkha",24.260288,54.236323,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.38,"EA","4.90","0.88","6.887",1.378,"0.000"
"23","Schile et al 2016","LS al_aryam salt marsh 1","al_aryam",1,"salt marsh",24.25638,54.237588,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.15,"EA","8.68","1.76","5.976",1.141,"0.090"
"24","Schile et al 2016","LS al_aryam salt marsh 1","al_aryam",1,"salt marsh",24.25638,54.237588,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.3,"EA","9.26","1.06","5.181",1.361,"0.083"
"25","Schile et al 2016","LS al_aryam salt marsh 1","al_aryam",1,"salt marsh",24.25638,54.237588,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.3,0.5,"EA","9.11","0.99","5.280",1.349,"0.069"
"26","Schile et al 2016","LS al_aryam salt marsh 1","al_aryam",1,"salt marsh",24.25638,54.237588,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.5,1.1,"EA","7.76","1.09","4.631",1.115,"0.056"
"27","Schile et al 2016","LS al_aryam salt marsh 2","al_aryam",2,"salt marsh",24.256213,54.237661,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.15,"EA","8.37","1.77","7.722",1.109,"0.076"
"28","Schile et al 2016","LS al_aryam salt marsh 2","al_aryam",2,"salt marsh",24.256213,54.237661,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.3,"EA","8.81","2.19","6.767",1.176,"0.084"
"29","Schile et al 2016","LS al_aryam salt marsh 2","al_aryam",2,"salt marsh",24.256213,54.237661,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.3,0.5,"EA","8.97","1.86","5.074",1.332,"0.067"
"30","Schile et al 2016","LS al_aryam salt marsh 2","al_aryam",2,"salt marsh",24.256213,54.237661,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.5,0.85,"EA","8.83","1.84","4.141",1.387,"0.044"
"31","Schile et al 2016","LS al_aryam salt marsh 3","al_aryam",3,"salt marsh",24.256042,54.237708,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0,0.15,"EA","7.53","2.81","8.867",1.292,"0.079"
"32","Schile et al 2016","LS al_aryam salt marsh 3","al_aryam",3,"salt marsh",24.256042,54.237708,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.15,0.3,"EA","8.70","1.62","5.146",1.361,"0.069"
"33","Schile et al 2016","LS al_aryam salt marsh 3","al_aryam",3,"salt marsh",24.256042,54.237708,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.3,0.5,"EA","8.64","1.40","4.638",1.432,"0.060"
"34","Schile et al 2016","LS al_aryam salt marsh 3","al_aryam",3,"salt marsh",24.256042,54.237708,"RTK GPS",1,"Abu Dhabi","United Arab Emirates",NA,0.5,1,"EA","9.27","0.66","4.219",1.188,"0.051"
