"","Source","Site_name","Original_source","State","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","SOC_stock_MgC_ha"
"1","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.935331,150.714458,"direct from dataset","1","Australia","NA",0,1,519.65
"2","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.935399,150.714331,"direct from dataset","1","Australia","NA",0,1,316.35
"3","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.935411,150.714235,"direct from dataset","1","Australia","NA",0,1,188.46
"4","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.935664,150.71391,"direct from dataset","1","Australia","NA",0,1,243.88
"5","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.935531,150.714226,"direct from dataset","1","Australia","NA",0,1,214.66
"6","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.935483,150.714255,"direct from dataset","1","Australia","NA",0,1,191.25
"7","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.93533,150.714575,"direct from dataset","1","Australia","NA",0,1,202.68
"8","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.908828,150.740143,"direct from dataset","1","Australia","NA",0,1,220.48
"9","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.909763,150.740181,"direct from dataset","1","Australia","NA",0,1,99.26
"10","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.90941,150.740889,"direct from dataset","1","Australia","NA",0,1,191.33
"11","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.908775,150.741283,"direct from dataset","1","Australia","NA",0,1,196.07
"12","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.908631,150.740193,"direct from dataset","1","Australia","NA",0,1,177.97
"13","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.9087,150.740194,"direct from dataset","1","Australia","NA",0,1,157.31
"14","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.909133,150.741559,"direct from dataset","1","Australia","NA",0,1,282.49
"15","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-34.908926,150.741647,"direct from dataset","1","Australia","NA",0,1,273.14
"16","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.079019,150.123379,"direct from dataset","1","Australia","NA",0,1,72.97
"17","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.078811,150.123397,"direct from dataset","1","Australia","NA",0,1,57.26
"18","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.078495,150.123437,"direct from dataset","1","Australia","NA",0,1,57.86
"19","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.076976,150.123042,"direct from dataset","1","Australia","NA",0,1,42.11
"20","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.076022,150.122937,"direct from dataset","1","Australia","NA",0,1,43.18
"21","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.075918,150.122695,"direct from dataset","1","Australia","NA",0,1,96.55
"22","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.076081,150.122306,"direct from dataset","1","Australia","NA",0,1,85.63
"23","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.076713,150.12199,"direct from dataset","1","Australia","NA",0,1,99.04
"24","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.052456,150.065503,"direct from dataset","1","Australia","NA",0,1,276.97
"25","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.053587,150.064199,"direct from dataset","1","Australia","NA",0,1,338.09
"26","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.054078,150.062818,"direct from dataset","1","Australia","NA",0,1,435.69
"27","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.057233,150.063029,"direct from dataset","1","Australia","NA",0,1,305.56
"28","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.057407,150.063667,"direct from dataset","1","Australia","NA",0,1,231.32
"29","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.056969,150.063049,"direct from dataset","1","Australia","NA",0,1,260.16
"30","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.05566,150.062765,"direct from dataset","1","Australia","NA",0,1,269.84
"31","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-36.055223,150.06285,"direct from dataset","1","Australia","NA",0,1,267.35
"32","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.709908,150.171966,"direct from dataset","1","Australia","NA",0,1,103.75
"33","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.709894,150.172273,"direct from dataset","1","Australia","NA",0,1,71.6
"34","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.711174,150.173118,"direct from dataset","1","Australia","NA",0,1,82.58
"35","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.711768,150.173057,"direct from dataset","1","Australia","NA",0,1,113
"36","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.709435,150.172179,"direct from dataset","1","Australia","NA",0,1,210.28
"37","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.710239,150.173071,"direct from dataset","1","Australia","NA",0,1,153.3
"38","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.710531,150.173151,"direct from dataset","1","Australia","NA",0,1,59.39
"39","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.693089,150.099483,"direct from dataset","1","Australia","NA",0,1,391.4
"40","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.693055,150.099694,"direct from dataset","1","Australia","NA",0,1,450
"41","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.692817,150.09956,"direct from dataset","1","Australia","NA",0,1,371.62
"42","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.692758,150.099886,"direct from dataset","1","Australia","NA",0,1,387.16
"43","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.692262,150.098597,"direct from dataset","1","Australia","NA",0,1,411.1
"44","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.69182,150.099358,"direct from dataset","1","Australia","NA",0,1,581.43
"45","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.691928,150.099703,"direct from dataset","1","Australia","NA",0,1,394.35
"46","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-35.692015,150.100176,"direct from dataset","1","Australia","NA",0,1,374.4
"47","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.200462,152.510398,"direct from dataset","1","Australia","NA",0,1,66.09
"48","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.200746,152.510629,"direct from dataset","1","Australia","NA",0,1,78.31
"49","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.200709,152.510441,"direct from dataset","1","Australia","NA",0,1,55.21
"50","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.201717,152.508678,"direct from dataset","1","Australia","NA",0,1,150.23
"51","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.200759,152.509541,"direct from dataset","1","Australia","NA",0,1,115.16
"52","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.200788,152.508975,"direct from dataset","1","Australia","NA",0,1,139.97
"53","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.200692,152.508678,"direct from dataset","1","Australia","NA",0,1,113.14
"54","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.201415,152.509036,"direct from dataset","1","Australia","NA",0,1,98.52
"55","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.667571,152.1475,"direct from dataset","1","Australia","NA",0,1,152.44
"56","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.668039,152.147029,"direct from dataset","1","Australia","NA",0,1,123.03
"57","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.669169,152.14336,"direct from dataset","1","Australia","NA",0,1,161.63
"58","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.668718,152.143499,"direct from dataset","1","Australia","NA",0,1,178.01
"59","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.669149,152.14759,"direct from dataset","1","Australia","NA",0,1,236.45
"60","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.668892,152.146572,"direct from dataset","1","Australia","NA",0,1,209.59
"61","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.668926,152.144505,"direct from dataset","1","Australia","NA",0,1,194.3
"62","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.669082,152.1439,"direct from dataset","1","Australia","NA",0,1,197.96
"63","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.642504,151.988859,"direct from dataset","1","Australia","NA",0,1,293.69
"64","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.642608,151.98905,"direct from dataset","1","Australia","NA",0,1,242.22
"65","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.642637,151.988548,"direct from dataset","1","Australia","NA",0,1,160.53
"66","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.64322,151.987675,"direct from dataset","1","Australia","NA",0,1,235.98
"67","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.642364,151.988919,"direct from dataset","1","Australia","NA",0,1,175.2
"68","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.642627,151.988275,"direct from dataset","1","Australia","NA",0,1,182.24
"69","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.643337,151.988391,"direct from dataset","1","Australia","NA",0,1,247.37
"70","Serrano et al 2019","OS NSW","This study","NSW","Tidal marsh",-32.642908,151.987382,"direct from dataset","1","Australia","NA",0,1,223.4
