"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"1","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Fibrous Peat (Silty)",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0,0.02,"EA",10.291,0.23794725,"unpublished"
"2","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Fibrous Peat (Silty)",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",10.455,0.315034831,"unpublished"
"3","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.1,0.12,"EA",6.917,0.550831721,"unpublished"
"4","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.2,0.22,"EA",4.955,0.488832029,"unpublished"
"5","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.3,0.32,"EA",5.25,0.380981566,"unpublished"
"6","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.4,0.42,"EA",5.46,0.409396029,"unpublished"
"7","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.5,0.52,"EA",6.672,0.32046732,"unpublished"
"8","Smeaton et al 2022a","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.6,0.62,"EA",4.906,0.409968986,"unpublished"
"9","Smeaton et al 2022a","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Fibrous Peat (Silty)",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0,0.02,"EA",8.632,0.178508184,"unpublished"
"10","Smeaton et al 2022a","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Fibrous Peat (Silty)",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.04,0.06,"EA",6.236,0.252044841,"unpublished"
