"","Source","Site_name","Site","Core","Habitat_type","Soil_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"1","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0,0.01,"EA",7.1,0.7,0.1852,"unpublished"
"2","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.01,0.02,"EA",7.34,0.69,0.2844,"unpublished"
"3","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.02,0.03,"EA",7.6,0.65,0.3318,"unpublished"
"4","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.03,0.04,"EA",5.87,0.48,0.3746,"unpublished"
"5","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.04,0.05,"EA",5.6,0.47,0.368,"unpublished"
"6","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.05,0.06,"EA",6.61,0.58,0.3081,"unpublished"
"7","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.06,0.07,"EA",7.3,0.56,0.2983,"unpublished"
"8","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.07,0.08,"EA",8.08,0.64,0.3024,"unpublished"
"9","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.08,0.09,"EA",6.26,0.52,0.2588,"unpublished"
"10","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.09,0.1,"EA",9.8,0.8,0.2751,"unpublished"
"11","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.1,0.11,"EA",9.68,0.66,0.3257,"unpublished"
"12","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.11,0.12,"EA",8.14,0.64,0.2084,"unpublished"
"13","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.12,0.13,"EA",6.71,0.55,0.2907,"unpublished"
"14","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.13,0.14,"EA",7.48,0.53,0.3036,"unpublished"
"15","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.14,0.15,"EA",6.44,0.46,0.3132,"unpublished"
"16","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.15,0.16,"EA",5.98,0.51,0.2878,"unpublished"
"17","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Fibrous Peat (Silty)",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.16,0.17,"EA",8,0.54,0.2279,"unpublished"
"18","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Silt with Organics",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.17,0.18,"EA",7.19,0.53,0.2929,"unpublished"
"19","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Silt with Organics",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.18,0.19,"EA",5.92,0.49,0.3014,"unpublished"
"20","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Silt with Organics",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.19,0.2,"EA",6.2,0.45,0.2933,"unpublished"
"21","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Silt with Organics",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.2,0.21,"EA",4.52,0.39,0.3962,"unpublished"
"22","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Silt with Organics",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.21,0.22,"EA",4.76,0.38,0.3453,"unpublished"
"23","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Silt with Organics",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.22,0.23,"EA",4.51,0.34,0.3943,"unpublished"
"24","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Silt with Organics",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.23,0.24,"EA",4.68,NA,0.3023,"unpublished"
"25","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Basal Silt",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.24,0.25,"EA",3.99,0.39,0.5035,"unpublished"
"26","Smeaton et al 2022b","CS ARN-16","Arne","ARN-16","Saltmarsh","Basal Silt",50.690441,-2.0265907,"direct from dataset","1","UK","England",2020,0.25,0.26,"EA",5.23,NA,0.4794,"unpublished"
