"","Source","Site_name","Site","Core","Habitat_type","Substrate","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Core_type","Method","OC_perc","N_perc","BD_reported_g_cm3"
"1","Smeaton unpublished C-SIDE","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Fibrous Peat (Silty)",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0,0.02,"Narrow","EA",10.291,NA,0.23794725
"2","Smeaton unpublished C-SIDE","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Fibrous Peat (Silty)",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.04,0.06,"Narrow","EA",10.455,NA,0.315034831
"3","Smeaton unpublished C-SIDE","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.1,0.12,"Narrow","EA",6.917,NA,0.550831721
"4","Smeaton unpublished C-SIDE","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.2,0.22,"Narrow","EA",4.955,NA,0.488832029
"5","Smeaton unpublished C-SIDE","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.3,0.32,"Narrow","EA",5.25,NA,0.380981566
"6","Smeaton unpublished C-SIDE","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.4,0.42,"Narrow","EA",5.46,NA,0.409396029
"7","Smeaton unpublished C-SIDE","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.5,0.52,"Narrow","EA",6.672,NA,0.32046732
"8","Smeaton unpublished C-SIDE","CS ARN-20-01","Arne","ARN-20-01","Saltmarsh","Silt with Organics",50.690512,-2.0286577,"direct from dataset","1","UK","England",2020,0.6,0.62,"Narrow","EA",4.906,NA,0.409968986
"9","Smeaton unpublished C-SIDE","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Fibrous Peat (Silty)",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0,0.02,"Narrow","EA",8.632,NA,0.178508184
"10","Smeaton unpublished C-SIDE","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Fibrous Peat (Silty)",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.04,0.06,"Narrow","EA",6.236,NA,0.252044841
"11","Smeaton unpublished C-SIDE","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Silt with Organics",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.1,0.12,"Narrow","EA",5.233,NA,0.280664437
"12","Smeaton unpublished C-SIDE","CS ARN-20-02","Arne","ARN-20-02","Saltmarsh","Silt with Organics",50.690396,-2.0283886,"direct from dataset","1","UK","England",2020,0.2,0.22,"Narrow","EA",8.55,NA,0.355240907
