"","Source","Site_name","Site","Core","Habitat_type","Marsh_type","Substrate","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Nation","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3"
"1","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Humified Peat (Substantia Humosa)",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0,0.01,"EA",5.68,0.72
"2","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Humified Peat (Substantia Humosa)",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.01,0.02,"EA",7.35,0.28
"3","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt with Organics ",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.02,0.03,"EA",4.11,0.48
"4","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt with Organics ",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.03,0.04,"EA",4.18,0.39
"5","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt with Organics ",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.04,0.05,"EA",3.85,0.64
"6","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt with Organics ",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.05,0.06,"EA",4.57,0.42
"7","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt with Organics ",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.06,0.07,"EA",3.41,0.7
"8","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt with Organics ",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.07,0.08,"EA",3.79,0.42
"9","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.08,0.09,"EA",4.63,0.55
"10","Smeaton unpublished Essex","CS BaH-N-14","Barrow Hill","BaH-N-14","Salt marsh","Natural","Silt",51.79765225,0.92172498,"direct from dataset","1","UK","England",2019,0.09,0.1,"EA",4.34,0.36
