"","Source","Original_source","Site_name","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","State","Year_collected","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","Year_collected_end","Method","DOI"
"1","Xia et al 2022","Gao et al 2016","SX Wanggang Wetland 6","Wanggang Wetland 6","Saltmarsh","33.1864","120.7586","direct from dataset","1","China","Jiangsu","2012",0,1,"3.20 ",NA,NA,"2013","EA","https://doi.org/10.1016/j.ecoleng.2016.06.088"
"2","Xia et al 2022","Gao et al 2016","SX Wanggang Wetland 7","Wanggang Wetland 7","Saltmarsh","33.1863","120.7589","direct from dataset","1","China","Jiangsu","2012",0,1,"3.40 ",NA,NA,"2013","EA","https://doi.org/10.1016/j.ecoleng.2016.06.088"
"3","Xia et al 2022","Gao et al 2016","SX Wanggang Wetland 8","Wanggang Wetland 8","Saltmarsh","33.1861","120.7595","direct from dataset","1","China","Jiangsu","2012",0,1,"2.90 ",NA,NA,"2013","EA","https://doi.org/10.1016/j.ecoleng.2016.06.088"
"4","Xia et al 2022","Liu et al 2017","SX Yancheng Wetland 10","Yancheng Wetland 10","Saltmarsh","33.6093","120.6161","direct from dataset","1","China","Jiangsu","2012",0,1,"2.40 ",NA,NA,NA,"EA","https://doi.org/10.1016/j.ecoleng.2017.05.041"
"5","Xia et al 2022","Liu et al 2017","SX Yancheng Wetland 11","Yancheng Wetland 11","Saltmarsh","33.6081","120.6148","direct from dataset","1","China","Jiangsu","2012",0,1,"2.70 ",NA,NA,NA,"EA","https://doi.org/10.1016/j.ecoleng.2017.05.041"
"6","Xia et al 2022","Liu et al 2017","SX Yancheng Wetland 12","Yancheng Wetland 12","Saltmarsh","33.6074","120.6104","direct from dataset","1","China","Jiangsu","2012",0,1,"3.80 ",NA,NA,NA,"EA","https://doi.org/10.1016/j.ecoleng.2017.05.041"
"7","Xia et al 2022","Liu et al 2017","SX Yancheng Wetland 13","Yancheng Wetland 13","Saltmarsh","33.6062","120.6101","direct from dataset","1","China","Jiangsu","2012",0,1,"3.40 ",NA,NA,NA,"EA","https://doi.org/10.1016/j.ecoleng.2017.05.041"
"8","Xia et al 2022","Liu et al 2017","SX Yancheng Wetland 14","Yancheng Wetland 14","Saltmarsh","33.6031","120.6054","direct from dataset","1","China","Jiangsu","2012",0,1,"2.70 ",NA,NA,NA,"EA","https://doi.org/10.1016/j.ecoleng.2017.05.041"
"9","Xia et al 2022","Liu et al 2017","SX Yancheng Wetland 15","Yancheng Wetland 15","Saltmarsh","33.6029","120.6043","direct from dataset","1","China","Jiangsu","2012",0,1,"1.60 ",NA,NA,NA,"EA","https://doi.org/10.1016/j.ecoleng.2017.05.041"
"10","Xia et al 2022","Liu et al 2017","SX Yancheng Wetland 16","Yancheng Wetland 16","Saltmarsh","33.5957","120.5862","direct from dataset","1","China","Jiangsu","2012",0,1,"3.10 ",NA,NA,NA,"EA","https://doi.org/10.1016/j.ecoleng.2017.05.041"
"11","Xia et al 2022","Liu et al 2017","SX Yancheng Wetland 17","Yancheng Wetland 17","Saltmarsh","33.5783","120.5533","direct from dataset","1","China","Jiangsu","2012",0,1,"2.30 ",NA,NA,NA,"EA","https://doi.org/10.1016/j.ecoleng.2017.05.041"
"12","Xia et al 2022","Liu et al 2017","SX Yancheng Wetland 9","Yancheng Wetland 9","Saltmarsh","33.6104","120.6168","direct from dataset","1","China","Jiangsu","2012",0,1,"0.90 ",NA,NA,NA,"EA","https://doi.org/10.1016/j.ecoleng.2017.05.041"
"13","Xia et al 2022","Xia et al 2022","SX  Duliujian River  1"," Duliujian River  1","Saltmarsh","38.8085","117.3194","direct from dataset","1","China","Tianjin","2015",0,0.1,"12.58 ","1.44 ","1.44 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"14","Xia et al 2022","Xia et al 2022","SX  Duliujian River  1"," Duliujian River  1","Saltmarsh","38.8085","117.3194","direct from dataset","1","China","Tianjin","2015",0.1,0.2,"7.33 ","1.09 ","1.54 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"15","Xia et al 2022","Xia et al 2022","SX  Duliujian River  1"," Duliujian River  1","Saltmarsh","38.8085","117.3194","direct from dataset","1","China","Tianjin","2015",0.2,0.3,"7.18 ","0.93 ","1.51 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"16","Xia et al 2022","Xia et al 2022","SX  Duliujian River  1"," Duliujian River  1","Saltmarsh","38.8085","117.3194","direct from dataset","1","China","Tianjin","2015",0.3,0.4,"7.99 ","0.99 ","1.33 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"17","Xia et al 2022","Xia et al 2022","SX  Duliujian River  1"," Duliujian River  1","Saltmarsh","38.8085","117.3194","direct from dataset","1","China","Tianjin","2015",0.4,0.6,"7.59 ","1.04 ","1.55 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"18","Xia et al 2022","Xia et al 2022","SX  Duliujian River  1"," Duliujian River  1","Saltmarsh","38.8085","117.3194","direct from dataset","1","China","Tianjin","2015",0.6,0.8,"4.49 ","0.65 ","1.66 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"19","Xia et al 2022","Xia et al 2022","SX  Duliujian River  1"," Duliujian River  1","Saltmarsh","38.8085","117.3194","direct from dataset","1","China","Tianjin","2015",0.8,1,"4.01 ","0.44 ","1.68 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"20","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0,0.1,"4.60 ","0.56 ","1.48 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"21","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0.1,0.2,"3.94 ","0.49 ","1.78 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"22","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0.2,0.3,"3.28 ","0.52 ","1.65 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"23","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0.3,0.4,"4.13 ","0.58 ","1.61 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"24","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0.4,0.6,"4.49 ","0.50 ","1.66 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"25","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0.6,0.8,"3.59 ","0.45 ","1.70 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"26","Xia et al 2022","Xia et al 2022","SX  Duliujian River  10"," Duliujian River  10","Saltmarsh","38.7496","117.4726","direct from dataset","1","China","Tianjin","2015",0.8,1,"4.25 ","0.60 ","1.67 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"27","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0,0.1,"4.27 ","0.48 ","1.54 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"28","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0.1,0.2,"4.07 ","0.40 ","1.75 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"29","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0.2,0.3,"3.79 ","0.45 ","1.76 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"30","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0.3,0.4,"3.79 ","0.53 ","1.70 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"31","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0.4,0.6,"5.04 ","0.49 ","1.64 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"32","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0.6,0.8,"5.00 ","0.54 ","1.64 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"33","Xia et al 2022","Xia et al 2022","SX  Duliujian River  11"," Duliujian River  11","Saltmarsh","38.7561","117.4882","direct from dataset","1","China","Tianjin","2015",0.8,1,"4.91 ","0.52 ","1.65 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"34","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0,0.1,"9.82 ","1.26 ","1.68 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"35","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0.1,0.2,"6.84 ","1.05 ","1.43 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"36","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0.2,0.3,"9.51 ","1.25 ","1.40 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"37","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0.3,0.4,"9.74 ","1.18 ","1.46 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"38","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0.4,0.6,"6.86 ","0.84 ","1.57 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"39","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0.6,0.8,"4.73 ","0.71 ","1.65 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"40","Xia et al 2022","Xia et al 2022","SX  Duliujian River  2"," Duliujian River  2","Saltmarsh","38.7823","117.3463","direct from dataset","1","China","Tianjin","2015",0.8,1,"3.63 ","0.50 ","1.69 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"41","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0,0.1,"9.29 ","1.30 ","1.41 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"42","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0.1,0.2,"10.41 ","1.18 ","1.52 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"43","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0.2,0.3,"9.47 ","1.30 ","1.60 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"44","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0.3,0.4,"9.36 ","1.32 ","1.46 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"45","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0.4,0.6,"9.23 ","1.26 ","1.48 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"46","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0.6,0.8,"11.80 ","1.68 ","1.39 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"47","Xia et al 2022","Xia et al 2022","SX  Duliujian River  3"," Duliujian River  3","Saltmarsh","38.7776","117.3617","direct from dataset","1","China","Tianjin","2015",0.8,1,"12.51 ","1.80 ","1.36 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"48","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0,0.1,"7.72 ","0.89 ","1.53 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"49","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0.1,0.2,"6.07 ","0.80 ","1.73 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"50","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0.2,0.3,"6.11 ","0.73 ","1.73 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"51","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0.3,0.4,"3.78 ","0.73 ","1.68 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"52","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0.4,0.6,"3.73 ","0.74 ","1.69 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"53","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0.6,0.8,"6.09 ","0.73 ","1.60 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"54","Xia et al 2022","Xia et al 2022","SX  Duliujian River  4"," Duliujian River  4","Saltmarsh","38.7755","117.3698","direct from dataset","1","China","Tianjin","2015",0.8,1,"4.82 ","0.78 ","1.65 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"55","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0,0.1,"11.45 ","1.13 ","1.34 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"56","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0.1,0.2,"8.06 ","0.87 ","1.52 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"57","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0.2,0.3,"5.96 ","0.66 ","1.49 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"58","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0.3,0.4,"5.44 ","0.73 ","1.62 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"59","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0.4,0.6,"5.68 ","0.65 ","1.62 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"60","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0.6,0.8,"5.97 ","0.70 ","1.61 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"61","Xia et al 2022","Xia et al 2022","SX  Duliujian River  5"," Duliujian River  5","Saltmarsh","38.7656","117.4028","direct from dataset","1","China","Tianjin","2015",0.8,1,"5.18 ","0.60 ","1.64 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"62","Xia et al 2022","Xia et al 2022","SX  Duliujian River  7"," Duliujian River  7","Saltmarsh","38.7535","117.4403","direct from dataset","1","China","Tianjin","2015",0,0.1,"5.00 ","0.65 ","1.57 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"63","Xia et al 2022","Xia et al 2022","SX  Duliujian River  7"," Duliujian River  7","Saltmarsh","38.7535","117.4403","direct from dataset","1","China","Tianjin","2015",0.1,0.2,"4.57 ","0.53 ","1.82 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"64","Xia et al 2022","Xia et al 2022","SX  Duliujian River  7"," Duliujian River  7","Saltmarsh","38.7535","117.4403","direct from dataset","1","China","Tianjin","2015",0.2,0.3,"4.07 ","0.61 ","1.79 ","2019","EA","https://doi.org/10.1111/gcb.16325"
"65","Xia et al 2022","Xia et al 2022","SX  Duliujian River  7"," Duliujian River  7","Saltmarsh","38.7535","117.4403","direct from dataset","1","China","Tianjin","2015",0.3,0.4,"4.15 ","0.51 ","1.74 ","2019","EA","https://doi.org/10.1111/gcb.16325"
