"","Source","Site_name","Site","Habitat_type","Country","State","Year_collected","Latitude","Longitude","accuracy_flag","accuracy_code","U_depth_m","L_depth_m","Method","SOM_perc","BD_reported_g_cm3","Conv_factor"
"1","Yando et al 2016","ESY FLSM1","FLSM1","Saltmarsh","United States","FL","2013","29.14374","-83.031762","direct from dataset","1",0,0.05,"LOI","33.53","0.2",NA
"2","Yando et al 2016","ESY FLSM1","FLSM1","Saltmarsh","United States","FL","2013","29.14374","-83.031762","direct from dataset","1",0.05,0.15,"LOI","34.72","0.25",NA
"3","Yando et al 2016","ESY FLSM1","FLSM1","Saltmarsh","United States","FL","2013","29.14374","-83.031762","direct from dataset","1",0.15,0.3,"LOI","35.17","0.31",NA
"4","Yando et al 2016","ESY FLSM2","FLSM2","Saltmarsh","United States","FL","2013","29.143043","-83.031286","direct from dataset","1",0,0.05,"LOI","23.92","0.13",NA
"5","Yando et al 2016","ESY FLSM2","FLSM2","Saltmarsh","United States","FL","2013","29.143043","-83.031286","direct from dataset","1",0.05,0.15,"LOI","35.91","0.2",NA
"6","Yando et al 2016","ESY FLSM2","FLSM2","Saltmarsh","United States","FL","2013","29.143043","-83.031286","direct from dataset","1",0.15,0.3,"LOI","44.97","0.21",NA
"7","Yando et al 2016","ESY FLSM3","FLSM3","Saltmarsh","United States","FL","2013","29.141744","-83.022946","direct from dataset","1",0,0.05,"LOI","29.24","0.15",NA
"8","Yando et al 2016","ESY FLSM3","FLSM3","Saltmarsh","United States","FL","2013","29.141744","-83.022946","direct from dataset","1",0.05,0.15,"LOI","26.97","0.25",NA
"9","Yando et al 2016","ESY FLSM3","FLSM3","Saltmarsh","United States","FL","2013","29.141744","-83.022946","direct from dataset","1",0.15,0.3,"LOI","12.75","0.43",NA
"10","Yando et al 2016","ESY LASM1","LASM1","Saltmarsh","United States","LA","2012","29.106276","-90.201281","direct from dataset","1",0,0.05,"LOI","6.95","0.39",NA
"11","Yando et al 2016","ESY LASM1","LASM1","Saltmarsh","United States","LA","2012","29.106276","-90.201281","direct from dataset","1",0.05,0.15,"LOI","9.05","1.07",NA
"12","Yando et al 2016","ESY LASM1","LASM1","Saltmarsh","United States","LA","2012","29.106276","-90.201281","direct from dataset","1",0.15,0.3,"LOI","5.66","0.26",NA
"13","Yando et al 2016","ESY LASM3","LASM3","Saltmarsh","United States","LA","2012","29.151569","-90.227913","direct from dataset","1",0,0.05,"LOI","11.46","0.47",NA
"14","Yando et al 2016","ESY LASM3","LASM3","Saltmarsh","United States","LA","2012","29.151569","-90.227913","direct from dataset","1",0.05,0.15,"LOI","13.54","0.35",NA
"15","Yando et al 2016","ESY LASM3","LASM3","Saltmarsh","United States","LA","2012","29.151569","-90.227913","direct from dataset","1",0.15,0.3,"LOI","19.15","0.29",NA
"16","Yando et al 2016","ESY LASM4","LASM4","Saltmarsh","United States","LA","2013","29.150944","-90.228611","direct from dataset","1",0,0.05,"LOI","12.56","0.31",NA
"17","Yando et al 2016","ESY LASM4","LASM4","Saltmarsh","United States","LA","2013","29.150944","-90.228611","direct from dataset","1",0.05,0.15,"LOI","13.45","0.38",NA
"18","Yando et al 2016","ESY LASM4","LASM4","Saltmarsh","United States","LA","2013","29.150944","-90.228611","direct from dataset","1",0.15,0.3,"LOI","15.02","0.37",NA
"19","Yando et al 2016","ESY TXSM1","TXSM1","Saltmarsh","United States","TX","2013","27.860902","-97.071617","direct from dataset","1",0,0.05,"LOI","2.18","1.19",NA
"20","Yando et al 2016","ESY TXSM1","TXSM1","Saltmarsh","United States","TX","2013","27.860902","-97.071617","direct from dataset","1",0.05,0.15,"LOI","2.11","1.26",NA
"21","Yando et al 2016","ESY TXSM1","TXSM1","Saltmarsh","United States","TX","2013","27.860902","-97.071617","direct from dataset","1",0.15,0.3,"LOI","1.36","1.45",NA
"22","Yando et al 2016","ESY TXSM2","TXSM2","Saltmarsh","United States","TX","2013","27.877805","-97.05217","direct from dataset","1",0,0.05,"LOI","1.79","1.2",NA
"23","Yando et al 2016","ESY TXSM2","TXSM2","Saltmarsh","United States","TX","2013","27.877805","-97.05217","direct from dataset","1",0.05,0.15,"LOI","1.75","1.37",NA
"24","Yando et al 2016","ESY TXSM2","TXSM2","Saltmarsh","United States","TX","2013","27.877805","-97.05217","direct from dataset","1",0.15,0.3,"LOI","1.35","1.39",NA
"25","Yando et al 2016","ESY TXSM3","TXSM3","Saltmarsh","United States","TX","2013","27.877638","-97.051912","direct from dataset","1",0,0.05,"LOI","1.78","1.06",NA
"26","Yando et al 2016","ESY TXSM3","TXSM3","Saltmarsh","United States","TX","2013","27.877638","-97.051912","direct from dataset","1",0.05,0.15,"LOI","1.33","1.36",NA
"27","Yando et al 2016","ESY TXSM3","TXSM3","Saltmarsh","United States","TX","2013","27.877638","-97.051912","direct from dataset","1",0.15,0.3,"LOI","1.3","1.32",NA
