"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc_mean","OC_perc_se"
"1","Yuan et al 2019","JY TF","Yancheng National Wetland Reserve","TF","Salt marsh","33.60457407365762","120.6142708364346","estimated from GEE","2","China","2011",0,0.1,"wet oxidation redox titration method",0.21,0.018
"2","Yuan et al 2019","JY TF","Yancheng National Wetland Reserve","TF","Salt marsh","33.60457407365762","120.6142708364346","estimated from GEE","2","China","2011",0.1,0.2,"wet oxidation redox titration method",0.168,0.035
"3","Yuan et al 2019","JY TF","Yancheng National Wetland Reserve","TF","Salt marsh","33.60457407365762","120.6142708364346","estimated from GEE","2","China","2011",0.2,0.3,"wet oxidation redox titration method",0.119,0.02
"4","Yuan et al 2019","JY TF","Yancheng National Wetland Reserve","TF","Salt marsh","33.60457407365762","120.6142708364346","estimated from GEE","2","China","2011",0.3,0.4,"wet oxidation redox titration method",0.117,0.011
"5","Yuan et al 2019","JY TF","Yancheng National Wetland Reserve","TF","Salt marsh","33.60457407365762","120.6142708364346","estimated from GEE","2","China","2011",0.4,0.5,"wet oxidation redox titration method",0.096,0.032
"6","Yuan et al 2019","JY SA-1","Yancheng National Wetland Reserve","SA-1","Salt marsh","33.60435983648976","120.6136681950972","estimated from GEE","2","China","2011",0,0.1,"wet oxidation redox titration method",0.441,0.01
"7","Yuan et al 2019","JY SA-1","Yancheng National Wetland Reserve","SA-1","Salt marsh","33.60435983648976","120.6136681950972","estimated from GEE","2","China","2011",0.1,0.2,"wet oxidation redox titration method",0.359,0.019
"8","Yuan et al 2019","JY SA-1","Yancheng National Wetland Reserve","SA-1","Salt marsh","33.60435983648976","120.6136681950972","estimated from GEE","2","China","2011",0.2,0.3,"wet oxidation redox titration method",0.25,0.025
"9","Yuan et al 2019","JY SA-1","Yancheng National Wetland Reserve","SA-1","Salt marsh","33.60435983648976","120.6136681950972","estimated from GEE","2","China","2011",0.3,0.4,"wet oxidation redox titration method",0.091,0.036
"10","Yuan et al 2019","JY SA-1","Yancheng National Wetland Reserve","SA-1","Salt marsh","33.60435983648976","120.6136681950972","estimated from GEE","2","China","2011",0.4,0.5,"wet oxidation redox titration method",0.075,0.034
"11","Yuan et al 2019","JY SA-12","Yancheng National Wetland Reserve","SA-12","Salt marsh","33.60435983648976","120.6136681950972","estimated from GEE","2","China","2011",0,0.1,"wet oxidation redox titration method",1.76,0.035
"12","Yuan et al 2019","JY SA-12","Yancheng National Wetland Reserve","SA-12","Salt marsh","33.60435983648976","120.6136681950972","estimated from GEE","2","China","2011",0.1,0.2,"wet oxidation redox titration method",1.131,0.027
"13","Yuan et al 2019","JY SA-12","Yancheng National Wetland Reserve","SA-12","Salt marsh","33.60435983648976","120.6136681950972","estimated from GEE","2","China","2011",0.2,0.3,"wet oxidation redox titration method",0.647,0.011
"14","Yuan et al 2019","JY SA-12","Yancheng National Wetland Reserve","SA-12","Salt marsh","33.60435983648976","120.6136681950972","estimated from GEE","2","China","2011",0.3,0.4,"wet oxidation redox titration method",0.681,0.016
"15","Yuan et al 2019","JY SA-12","Yancheng National Wetland Reserve","SA-12","Salt marsh","33.60435983648976","120.6136681950972","estimated from GEE","2","China","2011",0.4,0.5,"wet oxidation redox titration method",0.318,0.022
