Type,Soil carbon density (g/cm3),Latitude,Longitude,Review source,Original source
salt marsh,0.037,41.261844,-72.730311,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.04,41.261844,-72.730311,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.035,41.261844,-72.730311,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.03,41.26199,-72.653621,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.06,41.26199,-72.653621,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.039,41.262745,-72.71602,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.03,41.262745,-72.71602,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.026,41.262745,-72.71602,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.045,41.262745,-72.71602,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.054,41.262745,-72.71602,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.029,41.262745,-72.71602,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.046,41.262745,-72.71602,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.029,41.266081,-72.814394,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.026,41.266081,-72.814394,Chmura et al. (2003),"Anisfeld et al. (1999), Anisfeld (1995) unpublished data"
salt marsh,0.093,29.658487,-92.643318,Chmura et al. (2003),Bryant & Chabreck (1998)
salt marsh,0.11,29.658487,-92.643318,Chmura et al. (2003),Bryant & Chabreck (1998)
salt marsh,0.119,29.658487,-92.643318,Chmura et al. (2003),Bryant & Chabreck (1998)
salt marsh,0.116,29.658487,-92.643318,Chmura et al. (2003),Bryant & Chabreck (1998)
salt marsh,0.109,29.658487,-92.643318,Chmura et al. (2003),Bryant & Chabreck (1998)
salt marsh,0.12,29.658487,-92.643318,Chmura et al. (2003),Bryant & Chabreck (1998)
salt marsh,0.019,29.257253,-91.114025,Chmura et al. (2003),Cahoon & Lynch (1993) unpublished data
salt marsh,0.016,29.319405,-90.585669,Chmura et al. (2003),Cahoon & Lynch (1993) unpublished data
salt marsh,0.014,29.601892,-90.109151,Chmura et al. (2003),Cahoon & Lynch (1993) unpublished data
salt marsh,0.025,30.147004,-84.146813,Chmura et al. (2003),Cahoon & Lynch (1993) unpublished data
