ID,Location,Latitude,Longitude,Habitat state,Habitat type,Dominant plant,Core depth,Soil carbon stock MgC_ha,Reference,Reference_detail
1,Yancheng of Jiangsu1,"32°20'42.23""N","119°29'42.13""E",Natural,Salt Marsh,Phragmites australis,0-100,450,Xu et al. 2014,"Xu, Z., Zuo, P., Wang, J J., Gao, Z D., & Wu, Q J., 2014. Changes of vegetation carbon storage in Yancheng coastal wetlands for six periods. Wetland Science. 12(6), 709-713. (in Chinese)"
2,Yancheng of Jiangsu2,"32°20'45.45""N","119°29'32.09""E",Natural,Salt Marsh,S. salsa,0-100,485,Xu et al. 2014,"Xu, Z., Zuo, P., Wang, J J., Gao, Z D., & Wu, Q J., 2014. Changes of vegetation carbon storage in Yancheng coastal wetlands for six periods. Wetland Science. 12(6), 709-713. (in Chinese)"
3,Yancheng of Jiangsu3,"32°20'43.51""N","119°29'51.23""E",Natural,Salt Marsh,S. alterniflora,0-100,790,Xu et al. 2014,"Xu, Z., Zuo, P., Wang, J J., Gao, Z D., & Wu, Q J., 2014. Changes of vegetation carbon storage in Yancheng coastal wetlands for six periods. Wetland Science. 12(6), 709-713. (in Chinese)"
4,Jiulong River Estuary1,"24°27'42.13""N","118° 10'43.56""E",Natural,mangrove,A. marina,0-20,334.8,Zheng et al. 1995,"Zheng, W.J., Lin, P., Xue, X.Z., Lu, C.Y., Zheng, F.Z., Yin, Y., 1995. Dynamics of carbon, hydrogen and nitrogen elements in Rhizophora stylosa mangrove community at Yinluo Bay of Guangxi, China. Chinese Journal of Applied Ecology, 6, 17-22. (in Chinese)"
5,Dongzhai Hainan Island,"19°59'41.17""N","110°32'37.90""E",Natural,mangrove,A. marina,0-20,209.88,Zheng et al. 1995,"Zheng, W.J., Lin, P., Xue, X.Z., Lu, C.Y., Zheng, F.Z., Yin, Y., 1995. Dynamics of carbon, hydrogen and nitrogen elements in Rhizophora stylosa mangrove community at Yinluo Bay of Guangxi, China. Chinese Journal of Applied Ecology, 6, 17-22. (in Chinese)"
6,Techeng Island ,"21° 9'25.18""N","110°25'27.95""E",Natural,mangrove,A. marina,0-30,145.2,Zheng et al. 1995,"Zheng, W.J., Lin, P., Xue, X.Z., Lu, C.Y., Zheng, F.Z., Yin, Y., 1995. Dynamics of carbon, hydrogen and nitrogen elements in Rhizophora stylosa mangrove community at Yinluo Bay of Guangxi, China. Chinese Journal of Applied Ecology, 6, 17-22. (in Chinese)"
7,Estuary of Jiulong River1,"24°27'45.55""N","118° 2'43.56""E",Natural,mangrove,A. marina,20-40,341.55,Zheng et al. 1995,"Zheng, W.J., Lin, P., Xue, X.Z., Lu, C.Y., Zheng, F.Z., Yin, Y., 1995. Dynamics of carbon, hydrogen and nitrogen elements in Rhizophora stylosa mangrove community at Yinluo Bay of Guangxi, China. Chinese Journal of Applied Ecology, 6, 17-22. (in Chinese)"
8,Estuary of Jiulong River2,"24°27'48.23""N","118° 3'33.12""E",Natural,mangrove,A. marina,40-60,298.7,Liu et al. 2014 ,"Liu, H., Ren, H., Hui, D., Wang, W., Liao, B., & Cao, Q., 2014. Carbon stocks and potential carbon storage in the mangrove forests of China. Journal of Environmental Management, 133 (Complete), 86-93."
9,Yingluo bay1,"21°29'35.48""N","109°45'30.61""E",Natural,mangrove,R. stylosa,0-30,631.21,Liu et al. 2014 ,"Liu, H., Ren, H., Hui, D., Wang, W., Liao, B., & Cao, Q., 2014. Carbon stocks and potential carbon storage in the mangrove forests of China. Journal of Environmental Management, 133 (Complete), 86-93."
10,Yingluo bay2,"21°29'35.48""N","109°45'30.61""E",Natural,mangrove,R. stylosa,30-60,738.99,Liu et al. 2014 ,"Liu, H., Ren, H., Hui, D., Wang, W., Liao, B., & Cao, Q., 2014. Carbon stocks and potential carbon storage in the mangrove forests of China. Journal of Environmental Management, 133 (Complete), 86-93."
