Location,Year_collected,Latitude,Longitude,Habitata,Dominant_halophyte,Core_type,Core_depth_cm,Cstock_MgC_ha,Ref
"Ganghwa, Incheon",2017,"37°36'29""N","126°23'03""E",SM,Phragmites sp.,M,60,92,This study
,2017,,,SM,Phragmites sp.,M,75,80,
,2017,,,SM,Phragmites sp.,M,80,78,
,2017,,,SM,Phragmites sp.,M,100,65,
,2017,,,SM,Phragmites sp.,M,90,64,
,2018,,,SM,Phragmites sp.,M,100,96,
,2019,,,SM,Phragmites sp.,A,70,117,
,2019,,,SM,Phragmites sp.,A,70,85,
,2020,,,SM,Phragmites sp.,A,70,107,
,2017,"37 ̊36'24""N","126 ̊23'07""E",B,Bare,M,85,44,
,2017,,,B,Bare,M,50,40,
,2017,,,B,Bare,M,90,43,
,2018,,,B,Bare,M,100,100,
,2019,,,B,Bare,A,70,97,
,2019,,,B,Bare,A,70,74,
,2020,,,B,Bare,A,70,88,
,2017,"37 ̊35'42""N","126 ̊27'48""E",SM,Spartina sp.,M,100,62,
,2018,,,SM,Spartina sp.,M,100,83,
,2019,,,SM,Spartina sp.,A,70,77,
,2019,,,SM,Spartina sp.,A,70,59,
,2020,,,SM,Spartina sp.,A,70,100,
,2017,"37 ̊35'39""N","126 ̊27'52""E",B,Bare,M,60,52,
,2017,,,B,Bare,M,95,31,
,2018,,,B,Bare,M,100,77,
,2019,,,B,Bare,A,70,46,
,2019,,,B,Bare,A,70,40,
,2019,,,B,Bare,A,60,61,
,2020,,,B,Bare,A,70,45,
,2017,"37°35'17""N","126°30'07""E",SM,Suaeda sp.,M,100,161,
,2017,,,SM,Phragmites sp.,M,70,115,
,2018,,,SM,Suaeda sp.,M,95,93,
,2019,,,SM,Suaeda sp.,A,70,96,
,2019,,,SM,Suaeda sp.,A,70,68,
"Ganghwa, Incheon",,2020,,,,,,,
,,"37�35'17""N",,,,,,,
,,"126�30'07""E",,,,,,,
,,SM,,,,,,,
,,Suaeda sp.,,,,,,,
,,A,,,,,,,
,,70,,,,,,,
,,94,,,,,,,
,,This study,,,,,,,
,,,,,,,,,
2017,,,,,,,,,
"37�35'21""N",,,,,,,,,
"126�30'12""E",,,,,,,,,
B,,,,,,,,,
Bare,,,,,,,,,
M,,,,,,,,,
100,,,,,,,,,
111,,,,,,,,,
2017,,,,,,,,,
B,,,,,,,,,
Bare,,,,,,,,,
M,,,,,,,,,
90,,,,,,,,,
104,,,,,,,,,
2017,,,,,,,,,
B,,,,,,,,,
Bare,,,,,,,,,
M,,,,,,,,,
100,,,,,,,,,
90,,,,,,,,,
2017,,,,,,,,,
B,,,,,,,,,
Bare,,,,,,,,,
M,,,,,,,,,
90,,,,,,,,,
82,,,,,,,,,
2017,,,,,,,,,
B,,,,,,,,,
Bare,,,,,,,,,
M,,,,,,,,,
100,,,,,,,,,
72,,,,,,,,,
2018,,,,,,,,,
B,,,,,,,,,
Bare,,,,,,,,,
M,,,,,,,,,
100,,,,,,,,,
121,,,,,,,,,
2019,,,,,,,,,
B,,,,,,,,,
Bare,,,,,,,,,
A,,,,,,,,,
60,,,,,,,,,
63,,,,,,,,,
2019,,,,,,,,,
B,,,,,,,,,
Bare,,,,,,,,,
A,,,,,,,,,
60,,,,,,,,,
67,,,,,,,,,
2019,,,,,,,,,
B,,,,,,,,,
Bare,,,,,,,,,
A,,,,,,,,,
60,,,,,,,,,
80,,,,,,,,,
2020,,,,,,,,,
B,,,,,,,,,
Bare,,,,,,,,,
A,,,,,,,,,
70,,,,,,,,,
78,,,,,,,,,
