"Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","Year_collected_end","U_depth_m","L_depth_m","Method","Data_type","OC_perc","BD_reported_g_cm3","Core","SOM_perc","SOM_perc_Heiri","N_perc","Conv_factor","Original_source","Admin_unit","Depth_to_bedrock_m","Treatment","Time_replicate","n_cores","SOM_perc_mean","SOM_perc_sd","OC_perc_mean","OC_perc_sd","OC_perc_se","BD_reported_g_cm3_mean","BD_reported_g_cm3_se","BD_reported_g_cm3_sd","OC_perc_combined","SOM_perc_combined","BD_reported_combined","Horizon_mid_depth_cm","Horizon_bin_cm"
"Adame et al 2013","MFA Tul1S1","Sian kaan Tular 1","Tul1S1","Salt marsh",19.79358333,-87.5743,"direct from dataset",1,"Mexico",2011,NA,0,0.15,"combined LOI EA","Core-level",0.78,0.77,NA,NA,NA,NA,NA,"Adame et al 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,0.77,7.5,"0-10cm"
"Adame et al 2013","MFA Tul1S2","Sian kaan Tular 1","Tul1S2","Salt marsh",19.79363333,-87.57433333,"direct from dataset",1,"Mexico",2011,NA,0,0.15,"combined LOI EA","Core-level",9.17,0.3,NA,NA,NA,NA,NA,"Adame et al 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.17,NA,0.3,7.5,"0-10cm"
"Adame et al 2013","MFA Tul1S3","Sian kaan Tular 1","Tul1S3","Salt marsh",19.79373333,-87.57438333,"direct from dataset",1,"Mexico",2011,NA,0,0.15,"combined LOI EA","Core-level",14.56,0.1,NA,NA,NA,NA,NA,"Adame et al 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.56,NA,0.1,7.5,"0-10cm"
"Adame et al 2013","MFA Tul1S4","Sian kaan Tular 1","Tul1S4","Salt marsh",19.79381667,-87.57441667,"direct from dataset",1,"Mexico",2011,NA,0,0.15,"combined LOI EA","Core-level",22.3,0.14,NA,NA,NA,NA,NA,"Adame et al 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,NA,0.14,7.5,"0-10cm"
"Adame et al 2013","MFA Tul1S5","Sian kaan Tular 1","Tul1S5","Salt marsh",19.79391667,-87.57445,"direct from dataset",1,"Mexico",2011,NA,0,0.15,"combined LOI EA","Core-level",27.77,0.12,NA,NA,NA,NA,NA,"Adame et al 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.77,NA,0.12,7.5,"0-10cm"
"Adame et al 2013","MFA Tul1S6","Sian kaan Tular 1","Tul1S6","Salt marsh",19.794,-87.5745,"direct from dataset",1,"Mexico",2011,NA,0,0.15,"combined LOI EA","Core-level",12.78,0.32,NA,NA,NA,NA,NA,"Adame et al 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78,NA,0.32,7.5,"0-10cm"
"Adame et al 2015","MFA Encrucijada 1","La Encrucijada","Encrucijada 1","Salt marsh",15.03188056,-92.70791111,"direct from dataset and estimated",1,"Mexico",2012,NA,0,0.15,"EA","Core-level",0.78,0.77,NA,NA,NA,NA,NA,"Adame et al 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,0.77,7.5,"0-10cm"
"Adame et al 2015","MFA Encrucijada 2","La Encrucijada","Encrucijada 2","Salt marsh",15.0323186,-92.70890655,"direct from dataset and estimated",1,"Mexico",2012,NA,0,0.15,"EA","Core-level",9.17,0.3,NA,NA,NA,NA,NA,"Adame et al 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.17,NA,0.3,7.5,"0-10cm"
"Adame et al 2015","MFA Encrucijada 3","La Encrucijada","Encrucijada 3","Salt marsh",15.03238417,-92.70855934,"direct from dataset and estimated",1,"Mexico",2012,NA,0,0.15,"EA","Core-level",14.56,0.1,NA,NA,NA,NA,NA,"Adame et al 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.56,NA,0.1,7.5,"0-10cm"
"Adame et al 2015","MFA Encrucijada 6","La Encrucijada","Encrucijada 6","Salt marsh",15.03263889,-92.70883056,"direct from dataset and estimated",1,"Mexico",2012,NA,0,0.15,"EA","Core-level",12.78,0.32,NA,NA,NA,NA,NA,"Adame et al 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78,NA,0.32,7.5,"0-10cm"
