system:index,BD_reported_combined,BD_reported_g_cm3,BD_reported_g_cm3_mean,BD_reported_g_cm3_sd,BD_reported_g_cm3_se,Conv_factor,Core,Core_type,Country,Data_type,Depth_to_bedrock_m,Habitat_type,L_depth_m,Location,M2Tide,Method,N_perc,Nation,OC_perc,OC_perc_combined,OC_perc_mean,OC_perc_sd,OC_perc_se,Original_source,PETdry,Plot,Replicate,SOM_perc,SOM_perc_Heiri,SOM_perc_combined,SOM_perc_mean,SOM_perc_sd,Season,Site,Site_name,Source,State,Treatment,U_depth_m,Year_collected,Year_collected_end,accuracy_code,accuracy_flag,coastTyp,elevation,evi_med,evi_stdev,flowAcc,gHM_2016,maxTemp,merit_elevation,minPrecip,minTemp,n_cores,ndvi_med,ndvi_stdev,popDens_change,savi_med,savi_stdev,slope,.geo
00000000000000000263,0.396175008,0.396175008,NA,NA,NA,NA,NA,NA,UK,Core-level,NA,Salt marsh,0.3,NA,160.78545859289477,EA,0.574,NA,6.1241,6.1241,NA,NA,NA,Burden et al 2018,39,12.1,NA,11.16756699,NA,11.16756699,NA,NA,NA,Northey Natural,AB 12.1,Burden et al 2018,NA,NA,0,2011,NA,1,direct from dataset,2,1,1.413927435874939,0.8256934881210327,54.0,0.6290174722671509,214,0.14754897356033325,31,5,NA,0.1652371734380722,0.03837684914469719,0.07580655813217163,0.24697525799274445,0.05756424739956856,1.4967893362045288,"{""type"":""Point"",""coordinates"":[0.7093850092895444,51.719498924337394]}"
00000000000000000264,0.378984492,0.378984492,NA,NA,NA,NA,NA,NA,UK,Core-level,NA,Salt marsh,0.3,NA,160.78545859289477,EA,0.535,NA,5.2312,5.2312,NA,NA,NA,Burden et al 2018,39,12.2,NA,10.38735379,NA,10.38735379,NA,NA,NA,Northey Natural,AB 12.2,Burden et al 2018,NA,NA,0,2011,NA,1,direct from dataset,2,1,1.413927435874939,0.8256934881210327,54.0,0.6290174722671509,214,0.14754897356033325,31,5,NA,0.1652371734380722,0.03837684914469719,0.07580655813217163,0.24697525799274445,0.05756424739956856,1.4967893362045288,"{""type"":""Point"",""coordinates"":[0.7093850092895444,51.719498924337394]}"
00000000000000000265,0.309731696,0.309731696,NA,NA,NA,NA,NA,NA,UK,Core-level,NA,Salt marsh,0.3,NA,160.78545859289477,EA,0.802,NA,9.516,9.516,NA,NA,NA,Burden et al 2018,39,12.3,NA,17.0013557,NA,17.0013557,NA,NA,NA,Northey Natural,AB 12.3,Burden et al 2018,NA,NA,0,2011,NA,1,direct from dataset,2,1,1.413927435874939,0.8256934881210327,54.0,0.6290174722671509,214,0.14754897356033325,31,5,NA,0.1652371734380722,0.03837684914469719,0.07580655813217163,0.24697525799274445,0.05756424739956856,1.4967893362045288,"{""type"":""Point"",""coordinates"":[0.7093850092895444,51.719498924337394]}"
00000000000000000266,0.262761496,0.262761496,NA,NA,NA,NA,NA,NA,UK,Core-level,NA,Salt marsh,0.3,NA,160.78545859289477,EA,0.748,NA,8.9677,8.9677,NA,NA,NA,Burden et al 2018,39,12.4,NA,15.88443018,NA,15.88443018,NA,NA,NA,Northey Natural,AB 12.4,Burden et al 2018,NA,NA,0,2011,NA,1,direct from dataset,2,1,1.413927435874939,0.8256934881210327,54.0,0.6290174722671509,214,0.14754897356033325,31,5,NA,0.1652371734380722,0.03837684914469719,0.07580655813217163,0.24697525799274445,0.05756424739956856,1.4967893362045288,"{""type"":""Point"",""coordinates"":[0.7093850092895444,51.719498924337394]}"
00000000000000000267,0.362812567,0.362812567,NA,NA,NA,NA,NA,NA,UK,Core-level,NA,Salt marsh,0.3,NA,158.21096326130217,EA,0.597,NA,6.6781,6.6781,NA,NA,NA,Burden et al 2018,39,11.1,NA,12.3196877,NA,12.3196877,NA,NA,NA,Orplands Natural,AB 11.1,Burden et al 2018,NA,NA,0,2011,NA,1,direct from dataset,2,3,0.772200882434845,7.962508201599121,2.0,0.638763427734375,215,2.5089616775512695,31,7,NA,0.03893036022782326,0.07683543115854263,0.07580658793449402,0.058394160121679306,0.11525046825408936,3.51780366897583,"{""type"":""Point"",""coordinates"":[0.8599376381570377,51.71844657648878]}"
00000000000000000268,0.478448457,0.478448457,NA,NA,NA,NA,NA,NA,UK,Core-level,NA,Salt marsh,0.3,NA,158.21096326130217,EA,0.536,NA,5.4692,5.4692,NA,NA,NA,Burden et al 2018,39,11.2,NA,10.25841896,NA,10.25841896,NA,NA,NA,Orplands Natural,AB 11.2,Burden et al 2018,NA,NA,0,2011,NA,1,direct from dataset,2,3,0.772200882434845,7.962508201599121,2.0,0.638763427734375,215,2.5089616775512695,31,7,NA,0.03893036022782326,0.07683543115854263,0.07580658793449402,0.058394160121679306,0.11525046825408936,3.51780366897583,"{""type"":""Point"",""coordinates"":[0.8599376381570377,51.71844657648878]}"
00000000000000000269,0.633927937,0.633927937,NA,NA,NA,NA,NA,NA,UK,Core-level,NA,Salt marsh,0.3,NA,158.21096326130217,EA,0.385,NA,4.0771,4.0771,NA,NA,NA,Burden et al 2018,39,11.3,NA,7.260627629,NA,7.260627629,NA,NA,NA,Orplands Natural,AB 11.3,Burden et al 2018,NA,NA,0,2011,NA,1,direct from dataset,2,3,0.772200882434845,7.962508201599121,2.0,0.638763427734375,215,2.5089616775512695,31,7,NA,0.03893036022782326,0.07683543115854263,0.07580658793449402,0.058394160121679306,0.11525046825408936,3.51780366897583,"{""type"":""Point"",""coordinates"":[0.8599376381570377,51.71844657648878]}"
0000000000000000026a,0.660311428,0.660311428,NA,NA,NA,NA,NA,NA,UK,Core-level,NA,Salt marsh,0.3,NA,158.21096326130217,EA,0.373,NA,3.2699,3.2699,NA,NA,NA,Burden et al 2018,39,11.4,NA,6.78644987,NA,6.78644987,NA,NA,NA,Orplands Natural,AB 11.4,Burden et al 2018,NA,NA,0,2011,NA,1,direct from dataset,2,3,0.772200882434845,7.962508201599121,2.0,0.638763427734375,215,2.5089616775512695,31,7,NA,0.03893036022782326,0.07683543115854263,0.07580658793449402,0.058394160121679306,0.11525046825408936,3.51780366897583,"{""type"":""Point"",""coordinates"":[0.8599376381570377,51.71844657648878]}"
0000000000000000026b,0.289320058,0.289320058,NA,NA,NA,NA,NA,NA,UK,Core-level,NA,Salt marsh,0.3,NA,157.903838250595,EA,0.751,NA,10.026,10.026,NA,NA,NA,Burden et al 2018,39,10.1,NA,18.55690542,NA,18.55690542,NA,NA,NA,Tollesbury Natural,AB 10.1,Burden et al 2018,NA,NA,0,2011,NA,1,direct from dataset,2,3,1.7626845836639404,0.6544461250305176,8.0,0.6045289039611816,214,3.1925241947174072,31,5,NA,0.20269551873207092,0.042733609676361084,0.07580647617578506,0.30403652787208557,0.06409948319196701,1.8543341159820557,"{""type"":""Point"",""coordinates"":[0.8365139803232864,51.76915547366857]}"
0000000000000000026c,0.31245148,0.31245148,NA,NA,NA,NA,NA,NA,UK,Core-level,NA,Salt marsh,0.3,NA,157.903838250595,EA,0.776,NA,10.51,10.51,NA,NA,NA,Burden et al 2018,39,10.2,NA,17.5091779,NA,17.5091779,NA,NA,NA,Tollesbury Natural,AB 10.2,Burden et al 2018,NA,NA,0,2011,NA,1,direct from dataset,2,3,1.7626845836639404,0.6544461250305176,8.0,0.6045289039611816,214,3.1925241947174072,31,5,NA,0.20269551873207092,0.042733609676361084,0.07580647617578506,0.30403652787208557,0.06409948319196701,1.8543341159820557,"{""type"":""Point"",""coordinates"":[0.8365139803232864,51.76915547366857]}"
